,All households,Household is not deprived in any dimension,Household is deprived in 1 dimension,Household is deprived in 2 dimensions,Household is deprived in 3 dimensions,Household is deprived in 4 dimensions
E06000005,46670,20184,14922,8954,2407,203
E06000047,223803,87986,68885,51846,14353,733
E06000001,40434,14351,12821,9970,3104,188
E06000002,57203,19729,18615,13717,4789,353
E06000048,138534,60451,44844,26716,6150,373
E06000003,59605,22517,19351,13773,3681,283
E06000004,79159,34306,24692,15755,4114,292
E08000020,89154,34609,27846,20128,6175,396
E08000021,117153,47504,36508,24309,8074,758
E08000022,91295,39602,28382,18223,4749,339
E08000023,67167,24531,21705,15947,4679,305
E08000024,119758,42790,38223,29259,8920,566
E06000008,57353,20599,18421,13105,4779,449
E06000009,64367,20308,20700,16465,5985,909
E06000049,159441,79623,48842,25289,5287,400
E06000050,141442,66475,43630,24840,6044,453
E06000006,53312,20060,16642,12238,4105,267
E06000007,85140,40205,25930,14960,3755,290
E07000026,42345,17943,13608,8475,2205,114
E07000027,31224,11795,9630,7095,2420,284
E07000028,48342,20497,15935,9209,2482,219
E07000029,30536,12620,9514,6428,1849,125
E07000030,23043,10618,7794,3830,730,71
E07000031,46552,22544,15661,6948,1308,91
E08000001,116371,45456,37277,25079,7771,788
E08000002,78113,34149,24674,14770,4141,379
E08000003,204969,70540,68763,45745,18104,1817
E08000004,89703,32828,29234,20597,6508,536
E08000005,87552,31456,27874,20461,7085,676
E08000006,103556,37672,33304,23660,8249,671
E08000007,121979,56445,38046,21322,5602,564
E08000008,94953,35619,30373,21616,6759,586
E08000009,94484,45282,28804,15889,4179,330
E08000010,136386,54099,42039,30637,8949,662
E07000117,37550,13608,11758,8822,3059,303
E07000118,44919,21585,13580,7697,1906,151
E07000119,34885,15920,11415,6108,1310,132
E07000120,34341,13025,10847,7783,2461,225
E07000121,57822,25414,18390,10773,2936,309
E07000122,37348,13928,12021,8420,2751,228
E07000123,57567,23532,18317,11418,3867,433
E07000124,24045,12813,7226,3338,615,53
E07000125,29058,12641,8871,5727,1676,143
