,All people,White,White: Scottish,White: Other British,White: Irish,White: Gypsy/Traveller,White: Polish,White: Other White,Mixed or multiple ethnic groups,"Asian, Asian Scottish or Asian British","Asian, Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British","Asian, Asian Scottish or Asian British: Indian, Indian Scottish or Indian British","Asian, Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British","Asian, Asian Scottish or Asian British: Chinese, Chinese Scottish or Chinese British","Asian, Asian Scottish or Asian British: Other Asian",African,"African: African, African Scottish or African British",African: Other African,Caribbean or Black,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British","Caribbean or Black: Black, Black Scottish or Black British",Caribbean or Black: Other Caribbean or Black,Other ethnic groups,"Other ethnic groups: Arab, Arab Scottish or Arab British",Other ethnic groups: Other ethnic group
S92000003,"5,295,403","5,084,407","4,445,678","417,109","54,090","4,212","61,201","102,117","19,815","140,678","49,381","32,706","3,788","33,706","21,097","29,638","29,186",452,"6,540","3,430","2,380",730,"14,325","9,366","4,959"
S12000005,"51,442","50,648","45,387","3,829",306,68,499,559,128,536,312,80,6,90,48,87,86,1,21,14,7,-,22,4,18
S12000006,"151,324","149,553","121,563","24,462","1,063",102,983,"1,380",413,"1,032",167,301,55,279,230,127,125,2,72,51,16,5,127,59,68
S12000008,"122,767","121,364","114,184","5,574",633,60,230,683,253,909,272,189,10,315,123,77,72,5,70,41,23,6,94,59,35
S12000010,"99,717","98,011","85,347","9,244",870,13,811,"1,726",363,955,288,275,43,209,140,179,177,2,107,59,29,19,102,74,28
S12000011,"90,574","85,211","78,794","3,740","1,390",16,223,"1,048",386,"4,571","2,779","1,061",14,476,241,124,116,8,44,25,12,7,238,131,107
S12000013,"27,684","27,439","24,066","2,903",126,10,60,274,67,142,26,41,12,12,51,7,7,-,11,9,1,1,18,6,12
S12000014,"155,990","153,037","142,432","7,025",882,145,"1,080","1,473",334,"2,073","1,148",413,11,275,226,205,205,-,126,92,17,17,215,78,137
S12000015,"365,198","356,550","312,957","31,464","2,260",316,"3,058","6,495","1,257","5,748","1,902","1,066",118,"1,735",927,704,684,20,422,234,141,47,517,299,218
S12000017,"232,132","228,981","185,430","34,135","1,389",291,"3,425","4,311",664,"1,866",234,462,217,379,574,208,202,6,199,111,82,6,214,105,109
S12000018,"81,485","80,376","76,428","2,485",710,8,112,633,179,748,171,256,5,196,120,90,89,1,43,23,11,9,49,16,33
S12000019,"83,187","81,715","74,875","4,795",474,72,455,"1,044",210,910,371,180,41,130,188,159,157,2,99,65,27,7,94,41,53
S12000020,"93,295","92,263","72,470","16,823",430,79,985,"1,476",232,599,149,101,16,164,169,88,78,10,57,43,11,3,56,26,30
S12000021,"138,146","136,648","127,140","7,204",948,58,247,"1,051",319,948,108,328,22,315,175,83,80,3,65,47,14,4,83,61,22
S12000023,"21,349","21,193","16,960","3,777",100,3,84,269,39,89,15,18,7,18,31,13,13,-,4,3,1,-,11,6,5
