ONS,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,Region,LA,ONS
,229490.0,242299.0,253816.0,242127.0,243031.0,246764.0,-,-,-,-,-,-,-,-,-,-,England,64,
,,,,,,,-,-,-,-,-,-,-,-,-,-,East Midlands,E,
,,,,,,,-,-,-,-,-,-,-,-,-,-,East of England,G,
,,,,,,,-,-,-,-,-,-,-,-,-,-,London,H,
,,,,,,,-,-,-,-,-,-,-,-,-,-,North East,A,
,,,,,,,-,-,-,-,-,-,-,-,-,-,North West,B,
,,,,,,,-,-,-,-,-,-,-,-,-,-,South East,J,
,,,,,,,-,-,-,-,-,-,-,-,-,-,South West,K,
,,,,,,,-,-,-,-,-,-,-,-,-,-,West Midlands,F,
,,,,,,,-,-,-,-,-,-,-,-,-,-,Yorkshire and the Humber,D,
E09000002,181170.0,176299.0,181765.0,185822.0,184784.0,184679.0,-,-,-,-,-,-,-,-,-,-,Barking and Dagenham,00AB,E09000002
E09000003,415924.0,468047.0,465160.0,455094.0,476095.0,451287.0,-,-,-,-,-,-,-,-,-,-,Barnet,00AC,E09000003
E06000022,280677.0,292522.0,317781.0,280793.0,291692.0,295125.0,-,-,-,-,-,-,-,-,-,-,Bath and North East Somerset UA,00HA,E06000022
,207779.0,225700.0,207089.0,213347.0,202795.0,214918.0,-,-,-,-,-,-,-,-,-,-,Bedford UA,00KB,
,,,,,,,-,-,-,-,-,-,-,-,-,-,Bedfordshire (pre-2009),9,
E09000004,224003.0,226830.0,230886.0,224922.0,233689.0,234962.0,-,-,-,-,-,-,-,-,-,-,Bexley,00AD,E09000004
E06000008,112116.0,117223.0,115157.0,113513.0,106784.0,115594.0,-,-,-,-,-,-,-,-,-,-,Blackburn with Darwen UA,00EX,E06000008
E06000009,107909.0,103823.0,100625.0,99186.0,98209.0,103444.0,-,-,-,-,-,-,-,-,-,-,Blackpool UA,00EY,E06000009
E06000028,209776.0,219574.0,227372.0,211705.0,208787.0,210187.0,-,-,-,-,-,-,-,-,-,-,Bournemouth UA,00HN,E06000028
E06000036,247774.0,270882.0,288180.0,270303.0,261268.0,286442.0,-,-,-,-,-,-,-,-,-,-,Bracknell Forest UA,00MA,E06000036
E09000005,370645.0,389904.0,422861.0,400968.0,385478.0,418757.0,-,-,-,-,-,-,-,-,-,-,Brent,00AE,E09000005
E06000043,268987.0,289914.0,302751.0,282696.0,282583.0,298095.0,-,-,-,-,-,-,-,-,-,-,Brighton and Hove UA,00ML,E06000043
E06000023,203424.0,212883.0,221545.0,209483.0,210913.0,213957.0,-,-,-,-,-,-,-,-,-,-,"Bristol, City of UA",00HB,E06000023
E09000006,312692.0,331057.0,348152.0,338070.0,325792.0,342975.0,-,-,-,-,-,-,-,-,-,-,Bromley,00AF,E09000006
,333911.0,357933.0,387773.0,353578.0,347554.0,370323.0,-,-,-,-,-,-,-,-,-,-,Buckinghamshire,,
,218021.0,234442.0,251478.0,240603.0,249715.0,238697.0,-,-,-,-,-,-,-,-,-,-,Cambridgeshire,,
E09000007,755923.0,761956.0,823891.0,822096.0,793643.0,808061.0,-,-,-,-,-,-,-,-,-,-,Camden,00AG,E09000007
E06000056,212090.0,224094.0,235209.0,224216.0,215460.0,219013.0,-,-,-,-,-,-,-,-,-,-,Central Bedfordshire UA,00KC,E06000056
,,,,,,,-,-,-,-,-,-,-,-,-,-,Cheshire (pre-2009),13,
E06000049,206005.0,209310.0,225932.0,214008.0,226208.0,217126.0,-,-,-,-,-,-,-,-,-,-,Cheshire East UA,00EQ,E06000049
E06000050,194270.0,193184.0,191675.0,192236.0,193144.0,189609.0,-,-,-,-,-,-,-,-,-,-,Cheshire West and Chester UA,00EW,E06000050
E09000001,528757.0,501264.0,574033.0,541573.0,691953.0,754138.0,-,-,-,-,-,-,-,-,-,-,City of London,00AA,E09000001
,,,,,,,-,-,-,-,-,-,-,-,-,-,Cornwall (pre-2009),15,
E06000052,221847.0,227015.0,220690.0,223142.0,215480.0,219382.0,-,-,-,-,-,-,-,-,-,-,Cornwall UA,00HE,E06000052
,,,,,,,-,-,-,-,-,-,-,-,-,-,County Durham (pre-2009),20,
E09000008,251273.0,273515.0,271198.0,260416.0,267968.0,263914.0,-,-,-,-,-,-,-,-,-,-,Croydon,00AH,E09000008
,161484.0,163446.0,166427.0,166545.0,157361.0,161276.0,-,-,-,-,-,-,-,-,-,-,Cumbria,16,
E06000005,134995.0,134179.0,139449.0,129980.0,137107.0,128215.0,-,-,-,-,-,-,-,-,-,-,Darlington UA,00EH,E06000005
E06000015,133669.0,140242.0,147214.0,144709.0,144787.0,144191.0,-,-,-,-,-,-,-,-,-,-,Derby UA,00FK,E06000015
,156716.0,160611.0,167272.0,160929.0,152554.0,155070.0,-,-,-,-,-,-,-,-,-,-,Derbyshire,17,
,224130.0,237824.0,242626.0,234543.0,226886.0,232603.0,-,-,-,-,-,-,-,-,-,-,Devon,,
,251988.0,265529.0,269081.0,260000.0,257484.0,260614.0,-,-,-,-,-,-,-,-,-,-,Dorset,19,
E06000047,114606.0,119630.0,121976.0,125959.0,117174.0,117226.0,-,-,-,-,-,-,-,-,-,-,Durham UA,00EJ,E06000047
E09000009,360135.0,397115.0,410458.0,418844.0,390936.0,437209.0,-,-,-,-,-,-,-,-,-,-,Ealing,00AJ,E09000009
E06000011,160031.0,166301.0,160126.0,161921.0,159002.0,165442.0,-,-,-,-,-,-,-,-,-,-,East Riding of Yorkshire UA,00FB,E06000011
,229770.0,249360.0,257337.0,245254.0,240975.0,244959.0,-,-,-,-,-,-,-,-,-,-,East Sussex,,
E09000010,270952.0,296852.0,306906.0,305274.0,300273.0,289229.0,-,-,-,-,-,-,-,-,-,-,Enfield,00AK,E09000010
,233915.0,246209.0,251258.0,246192.0,241432.0,246369.0,-,-,-,-,-,-,-,-,-,-,Essex,22,
,225347.0,230799.0,244410.0,223036.0,227763.0,225937.0,-,-,-,-,-,-,-,-,-,-,Gloucestershire,23,
,146895.0,150902.0,155190.0,152228.0,147274.0,149860.0,-,-,-,-,-,-,-,-,-,-,Greater Manchester (Met County),2A,
E09000011,279139.0,298824.0,298590.0,301474.0,296492.0,319259.0,-,-,-,-,-,-,-,-,-,-,Greenwich,00AL,E09000011
E09000012,353179.0,371479.0,390547.0,393723.0,393441.0,428970.0,-,-,-,-,-,-,-,-,-,-,Hackney,00AM,E09000012
E06000006,121002.0,135513.0,133550.0,129915.0,137938.0,147323.0,-,-,-,-,-,-,-,-,-,-,Halton UA,00ET,E06000006
E09000013,620089.0,682151.0,742796.0,655353.0,749047.0,753911.0,-,-,-,-,-,-,-,-,-,-,Hammersmith and Fulham,00AN,E09000013
,255517.0,269064.0,280305.0,271587.0,262616.0,270086.0,-,-,-,-,-,-,-,-,-,-,Hampshire,,
E09000014,381749.0,457931.0,439777.0,404839.0,469573.0,451050.0,-,-,-,-,-,-,-,-,-,-,Haringey,00AP,E09000014
E09000015,322188.0,347750.0,359040.0,354615.0,343477.0,356230.0,-,-,-,-,-,-,-,-,-,-,Harrow,00AQ,E09000015
E06000001,112820.0,117990.0,128472.0,127078.0,123022.0,118399.0,-,-,-,-,-,-,-,-,-,-,Hartlepool UA,00EB,E06000001
E09000016,231646.0,249191.0,250931.0,250399.0,252856.0,253103.0,-,-,-,-,-,-,-,-,-,-,Havering,00AR,E09000016
E06000019,201303.0,216088.0,219475.0,212770.0,211198.0,210852.0,-,-,-,-,-,-,-,-,-,-,"Herefordshire, County of UA",00GA,E06000019
,305376.0,331507.0,337050.0,321077.0,323501.0,328048.0,-,-,-,-,-,-,-,-,-,-,Hertfordshire,26,
E09000017,266441.0,317726.0,306184.0,302286.0,299314.0,298384.0,-,-,-,-,-,-,-,-,-,-,Hillingdon,00AS,E09000017
E09000018,331890.0,368175.0,382965.0,349654.0,375280.0,419546.0,-,-,-,-,-,-,-,-,-,-,Hounslow,00AT,E09000018
E06000046,187331.0,202713.0,199387.0,189570.0,182321.0,200294.0,-,-,-,-,-,-,-,-,-,-,Isle of Wight UA,00MW,E06000046
E07000025,,,321200.0,,,,-,-,-,-,-,-,-,-,-,-,Isles of Scilly UA,00HF,E07000025
E09000019,496712.0,551366.0,526829.0,521181.0,553162.0,580041.0,-,-,-,-,-,-,-,-,-,-,Islington,00AU,E09000019
E09000020,1311056.0,1496616.0,1603607.0,1469349.0,1596396.0,1581747.0,-,-,-,-,-,-,-,-,-,-,Kensington and Chelsea,00AW,E09000020
,224429.0,233467.0,255881.0,238137.0,235261.0,241156.0,-,-,-,-,-,-,-,-,-,-,Kent,,
E06000010,94728.0,96722.0,97728.0,101715.0,99639.0,102995.0,-,-,-,-,-,-,-,-,-,-,"Kingston upon Hull, City of UA",00FA,E06000010
E09000021,344215.0,385080.0,411965.0,388551.0,402664.0,443518.0,-,-,-,-,-,-,-,-,-,-,Kingston upon Thames,00AX,E09000021
E09000022,374261.0,409988.0,412608.0,403418.0,405228.0,421396.0,-,-,-,-,-,-,-,-,-,-,Lambeth,00AY,E09000022
,143699.0,147391.0,150116.0,150649.0,148562.0,151012.0,-,-,-,-,-,-,-,-,-,-,Lancashire,,
E06000016,141291.0,131225.0,140672.0,137826.0,133365.0,139245.0,-,-,-,-,-,-,-,-,-,-,Leicester UA,00FN,E06000016
,175476.0,180370.0,184931.0,193177.0,184242.0,186171.0,-,-,-,-,-,-,-,-,-,-,Leicestershire,,
E09000023,257386.0,278630.0,298583.0,294316.0,276123.0,302643.0,-,-,-,-,-,-,-,-,-,-,Lewisham,00AZ,E09000023
,152037.0,153520.0,154907.0,153281.0,150452.0,152762.0,-,-,-,-,-,-,-,-,-,-,Lincolnshire,32,
E06000032,162012.0,159814.0,160535.0,162950.0,160800.0,161549.0,-,-,-,-,-,-,-,-,-,-,Luton UA,00KA,E06000032
E06000035,165250.0,174363.0,175019.0,179944.0,169729.0,180645.0,-,-,-,-,-,-,-,-,-,-,Medway UA,00LC,E06000035
,139372.0,139698.0,147062.0,139586.0,137834.0,138885.0,-,-,-,-,-,-,-,-,-,-,Merseyside (Met County),2B,
E09000024,371314.0,443543.0,449790.0,431879.0,456243.0,471566.0,-,-,-,-,-,-,-,-,-,-,Merton,00BA,E09000024
E06000002,117610.0,122558.0,122394.0,117791.0,109964.0,110764.0,-,-,-,-,-,-,-,-,-,-,Middlesbrough UA,00EC,E06000002
E06000042,188942.0,211949.0,219277.0,218740.0,199417.0,210840.0,-,-,-,-,-,-,-,-,-,-,Milton Keynes UA,00MG,E06000042
E09000025,215692.0,216982.0,218840.0,222633.0,229977.0,229286.0,-,-,-,-,-,-,-,-,-,-,Newham,00BB,E09000025
,174772.0,181052.0,185672.0,188816.0,187205.0,184841.0,-,-,-,-,-,-,-,-,-,-,Norfolk,33,
