ONS,12/13,13/14,14/15,15/16,Region,LA,ONS
,6985.0,11769.0,-,-,England,64,
,835.0,1209.0,-,-,East Midlands,E,
,726.0,1253.0,-,-,East of England,G,
,1567.0,3190.0,-,-,London,H,
,416.0,744.0,-,-,North East,A,
,348.0,521.0,-,-,North West,B,
,863.0,1137.0,-,-,South East,J,
,387.0,614.0,-,-,South West,K,
,1011.0,1662.0,-,-,West Midlands,F,
,832.0,1440.0,-,-,Yorkshire and the Humber,D,
E09000002,97.0,226.0,-,-,Barking and Dagenham,00AB,E09000002
E09000003,34.0,103.0,-,-,Barnet,00AC,E09000003
E06000022,,,-,-,Bath and North East Somerset UA,00HA,E06000022
,,,-,-,Bedford UA,00KB,
,,,-,-,Bedfordshire (pre-2009),9,
E09000004,,,-,-,Bexley,00AD,E09000004
E06000008,0.0,0.0,-,-,Blackburn with Darwen UA,00EX,E06000008
E06000009,10.0,16.0,-,-,Blackpool UA,00EY,E06000009
E06000028,17.0,43.0,-,-,Bournemouth UA,00HN,E06000028
E06000036,0.0,0.0,-,-,Bracknell Forest UA,00MA,E06000036
E09000005,178.0,93.0,-,-,Brent,00AE,E09000005
E06000043,226.0,141.0,-,-,Brighton and Hove UA,00ML,E06000043
E06000023,114.0,154.0,-,-,"Bristol, City of UA",00HB,E06000023
E09000006,,,-,-,Bromley,00AF,E09000006
,5.0,4.0,-,-,Buckinghamshire,,
,83.0,89.0,-,-,Cambridgeshire,,
E09000007,30.0,76.0,-,-,Camden,00AG,E09000007
E06000056,19.0,30.0,-,-,Central Bedfordshire UA,00KC,E06000056
,,,-,-,Cheshire (pre-2009),13,
E06000049,,,-,-,Cheshire East UA,00EQ,E06000049
E06000050,15.0,44.0,-,-,Cheshire West and Chester UA,00EW,E06000050
E09000001,1.0,21.0,-,-,City of London,00AA,E09000001
,0.0,,-,-,Cornwall (pre-2009),15,
E06000052,24.0,46.0,-,-,Cornwall UA,00HE,E06000052
,,,-,-,County Durham (pre-2009),20,
E09000008,36.0,52.0,-,-,Croydon,00AH,E09000008
,8.0,11.0,-,-,Cumbria,16,
E06000005,17.0,19.0,-,-,Darlington UA,00EH,E06000005
E06000015,72.0,138.0,-,-,Derby UA,00FK,E06000015
,114.0,156.0,-,-,Derbyshire,17,
,48.0,78.0,-,-,Devon,,
,0.0,0.0,-,-,Dorset,19,
E06000047,50.0,80.0,-,-,Durham UA,00EJ,E06000047
E09000009,39.0,130.0,-,-,Ealing,00AJ,E09000009
E06000011,44.0,64.0,-,-,East Riding of Yorkshire UA,00FB,E06000011
,75.0,69.0,-,-,East Sussex,,
E09000010,56.0,100.0,-,-,Enfield,00AK,E09000010
,130.0,344.0,-,-,Essex,22,
,52.0,84.0,-,-,Gloucestershire,23,
,283.0,392.0,-,-,Greater Manchester (Met County),2A,
E09000011,204.0,252.0,-,-,Greenwich,00AL,E09000011
E09000012,26.0,76.0,-,-,Hackney,00AM,E09000012
E06000006,,,-,-,Halton UA,00ET,E06000006
E09000013,103.0,164.0,-,-,Hammersmith and Fulham,00AN,E09000013
,48.0,98.0,-,-,Hampshire,,
E09000014,159.0,147.0,-,-,Haringey,00AP,E09000014
E09000015,14.0,36.0,-,-,Harrow,00AQ,E09000015
E06000001,,,-,-,Hartlepool UA,00EB,E06000001
E09000016,49.0,96.0,-,-,Havering,00AR,E09000016
E06000019,,,-,-,"Herefordshire, County of UA",00GA,E06000019
,203.0,302.0,-,-,Hertfordshire,26,
E09000017,47.0,106.0,-,-,Hillingdon,00AS,E09000017
E09000018,12.0,56.0,-,-,Hounslow,00AT,E09000018
E06000046,,,-,-,Isle of Wight UA,00MW,E06000046
E07000025,0.0,0.0,-,-,Isles of Scilly UA,00HF,E07000025
E09000019,42.0,208.0,-,-,Islington,00AU,E09000019
E09000020,3.0,31.0,-,-,Kensington and Chelsea,00AW,E09000020
,108.0,153.0,-,-,Kent,,
E06000010,117.0,187.0,-,-,"Kingston upon Hull, City of UA",00FA,E06000010
E09000021,12.0,44.0,-,-,Kingston upon Thames,00AX,E09000021
E09000022,2.0,105.0,-,-,Lambeth,00AY,E09000022
,32.0,58.0,-,-,Lancashire,,
E06000016,148.0,174.0,-,-,Leicester UA,00FN,E06000016
,64.0,127.0,-,-,Leicestershire,,
E09000023,17.0,102.0,-,-,Lewisham,00AZ,E09000023
,64.0,94.0,-,-,Lincolnshire,32,
E06000032,30.0,44.0,-,-,Luton UA,00KA,E06000032
E06000035,21.0,10.0,-,-,Medway UA,00LC,E06000035
,0.0,0.0,-,-,Merseyside (Met County),2B,
E09000024,0.0,0.0,-,-,Merton,00BA,E09000024
E06000002,,,-,-,Middlesbrough UA,00EC,E06000002
E06000042,45.0,75.0,-,-,Milton Keynes UA,00MG,E06000042
E09000025,59.0,138.0,-,-,Newham,00BB,E09000025
,127.0,201.0,-,-,Norfolk,33,
E06000012,,,-,-,North East Lincolnshire UA,00FC,E06000012
E06000013,,,-,-,North Lincolnshire UA,00FD,E06000013
E06000024,,,-,-,North Somerset UA,00HC,E06000024
,25.0,36.0,-,-,North Yorkshire,36,
,92.0,175.0,-,-,Northamptonshire,34,
,,,-,-,Northumberland (pre-2009),35,
E06000057,34.0,45.0,-,-,Northumberland UA,00EM,E06000057
E06000018,187.0,194.0,-,-,Nottingham UA,00FY,E06000018
,94.0,151.0,-,-,Nottinghamshire,,
,10.0,46.0,-,-,Oxfordshire,38,
E06000031,,,-,-,Peterborough UA,00JA,E06000031
E06000026,,,-,-,Plymouth UA,00HG,E06000026
E06000029,22.0,38.0,-,-,Poole UA,00HP,E06000029
E06000044,43.0,83.0,-,-,Portsmouth UA,00MR,E06000044
E06000038,25.0,36.0,-,-,Reading UA,00MC,E06000038
E09000026,28.0,61.0,-,-,Redbridge,00BC,E09000026
E06000003,,,-,-,Redcar and Cleveland UA,00EE,E06000003
E09000027,,,-,-,Richmond upon Thames,00BD,E09000027
E06000017,,,-,-,Rutland UA,00FP,E06000017
,,,-,-,Shropshire (pre-2009),39,
E06000051,14.0,28.0,-,-,Shropshire UA,00GG,E06000051
E06000039,32.0,67.0,-,-,Slough UA,00MD,E06000039
,51.0,66.0,-,-,Somerset,40,
E06000025,,,-,-,South Gloucestershire UA,00HD,E06000025
,320.0,520.0,-,-,South Yorkshire (Met County),2C,
E06000045,63.0,107.0,-,-,Southampton UA,00MS,E06000045
E06000033,9.0,27.0,-,-,Southend-on-Sea UA,00KF,E06000033
E09000028,143.0,271.0,-,-,Southwark,00BE,E09000028
,40.0,71.0,-,-,Staffordshire,,
E06000004,0.0,0.0,-,-,Stockton-on-Tees UA,00EF,E06000004
E06000021,81.0,112.0,-,-,Stoke-on-Trent UA,00GL,E06000021
,79.0,128.0,-,-,Suffolk,42,
,62.0,102.0,-,-,Surrey,43,
E09000029,35.0,66.0,-,-,Sutton,00BF,E09000029
E06000030,40.0,67.0,-,-,Swindon UA,00HX,E06000030
E06000020,,,-,-,Telford and Wrekin UA,00GF,E06000020
E06000034,46.0,88.0,-,-,Thurrock UA,00KG,E06000034
E06000027,,,-,-,Torbay UA,00HH,E06000027
E09000030,12.0,86.0,-,-,Tower Hamlets,00BG,E09000030
,315.0,600.0,-,-,Tyne and Wear (Met County),2D,
E09000031,35.0,138.0,-,-,Waltham Forest,00BH,E09000031
E09000032,75.0,144.0,-,-,Wandsworth,00BJ,E09000032
E06000007,0.0,0.0,-,-,Warrington UA,00EU,E06000007
,60.0,114.0,-,-,Warwickshire,44,
E06000037,,,-,-,West Berkshire UA,00MB,E06000037
,766.0,1294.0,-,-,West Midlands (Met County),2E,
,94.0,135.0,-,-,West Sussex,45,
,302.0,580.0,-,-,West Yorkshire (Met County),2F,
E09000033,19.0,62.0,-,-,Westminster,00BK,E09000033
,,,-,-,Wiltshire (pre-2009),46,
E06000054,19.0,38.0,-,-,Wiltshire UA,00HY,E06000054
E06000040,,,-,-,Windsor and Maidenhead UA,00ME,E06000040
E06000041,6.0,12.0,-,-,Wokingham UA,00MF,E06000041
,50.0,43.0,-,-,Worcestershire,,
E06000014,24.0,53.0,-,-,York UA,00FF,E06000014
E07000223,12.0,13.0,-,-,Adur,45UB,E07000223
E07000026,,,-,-,Allerdale,16UB,E07000026
,,,-,-,Alnwick,35UB,
E07000032,,,-,-,Amber Valley,17UB,E07000032
E07000224,10.0,20.0,-,-,Arun,45UC,E07000224
E07000170,26.0,36.0,-,-,Ashfield,37UB,E07000170
E07000105,17.0,31.0,-,-,Ashford,29UB,E07000105
E07000004,,,-,-,Aylesbury Vale,11UB,E07000004
E07000200,11.0,20.0,-,-,Babergh,42UB,E07000200
E08000016,92.0,111.0,-,-,Barnsley,00CC,E08000016
E07000027,8.0,11.0,-,-,Barrow-in-Furness,16UC,E07000027
E07000066,21.0,64.0,-,-,Basildon,22UB,E07000066
E07000084,,,-,-,Basingstoke and Deane,24UB,E07000084
E07000171,22.0,27.0,-,-,Bassetlaw,37UC,E07000171
E06000055,,,-,-,Bedford,09UD,E06000055
,,,-,-,Berwick-upon-Tweed,35UC,
E08000025,312.0,559.0,-,-,Birmingham,00CN,E08000025
E07000129,,,-,-,Blaby,31UB,E07000129
,,,-,-,Blyth Valley,35UD,
E07000033,26.0,32.0,-,-,Bolsover,17UC,E07000033
E08000001,0.0,0.0,-,-,Bolton,00BL,E08000001
E07000136,,,-,-,Boston,32UB,E07000136
E08000032,,,-,-,Bradford,00CX,E08000032
E07000067,,,-,-,Braintree,22UC,E07000067
E07000143,,,-,-,Breckland,33UB,E07000143
E07000068,11.0,14.0,-,-,Brentwood,22UD,E07000068
,,,-,-,Bridgnorth,39UB,
E07000144,,,-,-,Broadland,33UC,E07000144
E07000234,,,-,-,Bromsgrove,47UB,E07000234
E07000095,,,-,-,Broxbourne,26UB,E07000095
E07000172,12.0,21.0,-,-,Broxtowe,37UD,E07000172
E07000117,,,-,-,Burnley,30UD,E07000117
E08000002,13.0,40.0,-,-,Bury,00BM,E08000002
E08000033,,,-,-,Calderdale,00CY,E08000033
E07000008,42.0,61.0,-,-,Cambridge,12UB,E07000008
E07000192,22.0,29.0,-,-,Cannock Chase,41UB,E07000192
E07000106,19.0,23.0,-,-,Canterbury,29UC,E07000106
,0.0,,-,-,Caradon,15UB,
E07000028,,,-,-,Carlisle,16UD,E07000028
,0.0,,-,-,Carrick,15UC,
,,,-,-,Castle Morpeth,35UE,
E07000069,12.0,15.0,-,-,Castle Point,22UE,E07000069
E07000130,24.0,34.0,-,-,Charnwood,31UC,E07000130
E07000070,,,-,-,Chelmsford,22UF,E07000070
E07000078,13.0,34.0,-,-,Cheltenham,23UB,E07000078
E07000177,,,-,-,Cherwell,38UB,E07000177
,,,-,-,Chester,13UB,
,,,-,-,Chester-le-Street,20UB,
E07000034,37.0,51.0,-,-,Chesterfield,17UD,E07000034
E07000225,,,-,-,Chichester,45UD,E07000225
E07000005,,,-,-,Chiltern,11UC,E07000005
E07000118,,,-,-,Chorley,30UE,E07000118
E07000048,,,-,-,Christchurch,19UC,E07000048
