ONS,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,Region,LA,ONS
,13130.0,12860.0,13890.0,13570.0,13230.0,13470.0,13370.0,12890.0,12540.0,13140.0,13900.0,13680.0,13520.0,-,-,-,England,64,
,990.0,970.0,734.0,827.0,866.0,926.0,909.0,798.0,900.0,863.0,904.0,768.0,841.0,-,-,-,East Midlands,E,
,1390.0,1350.0,1448.0,1400.0,1442.0,1516.0,1387.0,1445.0,1360.0,1390.0,1324.0,1561.0,1421.0,-,-,-,East of England,G,
,3760.0,3350.0,3897.0,4213.0,3992.0,4231.0,4418.0,4342.0,4030.0,3940.0,4340.0,4690.0,4390.0,-,-,-,London,H,
,450.0,470.0,431.0,426.0,410.0,383.0,414.0,333.0,377.0,343.0,398.0,304.0,334.0,-,-,-,North East,A,
,1060.0,1020.0,1033.0,964.0,985.0,904.0,898.0,822.0,866.0,906.0,925.0,871.0,936.0,-,-,-,North West,B,
,1300.0,1380.0,1600.0,1498.0,1457.0,1451.0,1632.0,1391.0,1444.0,1745.0,1838.0,1837.0,1647.0,-,-,-,South East,J,
,900.0,890.0,906.0,906.0,857.0,819.0,820.0,728.0,858.0,990.0,1052.0,896.0,940.0,-,-,-,South West,K,
,2040.0,2160.0,2340.0,2090.0,2123.0,2203.0,1942.0,1990.0,1867.0,2040.0,2124.0,1911.0,1945.0,-,-,-,West Midlands,F,
,1250.0,1270.0,1304.0,1242.0,1098.0,1012.0,953.0,796.0,703.0,768.0,892.0,741.0,806.0,-,-,-,Yorkshire and the Humber,D,
E09000002,100.0,147.0,115.0,214.0,188.0,205.0,252.0,235.0,161.0,194.0,191.0,208.0,171.0,-,-,-,Barking and Dagenham,00AB,E09000002
E09000003,105.0,144.0,108.0,176.0,167.0,112.0,148.0,265.0,149.0,109.0,199.0,159.0,159.0,-,-,-,Barnet,00AC,E09000003
E06000022,22.0,19.0,21.0,23.0,23.0,28.0,14.0,12.0,11.0,11.0,17.0,13.0,7.0,-,-,-,Bath and North East Somerset UA,00HA,E06000022
