ONS,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,Region,LA,ONS
,1920.0,1860.0,2200.0,2220.0,2140.0,2150.0,2120.0,2220.0,2050.0,2050.0,2220.0,2450.0,2260.0,-,-,-,England,64,
,140.0,150.0,118.0,165.0,159.0,154.0,153.0,157.0,82.0,125.0,116.0,119.0,125.0,-,-,-,East Midlands,E,
,200.0,200.0,209.0,191.0,207.0,261.0,242.0,260.0,197.0,188.0,200.0,244.0,177.0,-,-,-,East of England,G,
,460.0,460.0,574.0,695.0,578.0,609.0,525.0,600.0,530.0,460.0,550.0,700.0,640.0,-,-,-,London,H,
,50.0,50.0,74.0,58.0,72.0,58.0,52.0,51.0,31.0,25.0,22.0,38.0,27.0,-,-,-,North East,A,
,200.0,200.0,227.0,174.0,197.0,197.0,215.0,209.0,159.0,140.0,168.0,153.0,209.0,-,-,-,North West,B,
,370.0,320.0,375.0,375.0,364.0,357.0,358.0,377.0,286.0,290.0,328.0,386.0,294.0,-,-,-,South East,J,
,140.0,170.0,158.0,171.0,172.0,138.0,169.0,166.0,95.0,137.0,174.0,194.0,175.0,-,-,-,South West,K,
,230.0,200.0,264.0,240.0,241.0,241.0,248.0,275.0,200.0,218.0,233.0,225.0,193.0,-,-,-,West Midlands,F,
,130.0,120.0,145.0,150.0,146.0,135.0,160.0,125.0,47.0,113.0,82.0,101.0,110.0,-,-,-,Yorkshire and the Humber,D,
E09000002,4.0,11.0,12.0,15.0,11.0,11.0,19.0,23.0,23.0,25.0,35.0,39.0,38.0,-,-,-,Barking and Dagenham,00AB,E09000002
E09000003,10.0,8.0,2.0,6.0,12.0,8.0,6.0,8.0,9.0,,26.0,8.0,8.0,-,-,-,Barnet,00AC,E09000003
E06000022,2.0,4.0,2.0,3.0,3.0,0.0,4.0,5.0,,,,5.0,0.0,-,-,-,Bath and North East Somerset UA,00HA,E06000022
,8.0,5.0,12.0,5.0,9.0,11.0,7.0,8.0,6.0,,15.0,9.0,12.0,-,-,-,Bedford UA,00KB,
,,,,,,,,,,,,,0.0,-,-,-,Bedfordshire (pre-2009),9,
E09000004,7.0,8.0,10.0,16.0,12.0,16.0,9.0,21.0,12.0,16.0,25.0,23.0,10.0,-,-,-,Bexley,00AD,E09000004
E06000008,1.0,0.0,2.0,0.0,5.0,2.0,4.0,3.0,,0.0,,,0.0,-,-,-,Blackburn with Darwen UA,00EX,E06000008
E06000009,4.0,3.0,2.0,5.0,11.0,6.0,6.0,4.0,,,,6.0,15.0,-,-,-,Blackpool UA,00EY,E06000009
E06000028,5.0,2.0,1.0,3.0,2.0,3.0,9.0,6.0,9.0,14.0,27.0,26.0,29.0,-,-,-,Bournemouth UA,00HN,E06000028
E06000036,1.0,2.0,2.0,1.0,0.0,5.0,2.0,3.0,,,5.0,,10.0,-,-,-,Bracknell Forest UA,00MA,E06000036
E09000005,11.0,6.0,6.0,9.0,5.0,18.0,12.0,18.0,25.0,8.0,18.0,23.0,14.0,-,-,-,Brent,00AE,E09000005
E06000043,34.0,14.0,23.0,42.0,35.0,22.0,25.0,34.0,41.0,27.0,32.0,34.0,33.0,-,-,-,Brighton and Hove UA,00ML,E06000043
E06000023,3.0,8.0,6.0,3.0,5.0,1.0,13.0,10.0,11.0,11.0,17.0,24.0,22.0,-,-,-,"Bristol, City of UA",00HB,E06000023
E09000006,11.0,11.0,13.0,18.0,18.0,18.0,9.0,32.0,9.0,12.0,5.0,,10.0,-,-,-,Bromley,00AF,E09000006
,13.0,7.0,11.0,5.0,6.0,14.0,8.0,3.0,7.0,0.0,10.0,9.0,5.0,-,-,-,Buckinghamshire,,
,17.0,14.0,19.0,13.0,16.0,25.0,16.0,18.0,0.0,5.0,5.0,7.0,8.0,-,-,-,Cambridgeshire,,
E09000007,8.0,5.0,6.0,6.0,5.0,1.0,3.0,3.0,,6.0,,,,-,-,-,Camden,00AG,E09000007
E06000056,4.0,5.0,6.0,5.0,4.0,8.0,4.0,10.0,9.0,,7.0,7.0,,-,-,-,Central Bedfordshire UA,00KC,E06000056
,,,,,,,,,,,,,0.0,-,-,-,Cheshire (pre-2009),13,
E06000049,7.0,9.0,5.0,8.0,3.0,2.0,11.0,7.0,11.0,,14.0,6.0,9.0,-,-,-,Cheshire East UA,00EQ,E06000049
E06000050,7.0,5.0,7.0,6.0,6.0,9.0,5.0,12.0,19.0,18.0,22.0,20.0,14.0,-,-,-,Cheshire West and Chester UA,00EW,E06000050
E09000001,0.0,0.0,2.0,3.0,1.0,3.0,1.0,1.0,,,,0.0,,-,-,-,City of London,00AA,E09000001
,,,,,,,,,,,,,0.0,-,-,-,Cornwall (pre-2009),15,
E06000052,24.0,11.0,24.0,20.0,17.0,5.0,3.0,8.0,5.0,5.0,9.0,13.0,11.0,-,-,-,Cornwall UA,00HE,E06000052
,,,,,,,,,,,,,0.0,-,-,-,County Durham (pre-2009),20,
E09000008,36.0,21.0,36.0,87.0,42.0,34.0,17.0,17.0,28.0,23.0,40.0,40.0,22.0,-,-,-,Croydon,00AH,E09000008
,17.0,11.0,22.0,10.0,12.0,11.0,16.0,13.0,0.0,6.0,7.0,5.0,5.0,-,-,-,Cumbria,16,
E06000005,5.0,1.0,9.0,2.0,7.0,4.0,3.0,6.0,,,,9.0,,-,-,-,Darlington UA,00EH,E06000005
E06000015,7.0,9.0,16.0,10.0,20.0,23.0,29.0,16.0,18.0,13.0,22.0,21.0,11.0,-,-,-,Derby UA,00FK,E06000015
,11.0,20.0,20.0,25.0,23.0,20.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,-,-,-,Derbyshire,17,
,19.0,46.0,30.0,40.0,44.0,25.0,20.0,24.0,12.0,20.0,14.0,31.0,15.0,-,-,-,Devon,,
,4.0,7.0,8.0,5.0,6.0,10.0,23.0,6.0,0.0,5.0,8.0,7.0,17.0,-,-,-,Dorset,19,
