ONS,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,Region,LA,ONS
,5200.0,4700.0,4910.0,5030.0,5160.0,5160.0,5360.0,5210.0,5340.0,4850.0,5060.0,5210.0,5120.0,-,-,-,England,64,
,330.0,300.0,177.0,249.0,259.0,292.0,314.0,302.0,209.0,179.0,223.0,217.0,204.0,-,-,-,East Midlands,E,
,260.0,310.0,223.0,191.0,239.0,305.0,334.0,219.0,154.0,201.0,278.0,273.0,284.0,-,-,-,East of England,G,
,1030.0,960.0,1120.0,1204.0,1236.0,1188.0,1258.0,1261.0,1352.0,1113.0,1200.0,1310.0,1120.0,-,-,-,London,H,
,320.0,350.0,315.0,405.0,290.0,309.0,297.0,254.0,351.0,313.0,290.0,268.0,215.0,-,-,-,North East,A,
,750.0,690.0,766.0,734.0,918.0,946.0,974.0,737.0,760.0,660.0,705.0,624.0,772.0,-,-,-,North West,B,
,440.0,350.0,405.0,473.0,457.0,450.0,661.0,616.0,615.0,552.0,629.0,642.0,718.0,-,-,-,South East,J,
,230.0,180.0,228.0,186.0,180.0,193.0,222.0,131.0,138.0,160.0,162.0,215.0,209.0,-,-,-,South West,K,
,900.0,690.0,705.0,683.0,659.0,713.0,650.0,735.0,741.0,791.0,722.0,816.0,728.0,-,-,-,West Midlands,F,
,950.0,870.0,887.0,906.0,918.0,760.0,681.0,600.0,578.0,480.0,604.0,603.0,609.0,-,-,-,Yorkshire and the Humber,D,
E09000002,8.0,12.0,14.0,6.0,50.0,98.0,101.0,106.0,120.0,113.0,164.0,139.0,141.0,-,-,-,Barking and Dagenham,00AB,E09000002
E09000003,14.0,13.0,14.0,6.0,13.0,8.0,15.0,19.0,11.0,,34.0,31.0,52.0,-,-,-,Barnet,00AC,E09000003
E06000022,1.0,2.0,5.0,8.0,1.0,1.0,7.0,6.0,,,0.0,,,-,-,-,Bath and North East Somerset UA,00HA,E06000022
,4.0,3.0,4.0,3.0,5.0,10.0,7.0,8.0,,8.0,7.0,10.0,12.0,-,-,-,Bedford UA,00KB,
,,,,,,,,,,,,0.0,0.0,-,-,-,Bedfordshire (pre-2009),9,
E09000004,20.0,20.0,16.0,23.0,20.0,20.0,7.0,9.0,16.0,33.0,30.0,16.0,19.0,-,-,-,Bexley,00AD,E09000004
E06000008,4.0,3.0,4.0,4.0,6.0,5.0,6.0,5.0,6.0,,,,,-,-,-,Blackburn with Darwen UA,00EX,E06000008
E06000009,74.0,48.0,27.0,44.0,74.0,112.0,154.0,121.0,157.0,116.0,129.0,85.0,142.0,-,-,-,Blackpool UA,00EY,E06000009
E06000028,6.0,4.0,16.0,7.0,1.0,12.0,15.0,12.0,32.0,22.0,46.0,25.0,55.0,-,-,-,Bournemouth UA,00HN,E06000028
E06000036,2.0,1.0,1.0,1.0,1.0,2.0,3.0,,,,5.0,,7.0,-,-,-,Bracknell Forest UA,00MA,E06000036
E09000005,29.0,14.0,20.0,29.0,31.0,33.0,65.0,91.0,73.0,62.0,66.0,82.0,72.0,-,-,-,Brent,00AE,E09000005
E06000043,32.0,10.0,29.0,41.0,56.0,24.0,74.0,105.0,135.0,80.0,54.0,83.0,87.0,-,-,-,Brighton and Hove UA,00ML,E06000043
E06000023,3.0,6.0,3.0,2.0,7.0,5.0,8.0,19.0,13.0,18.0,19.0,29.0,32.0,-,-,-,"Bristol, City of UA",00HB,E06000023
E09000006,52.0,51.0,41.0,63.0,59.0,46.0,62.0,63.0,59.0,38.0,43.0,35.0,31.0,-,-,-,Bromley,00AF,E09000006
,28.0,14.0,19.0,10.0,27.0,23.0,28.0,29.0,12.0,14.0,13.0,20.0,16.0,-,-,-,Buckinghamshire,,
,1.0,4.0,3.0,7.0,12.0,13.0,7.0,0.0,0.0,0.0,7.0,8.0,24.0,-,-,-,Cambridgeshire,,
E09000007,5.0,6.0,6.0,5.0,4.0,4.0,1.0,,,,,,,-,-,-,Camden,00AG,E09000007
E06000056,3.0,5.0,2.0,9.0,6.0,0.0,5.0,6.0,,6.0,,11.0,,-,-,-,Central Bedfordshire UA,00KC,E06000056
,,,,,,,,,,,,0.0,0.0,-,-,-,Cheshire (pre-2009),13,
E06000049,3.0,3.0,3.0,7.0,7.0,4.0,8.0,,,5.0,5.0,8.0,13.0,-,-,-,Cheshire East UA,00EQ,E06000049
E06000050,7.0,8.0,3.0,1.0,3.0,8.0,1.0,5.0,,6.0,9.0,,,-,-,-,Cheshire West and Chester UA,00EW,E06000050
E09000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,-,-,-,City of London,00AA,E09000001
,,,,,,,,,,,,0.0,0.0,-,-,-,Cornwall (pre-2009),15,
E06000052,14.0,15.0,12.0,12.0,6.0,1.0,11.0,18.0,14.0,22.0,9.0,9.0,19.0,-,-,-,Cornwall UA,00HE,E06000052
,,,,,,,,,,,,0.0,0.0,-,-,-,County Durham (pre-2009),20,
E09000008,111.0,81.0,111.0,97.0,86.0,87.0,121.0,82.0,127.0,89.0,38.0,77.0,56.0,-,-,-,Croydon,00AH,E09000008
,66.0,46.0,43.0,37.0,29.0,44.0,47.0,12.0,13.0,21.0,19.0,17.0,25.0,-,-,-,Cumbria,16,
E06000005,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,0.0,,,-,-,-,Darlington UA,00EH,E06000005
E06000015,4.0,4.0,7.0,5.0,14.0,82.0,72.0,122.0,91.0,58.0,36.0,44.0,35.0,-,-,-,Derby UA,00FK,E06000015
,46.0,36.0,39.0,49.0,45.0,41.0,59.0,40.0,32.0,28.0,46.0,65.0,49.0,-,-,-,Derbyshire,17,
,76.0,43.0,46.0,43.0,40.0,42.0,39.0,17.0,13.0,30.0,12.0,29.0,5.0,-,-,-,Devon,,
,11.0,21.0,18.0,17.0,32.0,19.0,36.0,0.0,7.0,0.0,0.0,6.0,12.0,-,-,-,Dorset,19,
E06000047,36.0,32.0,50.0,60.0,30.0,28.0,32.0,21.0,28.0,26.0,19.0,9.0,11.0,-,-,-,Durham UA,00EJ,E06000047
E09000009,27.0,18.0,26.0,31.0,56.0,39.0,74.0,82.0,85.0,109.0,123.0,124.0,126.0,-,-,-,Ealing,00AJ,E09000009
E06000011,41.0,38.0,44.0,44.0,35.0,25.0,25.0,25.0,24.0,29.0,26.0,22.0,25.0,-,-,-,East Riding of Yorkshire UA,00FB,E06000011
,20.0,18.0,23.0,23.0,28.0,24.0,31.0,20.0,16.0,28.0,53.0,31.0,25.0,-,-,-,East Sussex,,
E09000010,17.0,26.0,37.0,19.0,20.0,9.0,21.0,19.0,22.0,15.0,10.0,20.0,17.0,-,-,-,Enfield,00AK,E09000010
,50.0,34.0,48.0,44.0,45.0,47.0,61.0,42.0,25.0,43.0,36.0,35.0,18.0,-,-,-,Essex,22,
,21.0,13.0,32.0,31.0,21.0,20.0,36.0,12.0,9.0,14.0,11.0,22.0,29.0,-,-,-,Gloucestershire,23,
,446.0,437.0,525.0,517.0,630.0,624.0,581.0,486.0,482.0,408.0,415.0,412.0,477.0,-,-,-,Greater Manchester (Met County),2A,
E09000011,61.0,45.0,34.0,50.0,39.0,32.0,3.0,5.0,11.0,21.0,13.0,14.0,18.0,-,-,-,Greenwich,00AL,E09000011
E09000012,60.0,60.0,77.0,75.0,47.0,45.0,54.0,79.0,99.0,52.0,70.0,45.0,52.0,-,-,-,Hackney,00AM,E09000012
E06000006,4.0,0.0,5.0,7.0,18.0,19.0,6.0,,,,24.0,23.0,29.0,-,-,-,Halton UA,00ET,E06000006
E09000013,13.0,11.0,6.0,11.0,17.0,9.0,17.0,16.0,24.0,7.0,15.0,16.0,14.0,-,-,-,Hammersmith and Fulham,00AN,E09000013
,24.0,17.0,21.0,27.0,21.0,25.0,48.0,31.0,20.0,32.0,37.0,24.0,33.0,-,-,-,Hampshire,,
E09000014,16.0,14.0,16.0,27.0,17.0,14.0,31.0,27.0,18.0,13.0,21.0,28.0,15.0,-,-,-,Haringey,00AP,E09000014
E09000015,5.0,8.0,8.0,3.0,9.0,7.0,7.0,11.0,8.0,11.0,7.0,,7.0,-,-,-,Harrow,00AQ,E09000015
E06000001,0.0,0.0,0.0,2.0,0.0,1.0,1.0,,,,,,,-,-,-,Hartlepool UA,00EB,E06000001
E09000016,30.0,32.0,19.0,42.0,36.0,34.0,33.0,25.0,20.0,9.0,13.0,26.0,25.0,-,-,-,Havering,00AR,E09000016
E06000019,13.0,4.0,11.0,8.0,5.0,14.0,8.0,11.0,7.0,7.0,,5.0,5.0,-,-,-,"Herefordshire, County of UA",00GA,E06000019
,44.0,38.0,39.0,27.0,24.0,25.0,32.0,25.0,17.0,5.0,20.0,30.0,17.0,-,-,-,Hertfordshire,26,
E09000017,4.0,6.0,3.0,2.0,4.0,7.0,5.0,,,9.0,10.0,7.0,6.0,-,-,-,Hillingdon,00AS,E09000017
E09000018,22.0,24.0,24.0,22.0,14.0,23.0,20.0,20.0,10.0,17.0,,10.0,6.0,-,-,-,Hounslow,00AT,E09000018
E06000046,4.0,0.0,2.0,3.0,1.0,3.0,123.0,111.0,96.0,75.0,57.0,71.0,69.0,-,-,-,Isle of Wight UA,00MW,E06000046
E07000025,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-,-,-,Isles of Scilly UA,00HF,E07000025
E09000019,90.0,72.0,80.0,46.0,55.0,40.0,37.0,29.0,35.0,45.0,40.0,50.0,30.0,-,-,-,Islington,00AU,E09000019
E09000020,142.0,139.0,142.0,123.0,127.0,117.0,109.0,112.0,128.0,116.0,103.0,103.0,92.0,-,-,-,Kensington and Chelsea,00AW,E09000020
,143.0,112.0,146.0,137.0,163.0,166.0,149.0,134.0,173.0,133.0,164.0,146.0,221.0,-,-,-,Kent,,
E06000010,69.0,65.0,80.0,65.0,78.0,64.0,74.0,43.0,51.0,38.0,34.0,35.0,37.0,-,-,-,"Kingston upon Hull, City of UA",00FA,E06000010
E09000021,26.0,15.0,18.0,14.0,28.0,15.0,15.0,25.0,18.0,13.0,17.0,15.0,21.0,-,-,-,Kingston upon Thames,00AX,E09000021
E09000022,15.0,16.0,22.0,11.0,15.0,25.0,21.0,16.0,11.0,18.0,20.0,13.0,16.0,-,-,-,Lambeth,00AY,E09000022
