ONS,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,Region,LA,ONS
,50430.0,51640.0,52960.0,53130.0,55300.0,56290.0,57420.0,56940.0,58440.0,59710.0,60950.0,61930.0,64710.0,-,-,-,England,64,
,740.0,780.0,570.0,673.0,756.0,700.0,696.0,677.0,599.0,681.0,723.0,649.0,661.0,-,-,-,East Midlands,E,
,3010.0,3230.0,3386.0,3360.0,3652.0,3683.0,3790.0,3568.0,3830.0,3834.0,2966.0,3095.0,4110.0,-,-,-,East of England,G,
,36740.0,37190.0,38165.0,38856.0,40229.0,41269.0,42258.0,42433.0,43310.0,44370.0,45810.0,47020.0,48240.0,-,-,-,London,H,
,210.0,220.0,200.0,169.0,169.0,180.0,191.0,148.0,140.0,130.0,146.0,133.0,148.0,-,-,-,North East,A,
,1100.0,1100.0,1108.0,990.0,1046.0,994.0,953.0,922.0,931.0,926.0,1032.0,1033.0,1085.0,-,-,-,North West,B,
,4280.0,4570.0,4711.0,4596.0,4832.0,4937.0,5143.0,5059.0,4808.0,4956.0,5546.0,5594.0,5775.0,-,-,-,South East,J,
,2000.0,2000.0,2051.0,1986.0,2029.0,2036.0,2024.0,1981.0,1942.0,1979.0,2194.0,2142.0,2094.0,-,-,-,South West,K,
,1420.0,1530.0,1553.0,1510.0,1671.0,1668.0,1582.0,1489.0,1509.0,1495.0,1641.0,1480.0,1615.0,-,-,-,West Midlands,F,
,940.0,1020.0,1030.0,991.0,914.0,820.0,781.0,659.0,653.0,661.0,743.0,686.0,747.0,-,-,-,Yorkshire and the Humber,D,
E09000002,1085.0,1146.0,1178.0,1184.0,1188.0,1228.0,1293.0,1355.0,1386.0,1327.0,1327.0,1353.0,1317.0,-,-,-,Barking and Dagenham,00AB,E09000002
E09000003,2214.0,2254.0,2325.0,2336.0,2372.0,2410.0,2443.0,2403.0,2401.0,,2426.0,2468.0,2758.0,-,-,-,Barnet,00AC,E09000003
E06000022,28.0,26.0,28.0,27.0,25.0,26.0,23.0,12.0,11.0,12.0,15.0,18.0,13.0,-,-,-,Bath and North East Somerset UA,00HA,E06000022
,33.0,43.0,48.0,55.0,61.0,56.0,60.0,56.0,62.0,64.0,65.0,54.0,61.0,-,-,-,Bedford UA,00KB,
,,,,,,,,,,,,0.0,0.0,-,-,-,Bedfordshire (pre-2009),9,
E09000004,304.0,336.0,360.0,394.0,430.0,447.0,452.0,501.0,539.0,588.0,624.0,659.0,695.0,-,-,-,Bexley,00AD,E09000004
E06000008,6.0,4.0,4.0,1.0,3.0,3.0,2.0,7.0,6.0,7.0,5.0,,5.0,-,-,-,Blackburn with Darwen UA,00EX,E06000008
E06000009,22.0,20.0,21.0,18.0,24.0,25.0,20.0,7.0,21.0,14.0,17.0,16.0,35.0,-,-,-,Blackpool UA,00EY,E06000009
E06000028,21.0,9.0,39.0,43.0,50.0,39.0,52.0,60.0,62.0,70.0,39.0,31.0,36.0,-,-,-,Bournemouth UA,00HN,E06000028
E06000036,48.0,42.0,42.0,39.0,43.0,47.0,50.0,52.0,61.0,65.0,63.0,65.0,83.0,-,-,-,Bracknell Forest UA,00MA,E06000036
E09000005,3176.0,3170.0,3287.0,3220.0,3249.0,3484.0,3410.0,3293.0,3341.0,3393.0,3443.0,3363.0,3161.0,-,-,-,Brent,00AE,E09000005
E06000043,752.0,839.0,933.0,982.0,1064.0,1130.0,1190.0,1270.0,1266.0,1308.0,1381.0,1398.0,1456.0,-,-,-,Brighton and Hove UA,00ML,E06000043
E06000023,160.0,159.0,161.0,162.0,181.0,202.0,216.0,259.0,282.0,346.0,439.0,415.0,454.0,-,-,-,"Bristol, City of UA",00HB,E06000023
E09000006,612.0,639.0,673.0,728.0,764.0,777.0,850.0,806.0,824.0,881.0,865.0,956.0,1010.0,-,-,-,Bromley,00AF,E09000006
,114.0,133.0,128.0,126.0,132.0,130.0,139.0,122.0,114.0,124.0,165.0,150.0,151.0,-,-,-,Buckinghamshire,,
,250.0,251.0,261.0,241.0,274.0,272.0,286.0,227.0,244.0,232.0,266.0,242.0,265.0,-,-,-,Cambridgeshire,,
E09000007,665.0,665.0,666.0,665.0,654.0,628.0,583.0,558.0,539.0,526.0,527.0,501.0,490.0,-,-,-,Camden,00AG,E09000007
E06000056,46.0,33.0,35.0,37.0,35.0,36.0,32.0,33.0,41.0,42.0,56.0,59.0,66.0,-,-,-,Central Bedfordshire UA,00KC,E06000056
