ONS,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,Region,LA,ONS
,2822290.0,2831240.0,2836730.0,2835099.0,2832417.0,2826586.0,2814933.0,2792232.0,2794563.0,2789390.0,2780437.0,2757726.0,-,-,-,-,England,64,
,216310.0,216830.0,217070.0,215910.0,216687.0,215944.0,214123.0,211670.0,213087.0,211403.0,210626.0,208984.0,-,-,-,-,East Midlands,E,
,262200.0,263650.0,264810.0,264717.0,264851.0,264089.0,264091.0,261749.0,260786.0,261306.0,260563.0,258383.0,-,-,-,-,East of England,G,
,562930.0,564870.0,566490.0,568150.0,562717.0,567250.0,565926.0,562347.0,560973.0,559229.0,559218.0,556173.0,-,-,-,-,London,H,
,192110.0,191680.0,191610.0,191780.0,191838.0,189904.0,188975.0,187051.0,188059.0,187227.0,186365.0,185600.0,-,-,-,-,North East,A,
,418090.0,418880.0,419350.0,418410.0,417471.0,416173.0,413913.0,409794.0,409936.0,409427.0,406743.0,400146.0,-,-,-,-,North West,B,
,334160.0,335950.0,336520.0,337188.0,337658.0,336380.0,334795.0,333113.0,332918.0,332638.0,331875.0,330612.0,-,-,-,-,South East,J,
,218270.0,219450.0,220150.0,219836.0,220486.0,219279.0,218981.0,217619.0,217825.0,218083.0,217598.0,216214.0,-,-,-,-,South West,K,
,323160.0,323560.0,324070.0,322575.0,324916.0,322757.0,321681.0,318821.0,320343.0,319722.0,318427.0,315139.0,-,-,-,-,West Midlands,F,
,295060.0,296360.0,296660.0,296533.0,295793.0,294810.0,292446.0,290068.0,290641.0,290363.0,289021.0,286472.0,-,-,-,-,Yorkshire and the Humber,D,
E09000002,15780.0,15870.0,15890.0,15913.0,15750.0,15866.0,16295.0,16115.0,15920.0,15911.0,16094.0,16083.0,-,-,-,-,Barking and Dagenham,00AB,E09000002
E09000003,13480.0,13620.0,13790.0,13872.0,13982.0,13789.0,14027.0,13874.0,13946.0,13900.0,13800.0,13698.0,-,-,-,-,Barnet,00AC,E09000003
E06000022,7630.0,7620.0,7640.0,7623.0,7590.0,7616.0,7599.0,7618.0,7624.0,7600.0,7537.0,7523.0,-,-,-,-,Bath and North East Somerset UA,00HA,E06000022
,7670.0,7620.0,7650.0,7680.0,7700.0,7684.0,7654.0,7524.0,7585.0,7526.0,7468.0,7371.0,-,-,-,-,Bedford UA,00KB,
,,,,,,,,,,,,,-,-,-,-,Bedfordshire (pre-2009),9,
E09000004,9390.0,9510.0,9540.0,9530.0,9340.0,9545.0,9616.0,9502.0,9325.0,9502.0,9526.0,9482.0,-,-,-,-,Bexley,00AD,E09000004
E06000008,8160.0,8130.0,8120.0,8112.0,8121.0,8032.0,8036.0,7983.0,8080.0,8006.0,7899.0,7927.0,-,-,-,-,Blackburn with Darwen UA,00EX,E06000008
E06000009,5860.0,5910.0,5820.0,5725.0,5682.0,5696.0,5673.0,5510.0,5553.0,5539.0,5527.0,5407.0,-,-,-,-,Blackpool UA,00EY,E06000009
E06000028,6560.0,6550.0,6590.0,6575.0,6632.0,6562.0,6584.0,6449.0,6490.0,6435.0,6414.0,6341.0,-,-,-,-,Bournemouth UA,00HN,E06000028
E06000036,4650.0,4640.0,4640.0,4653.0,4664.0,4622.0,4508.0,4616.0,4723.0,4570.0,4571.0,4551.0,-,-,-,-,Bracknell Forest UA,00MA,E06000036
E09000005,20210.0,20350.0,20430.0,20529.0,20561.0,20530.0,20262.0,20145.0,20134.0,20038.0,19912.0,19792.0,-,-,-,-,Brent,00AE,E09000005
E06000043,14800.0,14860.0,14870.0,14728.0,14866.0,14735.0,14627.0,14545.0,14598.0,14506.0,14455.0,14309.0,-,-,-,-,Brighton and Hove UA,00ML,E06000043
E06000023,28200.0,28300.0,28530.0,28168.0,28410.0,28137.0,27971.0,27702.0,27700.0,27623.0,27502.0,27292.0,-,-,-,-,"Bristol, City of UA",00HB,E06000023
