ONS,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,Region,LA,ONS
,1455160.0,1463920.0,1466630.0,1470314.0,1485497.0,1483710.0,1475336.0,1464660.0,1466155.0,1450147.0,1429041.0,1407208.0,-,-,-,-,England,64,
,107520.0,108700.0,109510.0,108934.0,110690.0,110807.0,109582.0,108408.0,109930.0,107295.0,105508.0,103331.0,-,-,-,-,East Midlands,E,
,127940.0,128980.0,129390.0,130030.0,131922.0,131593.0,130653.0,129077.0,128670.0,127442.0,125130.0,122892.0,-,-,-,-,East of England,G,
,280700.0,280900.0,279310.0,280007.0,279797.0,279961.0,280045.0,278572.0,277637.0,275303.0,272477.0,268890.0,-,-,-,-,London,H,
,75770.0,76870.0,77700.0,78832.0,80014.0,79748.0,79809.0,79909.0,79996.0,80299.0,79681.0,79595.0,-,-,-,-,North East,A,
,216710.0,218530.0,219520.0,219727.0,220454.0,221444.0,220810.0,219923.0,219657.0,217142.0,214056.0,209897.0,-,-,-,-,North West,B,
,207660.0,208340.0,208310.0,209481.0,212021.0,211259.0,209424.0,208672.0,208354.0,206341.0,202933.0,201035.0,-,-,-,-,South East,J,
,156820.0,157380.0,157200.0,157400.0,159664.0,158178.0,156473.0,154764.0,155759.0,152855.0,150256.0,147795.0,-,-,-,-,South West,K,
,136990.0,137620.0,138010.0,137280.0,140118.0,140138.0,139195.0,136614.0,137403.0,135693.0,134166.0,130920.0,-,-,-,-,West Midlands,F,
,145050.0,146600.0,147680.0,148623.0,150817.0,150582.0,149346.0,148721.0,148751.0,147782.0,144838.0,142848.0,-,-,-,-,Yorkshire and the Humber,D,
E09000002,7220.0,7300.0,7320.0,7397.0,7359.0,7573.0,7551.0,7624.0,7603.0,7616.0,7605.0,7639.0,-,-,-,-,Barking and Dagenham,00AB,E09000002
E09000003,15020.0,15180.0,15360.0,15510.0,15724.0,15695.0,16201.0,16153.0,16390.0,16461.0,16540.0,16596.0,-,-,-,-,Barnet,00AC,E09000003
