ONS,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,Region,LA,ONS
,178000.0,182000.0,190000.0,184999.0,180000.0,184000.0,-,-,-,-,-,-,-,-,-,-,England,64,
,,,,,,,-,-,-,-,-,-,-,-,-,-,East Midlands,E,
,,,,,,,-,-,-,-,-,-,-,-,-,-,East of England,G,
,,,,,,,-,-,-,-,-,-,-,-,-,-,London,H,
,,,,,,,-,-,-,-,-,-,-,-,-,-,North East,A,
,,,,,,,-,-,-,-,-,-,-,-,-,-,North West,B,
,,,,,,,-,-,-,-,-,-,-,-,-,-,South East,J,
,,,,,,,-,-,-,-,-,-,-,-,-,-,South West,K,
,,,,,,,-,-,-,-,-,-,-,-,-,-,West Midlands,F,
,,,,,,,-,-,-,-,-,-,-,-,-,-,Yorkshire and the Humber,D,
E09000002,173000.0,170995.0,173000.0,178500.0,175250.0,176000.0,-,-,-,-,-,-,-,-,-,-,Barking and Dagenham,00AB,E09000002
E09000003,308000.0,345000.0,355000.0,326725.0,315500.0,325000.0,-,-,-,-,-,-,-,-,-,-,Barnet,00AC,E09000003
E06000022,220000.0,230000.0,242000.0,230000.0,225000.0,235000.0,-,-,-,-,-,-,-,-,-,-,Bath and North East Somerset UA,00HA,E06000022
,175000.0,196750.0,178000.0,185000.0,170000.0,185000.0,-,-,-,-,-,-,-,-,-,-,Bedford UA,00KB,
,,,,,,,-,-,-,-,-,-,-,-,-,-,Bedfordshire (pre-2009),9,
E09000004,207000.0,210000.0,217000.0,210000.0,219475.0,221000.0,-,-,-,-,-,-,-,-,-,-,Bexley,00AD,E09000004
E06000008,97000.0,97000.0,95000.0,96000.0,95000.0,100000.0,-,-,-,-,-,-,-,-,-,-,Blackburn with Darwen UA,00EX,E06000008
E06000009,95000.0,94475.0,93250.0,90000.0,91250.0,98000.0,-,-,-,-,-,-,-,-,-,-,Blackpool UA,00EY,E06000009
E06000028,190000.0,198000.0,205000.0,190000.0,187000.0,189975.0,-,-,-,-,-,-,-,-,-,-,Bournemouth UA,00HN,E06000028
E06000036,220000.0,235000.0,246000.0,240000.0,225000.0,239500.0,-,-,-,-,-,-,-,-,-,-,Bracknell Forest UA,00MA,E06000036
E09000005,311000.0,330000.0,325000.0,327000.0,318975.0,340000.0,-,-,-,-,-,-,-,-,-,-,Brent,00AE,E09000005
E06000043,225866.0,245000.0,250000.0,249995.0,241000.0,248950.0,-,-,-,-,-,-,-,-,-,-,Brighton and Hove UA,00ML,E06000043
E06000023,170000.0,173875.0,180000.0,175000.0,170000.0,172000.0,-,-,-,-,-,-,-,-,-,-,"Bristol, City of UA",00HB,E06000023
E09000006,260000.0,275000.0,292500.0,280000.0,275000.0,287500.0,-,-,-,-,-,-,-,-,-,-,Bromley,00AF,E09000006
,248000.0,284500.0,285000.0,270000.0,255000.0,284973.0,-,-,-,-,-,-,-,-,-,-,Buckinghamshire,,
,185000.0,202750.0,212500.0,208000.0,210000.0,200000.0,-,-,-,-,-,-,-,-,-,-,Cambridgeshire,,
E09000007,476500.0,499950.0,520000.0,535000.0,495475.0,595000.0,-,-,-,-,-,-,-,-,-,-,Camden,00AG,E09000007
E06000056,190000.0,200000.0,200000.0,196500.0,193500.0,200000.0,-,-,-,-,-,-,-,-,-,-,Central Bedfordshire UA,00KC,E06000056
,,,,,,,-,-,-,-,-,-,-,-,-,-,Cheshire (pre-2009),13,
E06000049,165000.0,170000.0,174950.0,170000.0,175000.0,165000.0,-,-,-,-,-,-,-,-,-,-,Cheshire East UA,00EQ,E06000049
E06000050,160000.0,160000.0,157750.0,165000.0,160000.0,160000.0,-,-,-,-,-,-,-,-,-,-,Cheshire West and Chester UA,00EW,E06000050
E09000001,472500.0,425000.0,482500.0,499000.0,610000.0,600500.0,-,-,-,-,-,-,-,-,-,-,City of London,00AA,E09000001
,,,,,,,-,-,-,-,-,-,-,-,-,-,Cornwall (pre-2009),15,
