ONS,12/13,13/14,14/15,15/16,Region,LA,ONS
,1610.0,2130.0,-,-,England,64,
,30.0,40.0,-,-,East Midlands,E,
,10.0,0.0,-,-,East of England,G,
,360.0,1190.0,-,-,London,H,
,470.0,400.0,-,-,North East,A,
,0.0,100.0,-,-,North West,B,
,430.0,90.0,-,-,South East,J,
,20.0,120.0,-,-,South West,K,
,150.0,110.0,-,-,West Midlands,F,
,90.0,0.0,-,-,Yorkshire and the Humber,D,
E09000002,0.0,0.0,-,-,Barking and Dagenham,00AB,E09000002
E09000003,0.0,0.0,-,-,Barnet,00AC,E09000003
E06000022,0.0,0.0,-,-,Bath and North East Somerset UA,00HA,E06000022
,10.0,0.0,-,-,Bedford UA,00KB,
,,,-,-,Bedfordshire (pre-2009),9,
E09000004,0.0,0.0,-,-,Bexley,00AD,E09000004
E06000008,0.0,0.0,-,-,Blackburn with Darwen UA,00EX,E06000008
E06000009,0.0,0.0,-,-,Blackpool UA,00EY,E06000009
E06000028,0.0,0.0,-,-,Bournemouth UA,00HN,E06000028
E06000036,0.0,0.0,-,-,Bracknell Forest UA,00MA,E06000036
E09000005,0.0,,-,-,Brent,00AE,E09000005
E06000043,0.0,0.0,-,-,Brighton and Hove UA,00ML,E06000043
E06000023,,,-,-,"Bristol, City of UA",00HB,E06000023
E09000006,,,-,-,Bromley,00AF,E09000006
,0.0,0.0,-,-,Buckinghamshire,,
,0.0,0.0,-,-,Cambridgeshire,,
E09000007,10.0,670.0,-,-,Camden,00AG,E09000007
E06000056,0.0,0.0,-,-,Central Bedfordshire UA,00KC,E06000056
,,,-,-,Cheshire (pre-2009),13,
E06000049,0.0,0.0,-,-,Cheshire East UA,00EQ,E06000049
E06000050,0.0,0.0,-,-,Cheshire West and Chester UA,00EW,E06000050
E09000001,0.0,0.0,-,-,City of London,00AA,E09000001
,,,-,-,Cornwall (pre-2009),15,
E06000052,,0.0,-,-,Cornwall UA,00HE,E06000052
,,,-,-,County Durham (pre-2009),20,
E09000008,0.0,0.0,-,-,Croydon,00AH,E09000008
,0.0,0.0,-,-,Cumbria,16,
E06000005,10.0,0.0,-,-,Darlington UA,00EH,E06000005
E06000015,,,-,-,Derby UA,00FK,E06000015
,0.0,0.0,-,-,Derbyshire,17,
,10.0,10.0,-,-,Devon,,
,10.0,0.0,-,-,Dorset,19,
E06000047,0.0,,-,-,Durham UA,00EJ,E06000047
E09000009,190.0,80.0,-,-,Ealing,00AJ,E09000009
E06000011,,0.0,-,-,East Riding of Yorkshire UA,00FB,E06000011
,0.0,0.0,-,-,East Sussex,,
E09000010,0.0,0.0,-,-,Enfield,00AK,E09000010
,,,-,-,Essex,22,
,0.0,,-,-,Gloucestershire,23,
,,90.0,-,-,Greater Manchester (Met County),2A,
E09000011,0.0,0.0,-,-,Greenwich,00AL,E09000011
E09000012,0.0,0.0,-,-,Hackney,00AM,E09000012
E06000006,,,-,-,Halton UA,00ET,E06000006
E09000013,0.0,0.0,-,-,Hammersmith and Fulham,00AN,E09000013
,10.0,60.0,-,-,Hampshire,,
E09000014,0.0,0.0,-,-,Haringey,00AP,E09000014
E09000015,0.0,0.0,-,-,Harrow,00AQ,E09000015
E06000001,0.0,0.0,-,-,Hartlepool UA,00EB,E06000001
E09000016,0.0,0.0,-,-,Havering,00AR,E09000016
E06000019,0.0,,-,-,"Herefordshire, County of UA",00GA,E06000019
,0.0,0.0,-,-,Hertfordshire,26,
E09000017,0.0,0.0,-,-,Hillingdon,00AS,E09000017
E09000018,50.0,80.0,-,-,Hounslow,00AT,E09000018
E06000046,0.0,0.0,-,-,Isle of Wight UA,00MW,E06000046
E07000025,0.0,0.0,-,-,Isles of Scilly UA,00HF,E07000025
E09000019,0.0,0.0,-,-,Islington,00AU,E09000019
E09000020,10.0,0.0,-,-,Kensington and Chelsea,00AW,E09000020
,0.0,0.0,-,-,Kent,,
E06000010,0.0,0.0,-,-,"Kingston upon Hull, City of UA",00FA,E06000010
E09000021,0.0,0.0,-,-,Kingston upon Thames,00AX,E09000021
E09000022,0.0,0.0,-,-,Lambeth,00AY,E09000022
,0.0,10.0,-,-,Lancashire,,
E06000016,0.0,0.0,-,-,Leicester UA,00FN,E06000016
,0.0,0.0,-,-,Leicestershire,,
E09000023,0.0,150.0,-,-,Lewisham,00AZ,E09000023
,0.0,30.0,-,-,Lincolnshire,32,
E06000032,0.0,,-,-,Luton UA,00KA,E06000032
E06000035,0.0,0.0,-,-,Medway UA,00LC,E06000035
,0.0,,-,-,Merseyside (Met County),2B,
E09000024,0.0,0.0,-,-,Merton,00BA,E09000024
E06000002,0.0,0.0,-,-,Middlesbrough UA,00EC,E06000002
E06000042,0.0,10.0,-,-,Milton Keynes UA,00MG,E06000042
E09000025,0.0,0.0,-,-,Newham,00BB,E09000025
,0.0,0.0,-,-,Norfolk,33,
E06000012,,0.0,-,-,North East Lincolnshire UA,00FC,E06000012
E06000013,0.0,0.0,-,-,North Lincolnshire UA,00FD,E06000013
E06000024,0.0,0.0,-,-,North Somerset UA,00HC,E06000024
,0.0,0.0,-,-,North Yorkshire,36,
,30.0,10.0,-,-,Northamptonshire,34,
,,,-,-,Northumberland (pre-2009),35,
E06000057,0.0,0.0,-,-,Northumberland UA,00EM,E06000057
E06000018,0.0,0.0,-,-,Nottingham UA,00FY,E06000018
,0.0,0.0,-,-,Nottinghamshire,,
,10.0,,-,-,Oxfordshire,38,
E06000031,0.0,0.0,-,-,Peterborough UA,00JA,E06000031
E06000026,0.0,110.0,-,-,Plymouth UA,00HG,E06000026
E06000029,0.0,0.0,-,-,Poole UA,00HP,E06000029
E06000044,0.0,,-,-,Portsmouth UA,00MR,E06000044
E06000038,0.0,0.0,-,-,Reading UA,00MC,E06000038
E09000026,0.0,0.0,-,-,Redbridge,00BC,E09000026
E06000003,0.0,0.0,-,-,Redcar and Cleveland UA,00EE,E06000003
E09000027,,,-,-,Richmond upon Thames,00BD,E09000027
E06000017,,,-,-,Rutland UA,00FP,E06000017
,,,-,-,Shropshire (pre-2009),39,
E06000051,,,-,-,Shropshire UA,00GG,E06000051
E06000039,20.0,10.0,-,-,Slough UA,00MD,E06000039
,0.0,,-,-,Somerset,40,
E06000025,,,-,-,South Gloucestershire UA,00HD,E06000025
,70.0,0.0,-,-,South Yorkshire (Met County),2C,
E06000045,390.0,0.0,-,-,Southampton UA,00MS,E06000045
E06000033,0.0,0.0,-,-,Southend-on-Sea UA,00KF,E06000033
E09000028,20.0,200.0,-,-,Southwark,00BE,E09000028
,0.0,0.0,-,-,Staffordshire,,
E06000004,0.0,0.0,-,-,Stockton-on-Tees UA,00EF,E06000004
E06000021,0.0,0.0,-,-,Stoke-on-Trent UA,00GL,E06000021
,0.0,,-,-,Suffolk,42,
,0.0,10.0,-,-,Surrey,43,
E09000029,20.0,10.0,-,-,Sutton,00BF,E09000029
E06000030,0.0,0.0,-,-,Swindon UA,00HX,E06000030
E06000020,0.0,0.0,-,-,Telford and Wrekin UA,00GF,E06000020
E06000034,0.0,0.0,-,-,Thurrock UA,00KG,E06000034
E06000027,0.0,0.0,-,-,Torbay UA,00HH,E06000027
E09000030,60.0,0.0,-,-,Tower Hamlets,00BG,E09000030
,460.0,400.0,-,-,Tyne and Wear (Met County),2D,
