ONS,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,Region,LA,ONS
,70093.0,73926.0,75350.0,76788.0,76030.0,79677.0,78690.0,80970.0,80670.0,84930.0,87430.0,90400.0,93320.0,-,-,-,England,64,
,925.0,939.0,922.0,691.0,801.0,769.0,712.0,599.0,630.0,787.0,838.0,803.0,785.0,-,-,-,East Midlands,E,
,3535.0,3690.0,3716.0,2393.0,3044.0,2988.0,3131.0,2794.0,3059.0,3125.0,3311.0,3460.0,4417.0,-,-,-,East of England,G,
,54536.0,57269.0,53188.0,54901.0,58720.0,62394.0,61310.0,64750.0,63550.0,66990.0,69260.0,72110.0,73710.0,-,-,-,London,H,
,176.0,204.0,178.0,122.0,141.0,140.0,166.0,81.0,128.0,126.0,141.0,130.0,154.0,-,-,-,North East,A,
,1192.0,1128.0,1187.0,1072.0,1128.0,922.0,820.0,737.0,830.0,889.0,920.0,888.0,1050.0,-,-,-,North West,B,
,4719.0,5387.0,5313.0,4869.0,5435.0,5668.0,6021.0,5097.0,5629.0,5827.0,6787.0,7071.0,7149.0,-,-,-,South East,J,
,2073.0,2124.0,2033.0,2015.0,2080.0,2038.0,2082.0,1708.0,1821.0,1951.0,2331.0,2302.0,2183.0,-,-,-,South West,K,
,2094.0,2272.0,2367.0,2311.0,2344.0,2431.0,2337.0,2153.0,2157.0,2245.0,2465.0,2299.0,2492.0,-,-,-,West Midlands,F,
,843.0,913.0,920.0,816.0,753.0,727.0,607.0,460.0,556.0,549.0,625.0,613.0,666.0,-,-,-,Yorkshire and the Humber,D,
E09000002,1416.0,1500.0,1556.0,1553.0,1542.0,1636.0,1761.0,1838.0,2083.0,2078.0,2215.0,2280.0,2284.0,-,-,-,Barking and Dagenham,00AB,E09000002
E09000003,2724.0,2832.0,2907.0,2993.0,3061.0,3099.0,2928.0,3065.0,3063.0,,,3227.0,2753.0,-,-,-,Barnet,00AC,E09000003
E06000022,28.0,36.0,33.0,29.0,29.0,26.0,24.0,,,12.0,20.0,26.0,18.0,-,-,-,Bath and North East Somerset UA,00HA,E06000022
,36.0,43.0,53.0,67.0,80.0,79.0,77.0,69.0,68.0,76.0,84.0,66.0,67.0,-,-,-,Bedford UA,00KB,
,,,,,,,,,,,,0.0,0.0,-,-,-,Bedfordshire (pre-2009),9,
E09000004,409.0,,528.0,552.0,593.0,634.0,628.0,664.0,746.0,821.0,882.0,932.0,960.0,-,-,-,Bexley,00AD,E09000004
E06000008,10.0,6.0,4.0,0.0,7.0,4.0,1.0,6.0,5.0,11.0,6.0,9.0,19.0,-,-,-,Blackburn with Darwen UA,00EX,E06000008
E06000009,17.0,7.0,18.0,8.0,17.0,22.0,12.0,10.0,17.0,8.0,21.0,15.0,12.0,-,-,-,Blackpool UA,00EY,E06000009
E06000028,27.0,8.0,42.0,47.0,58.0,45.0,64.0,53.0,46.0,85.0,41.0,48.0,26.0,-,-,-,Bournemouth UA,00HN,E06000028
E06000036,66.0,62.0,65.0,61.0,64.0,87.0,92.0,86.0,105.0,113.0,98.0,98.0,125.0,-,-,-,Bracknell Forest UA,00MA,E06000036
E09000005,5930.0,5957.0,5654.0,5934.0,5604.0,5837.0,5729.0,5578.0,5142.0,5587.0,5107.0,5140.0,5201.0,-,-,-,Brent,00AE,E09000005
E06000043,804.0,924.0,996.0,1056.0,1149.0,1232.0,1314.0,1353.0,1393.0,1523.0,1648.0,1680.0,1667.0,-,-,-,Brighton and Hove UA,00ML,E06000043
E06000023,154.0,163.0,152.0,166.0,175.0,175.0,194.0,235.0,261.0,307.0,403.0,448.0,486.0,-,-,-,"Bristol, City of UA",00HB,E06000023
E09000006,805.0,859.0,910.0,945.0,1035.0,1046.0,1144.0,1100.0,1166.0,1198.0,988.0,1368.0,1420.0,-,-,-,Bromley,00AF,E09000006
,125.0,159.0,140.0,179.0,175.0,198.0,197.0,151.0,176.0,198.0,232.0,241.0,246.0,-,-,-,Buckinghamshire,,
,290.0,300.0,315.0,288.0,301.0,306.0,301.0,218.0,244.0,228.0,254.0,231.0,280.0,-,-,-,Cambridgeshire,,
E09000007,1109.0,1095.0,1080.0,1075.0,1066.0,1007.0,961.0,902.0,862.0,834.0,823.0,774.0,741.0,-,-,-,Camden,00AG,E09000007
E06000056,46.0,38.0,56.0,45.0,30.0,46.0,40.0,47.0,72.0,67.0,88.0,91.0,91.0,-,-,-,Central Bedfordshire UA,00KC,E06000056
