"Country","ONS_CENSUS_2011","ONS_2014","Local.Authority","LA.type","LA_POPULATION","LA_AREA_HEC","COUNTY_NAME","COUNTY_POPULATION","LA_POPULATION_OVER_COUNTY_POPULATION","LA_16_17","LA_16_24","LA_18_24","SUM_COUNTY_16_17","SUM_COUNTY_16_24","SUM_COUNTY_18_24"
"England","E07000026","E07000026","Allerdale","District",96422,124158.29,"Cumbria",429255,0.224626387578479,NA,"25",NA,3,25,210
"England","E07000032","E07000032","Amber Valley","District",122309,26538.48,"Derbyshire",396398,0.308551001770947,"5",NA,"139",5,1576,183
"England","E07000224","E07000224","Arun","District",149518,22070.82,"West Sussex",509769,0.293305399112147,NA,NA,NA,16,0,33
"England","E07000170","E07000170","Ashfield","District",119497,10955.69,"Nottinghamshire",558122,0.214105518148362,NA,NA,NA,6,0,348
"England","E07000200","E07000200","Babergh","District",87740,59377.66,"Suffolk",424023,0.206922737681682,NA,NA,NA,1,0,25
"England",NA,NA,"Barking & Dagenham","Unitary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England","E09000003","E09000003","Barnet","Unitary",356386,8673.72,NA,NA,NA,"115",NA,NA,NA,NA,NA
"England","E08000016","E08000016","Barnsley","Unitary",231221,32905.31,NA,NA,NA,"9",NA,"100",NA,NA,NA
"England","E07000027","E07000027","Barrow-in-Furness","District",69087,7796.05,"Cumbria",429255,0.160946290666387,"0",NA,"38",3,25,210
"England","E07000066","E07000066","Basildon","District",174497,11002.46,"Essex",802658,0.217398942015155,NA,NA,NA,82,248,655
"England","E07000084","E07000084","Basingstoke and Deane","District",167799,63380.74,"Hampshire",1119558,0.149879684661268,NA,NA,NA,27,73,324
"England","E09000004","E09000004","Bexley","Unitary",231997,6055.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England","E08000025","E08000025","Birmingham","Unitary",1073045,26778.82,NA,NA,NA,"93",NA,"1102",NA,NA,NA
"England","E07000129","E07000129","Blaby","District",93915,13046.66,"Leicestershire",600113,0.156495526675809,"8",NA,"78",55,218,448
"England",NA,NA,"Blackburn and Darwen","Unitary",NA,NA,NA,NA,NA,"65",NA,"363",NA,NA,NA
"England","E08000001","E08000001","Bolton","Unitary",276786,13980.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England","E07000136","E07000136","Boston","District",64637,36153.77,"Lincolnshire",383829,0.168400511686194,"26",NA,"23",70,0,655
"England",NA,NA,"Bracknell Forrest","Unitary",NA,NA,NA,NA,NA,NA,"29",NA,NA,NA,NA
"England","E08000032","E08000032","Bradford","Unitary",522452,36641.72,NA,NA,NA,"214",NA,"1630",NA,NA,NA
"England","E07000067","E07000067","Braintree","District",147084,61170.84,"Essex",802658,0.183246164618057,"25",NA,"95",82,248,655
"England","E07000143","E07000143","Breckland","District",130491,130511.64,"Norfolk",379149,0.34416812387742,NA,"25",NA,10,25,48
"England","E09000005","E09000005","Brent","Unitary",311215,4323.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England",NA,NA,"Bristol","Unitary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England","E07000144","E07000144","Broadland","District",124646,55239.88,"Norfolk",379149,0.328752020973285,"5",NA,"31",10,25,48
"England","E07000234","E07000234","Bromsgrove","District",93637,21696.91,"Worcestershire",392770,0.238401609084197,NA,NA,NA,72,0,43
"England","E07000172","E07000172","Broxtowe","District",109487,8009.84,"Nottinghamshire",558122,0.1961703713525,"0",NA,"62",6,0,348
"England","E08000002","E08000002","Bury","Unitary",185060,9948.44,NA,NA,NA,"4",NA,"125",NA,NA,NA
"England","E08000033","E08000033","Calderdale","Unitary",203826,36392.21,NA,NA,NA,"30",NA,"32",NA,NA,NA
"England","E07000008","E07000008","Cambridge","District",123867,4069.94,"Cambridgeshire",537392,0.230496546282788,"16",NA,"108",48,0,360
"England","E09000007","E09000007","Camden","Unitary",220338,2179.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
