ONS_CENSUS_2011,Local.Authority,LA.type,LA_POPULATION,LA_AREA_HEC,COUNTY_POPULATION,LA_POPULATION_OVER_COUNTY_POPULATION,CLA_16_17,CLA_16_24,CLA_18_24,,,
E06000001,Hartlepool,NA,92028,9386.11,NA,NA,,,,,,
E06000002,Middlesbrough,NA,138412,5387.47,NA,NA,,,,,,
E06000015,Derby,NA,248752,7803.11,NA,NA,,,,,,
E06000003,Redcar and Cleveland,NA,135177,24489.51,NA,NA,,,,,,
E06000004,Stockton-on-Tees,NA,191610,20393.06,NA,NA,,,,,,
E06000032,Luton,NA,203201,4335.33,NA,NA,,,,,,
E06000005,Darlington,NA,105564,19747.51,NA,NA,,,,,,
E06000006,Halton,Unitary,125746,7909.52,NA,NA,,,,,,
E07000095,Broxbourne,NA,93609,5143.56,NA,NA,,,,,,
E06000007,Warrington,Unitary,202228,18065.39,NA,NA,,,,,,
E06000008,Blackburn with Darwen,Unitary,147489,13701.18,NA,NA,,,,,,
E06000009,Blackpool,NA,142065,3488.1,NA,NA,,,,,,
E06000010,"Kingston upon Hull, City of",NA,256406,7144.92,NA,NA,,,,,,
E06000011,East Riding of Yorkshire,Unitary,334179,240767.65,NA,NA,,,,,,
E06000039,Slough,NA,140205,3253.61,NA,NA,,,,,,
E06000012,North East Lincolnshire,Unitary,159616,19184.49,NA,NA,,,,,,
E06000013,North Lincolnshire,NA,167446,84631.29,NA,NA,,,,,,
E06000056,Central Bedfordshire,Unitary,254381,71566.45,NA,NA,,,,,,
E06000048,Northumberland,NA,316028,501301.83,NA,NA,,,,,,
E07000004,Aylesbury Vale,NA,174137,90275.35,NA,NA,,,,,,
E06000014,York,Unitary,198051,27193.63,NA,NA,,,,,,
E06000016,Leicester,Unitary,329839,7331.48,NA,NA,,,,,,
E06000017,Rutland,Unitary,37369,38151.51,NA,NA,,,,,,
E06000033,Southend-on-Sea,Unitary,173658,4175.6,NA,NA,,,,,,
E06000018,Nottingham,NA,305680,7461.16,NA,NA,,,,,,
E06000019,"Herefordshire, County of",NA,183477,217973.24,NA,NA,,,,,,
E06000020,Telford and Wrekin,NA,166641,29031.32,NA,NA,,,,,,
E06000036,Bracknell Forest,Unitary,113205,10938.54,NA,NA,,,,,,
E06000037,West Berkshire,NA,153822,70416.82,NA,NA,,,,,,
E06000021,Stoke-on-Trent,Unitary,249008,9345.02,NA,NA,,,,,,
E06000022,Bath and North East Somerset,NA,176016,34574.08,NA,NA,,,,,,
E06000023,"Bristol, City of",Unitary,428234,10960.76,NA,NA,,,,,,
E06000024,North Somerset,NA,202566,37378.6,NA,NA,,,,,,
E06000025,South Gloucestershire,NA,262767,49694.56,NA,NA,,,,,,
E06000026,Plymouth,NA,256384,7983.36,NA,NA,,,,,,
E06000027,Torbay,NA,130959,6287.4,NA,NA,,,,,,
E06000028,Bournemouth,NA,183491,4617.88,NA,NA,,,,,,
E06000038,Reading,Unitary,155698,4039.86,NA,NA,,,,,,
E06000029,Poole,Unitary,147645,6475.33,NA,NA,,,,,,
E06000030,Swindon,NA,209156,23010.36,NA,NA,,,,,,
E06000031,Peterborough,Unitary,183631,34337.82,NA,NA,,,,,,
E06000031,Peterborough,Unitary,183631,34337.82,NA,NA,,,,,,
E06000034,Thurrock,NA,157705,16337.6,NA,NA,,,,,,
E06000035,Medway,NA,263925,19203.31,NA,NA,,,,,,
E06000040,Windsor and Maidenhead,NA,144560,19650.96,NA,NA,,,,,,
E06000041,Wokingham,NA,154380,17897.92,NA,NA,,,,,,
E06000042,Milton Keynes,Unitary,248821,30862.53,NA,NA,,,,,,
E06000043,Brighton and Hove,NA,273369,8266.71,NA,NA,,,,,,
E07000008,Cambridge,District,123867,4069.94,537392,0.230496546,16,,108,,,
E07000009,East Cambridgeshire,NA,83818,65128.21,NA,NA,,,,,,
E06000044,Portsmouth,NA,205056,4041.14,NA,NA,,,,,,
E07000062,Hastings,District,90254,2972.4,526671,0.171366944,32.55971945,,80,,,
