ONS_CENSUS_2011,Local.Authority,LA.type,LA_POPULATION,LA_AREA_HEC,CLA_16_17,CLA_18_24,CLA_16_24,CLA_16_17 + CLA_18_24,Modifed_Total,unemployed_age_16_and_over,unemployment_age_16_to_24,unemployment_age_25_to_34,never_worked_age_16_and_over,never_worked_age_16_to_24,never_worked_age_25_to_34,IMD SCORE,RANK OF IMD SCORE (where 1 is most deprived)
E06000001,Hartlepool,NA,92028,9386.11,,,,,,36334,5935,3167,7348,3975,824,42.83,3747
E06000002,Middlesbrough,NA,138412,5387.47,,,,,,55700,11590,6174,14482,7226,2184,13.06,20324
E06000003,Redcar and Cleveland,NA,135177,24489.51,,,,,,54418,7729,3753,9716,5272,874,9.8,24278
E06000004,Stockton-on-Tees,NA,191610,20393.06,,,,,,67106,11622,5690,13103,7530,1366,17.62,15923
E06000005,Darlington,NA,105564,19747.51,,,,,,36142,4908,2773,6131,3211,609,58.62,967
E06000006,Halton,Unitary,125746,7909.52,,,18,,18,43048,6903,3549,7993,4546,650,62.33,639
E06000007,Warrington,Unitary,202228,18065.39,44,65,,109,109,62242,9164,4376,9259,5524,768,3.96,31066
E06000008,Blackburn with Darwen,Unitary,147489,13701.18,65,363,,428,428,52396,9537,6315,14906,6893,2244,52.46,1781
E06000009,Blackpool,NA,142065,3488.1,,,,,,54917,7357,4317,8126,4056,762,34.06,6534
E06000010,"Kingston upon Hull, City of",NA,256406,7144.92,,,,,,96771,20799,10979,21632,12043,2666,19.62,14280
E06000011,East Riding of Yorkshire,Unitary,334179,240767.65,2,77,,79,79,118448,13500,5419,15522,8650,953,5.5,29531
E06000012,North East Lincolnshire,Unitary,159616,19184.49,1,104,,105,105,58233,9210,4998,10211,5812,1017,41.73,4046
E06000013,North Lincolnshire,NA,167446,84631.29,,,,,,57646,7932,4134,10078,5409,817,10.68,23119
E06000014,York,Unitary,198051,27193.63,,,,,,67092,16411,4383,10257,7246,783,33.24,6828
E06000015,Derby,NA,248752,7803.11,,,,,,85232,17070,8287,18630,9887,2357,35.7,5977
E06000016,Leicester,Unitary,329839,7331.48,25,348,,373,373,122573,34520,16139,40553,20622,5714,51.36,1947
E06000017,Rutland,Unitary,37369,38151.51,,,,,,12488,1953,705,2009,1441,122,10.18,23787
E06000018,Nottingham,NA,305680,7461.16,,,,,,126361,45048,15171,34944,21284,4786,39.59,4680
E06000019,"Herefordshire, County of",NA,183477,217973.24,,,,,,60712,7103,3211,8247,4591,607,25.45,10424
E06000020,Telford and Wrekin,NA,166641,29031.32,,,,,,53816,9753,4913,9673,5718,911,4.69,30372
