LA CODE,ONS,IMD SCORE,RANK OF IMD SCORE (where 1 is most deprived)
00AA,E09000001,6.16,28814
00AA,E09000001,5.59,29450
00AA,E09000001,13.29,20047
00AA,E09000001,11.17,22503
00AA,E09000001,21.36,12978
00AB,E09000002,17.08,16410
00AB,E09000002,37.24,5438
00AB,E09000002,45.22,3172
00AB,E09000002,29.41,8462
00AB,E09000002,38.45,5038
00AB,E09000002,29.48,8421
00AB,E09000002,37.34,5400
00AB,E09000002,39.80,4626
00AB,E09000002,37.83,5235
00AB,E09000002,38.81,4926
00AB,E09000002,31.64,7495
00AB,E09000002,35.34,6099
00AB,E09000002,32.63,7073
00AB,E09000002,32.85,6993
00AB,E09000002,34.19,6486
00AB,E09000002,34.03,6542
00AB,E09000002,28.62,8839
00AB,E09000002,23.90,11340
00AB,E09000002,29.30,8512
00AB,E09000002,32.73,7034
00AB,E09000002,36.55,5669
00AB,E09000002,49.15,2355
00AB,E09000002,43.01,3695
00AB,E09000002,26.83,9710
00AB,E09000002,52.51,1773
00AB,E09000002,26.75,9754
00AB,E09000002,29.60,8363
00AB,E09000002,40.95,4274
00AB,E09000002,31.40,7596
00AB,E09000002,28.15,9045
00AB,E09000002,21.53,12845
00AB,E09000002,22.28,12349
00AB,E09000002,18.87,14866
00AB,E09000002,18.39,15265
00AB,E09000002,38.87,4909
00AB,E09000002,32.86,6985
00AB,E09000002,39.49,4715
00AB,E09000002,32.94,6958
00AB,E09000002,31.97,7359
00AB,E09000002,40.12,4529
00AB,E09000002,28.92,8690
00AB,E09000002,41.66,4069
00AB,E09000002,55.47,1338
00AB,E09000002,44.56,3328
00AB,E09000002,34.65,6339
00AB,E09000002,53.90,1557
00AB,E09000002,29.24,8534
00AB,E09000002,32.75,7023
00AB,E09000002,29.77,8295
00AB,E09000002,29.71,8317
00AB,E09000002,37.71,5285
00AB,E09000002,38.86,4910
00AB,E09000002,37.36,5393
00AB,E09000002,34.55,6376
00AB,E09000002,42.00,3969
00AB,E09000002,51.26,1959
00AB,E09000002,33.29,6806
00AB,E09000002,33.92,6578
00AB,E09000002,35.19,6151
00AB,E09000002,36.60,5654
00AB,E09000002,25.42,10437
00AB,E09000002,23.07,11857
00AB,E09000002,23.35,11683
00AB,E09000002,15.88,17446
00AB,E09000002,20.42,13683
00AB,E09000002,16.91,16553
00AB,E09000002,42.40,3860
00AB,E09000002,36.42,5726
00AB,E09000002,32.27,7230
00AB,E09000002,34.92,6245
00AB,E09000002,42.34,3876
00AB,E09000002,34.70,6324
00AB,E09000002,37.66,5302
00AB,E09000002,35.19,6148
00AB,E09000002,34.22,6477
00AB,E09000002,32.40,7171
00AB,E09000002,35.60,6002
00AB,E09000002,37.60,5316
00AB,E09000002,35.69,5979
00AB,E09000002,39.16,4823
00AB,E09000002,32.43,7157
00AB,E09000002,35.56,6017
00AB,E09000002,27.83,9221
00AB,E09000002,29.74,8310
00AB,E09000002,26.75,9755
00AB,E09000002,46.83,2801
00AB,E09000002,27.63,9310
00AB,E09000002,48.79,2420
00AB,E09000002,31.81,7422
00AB,E09000002,32.91,6966
00AB,E09000002,51.18,1974
00AB,E09000002,36.80,5577
00AB,E09000002,34.68,6330
00AB,E09000002,36.96,5518
00AB,E09000002,35.92,5890
00AB,E09000002,37.97,5184
00AB,E09000002,34.61,6352
00AB,E09000002,39.99,4565
00AB,E09000002,48.43,2491
00AB,E09000002,43.33,3624
00AB,E09000002,46.26,2929
00AB,E09000002,25.60,10346
00AB,E09000002,26.87,9690
00AB,E09000002,29.44,8443
00AB,E09000002,19.07,14694
00AB,E09000002,30.51,7970
00AB,E09000002,26.37,9952
00AB,E09000002,20.16,13878
00AB,E09000002,26.76,9746
00AC,E09000003,4.64,30415
00AC,E09000003,9.08,25246
00AC,E09000003,10.51,23350
00AC,E09000003,12.97,20445
00AC,E09000003,9.63,24520
00AC,E09000003,7.29,27438
00AC,E09000003,31.93,7372
00AC,E09000003,8.95,25408
00AC,E09000003,13.39,19921
00AC,E09000003,25.33,10481
00AC,E09000003,36.42,5727
00AC,E09000003,32.73,7035
00AC,E09000003,23.71,11459
00AC,E09000003,22.71,12081
00AC,E09000003,34.27,6464
00AC,E09000003,27.47,9384
00AC,E09000003,17.79,15787
00AC,E09000003,26.09,10096
00AC,E09000003,28.77,8766
00AC,E09000003,22.66,12113
00AC,E09000003,9.63,24508
00AC,E09000003,10.24,23716
00AC,E09000003,30.81,7846
00AC,E09000003,19.67,14238
00AC,E09000003,14.44,18766
00AC,E09000003,17.85,15734
00AC,E09000003,28.41,8929
00AC,E09000003,20.36,13727
00AC,E09000003,29.00,8656
00AC,E09000003,13.75,19535
00AC,E09000003,9.15,25160
00AC,E09000003,14.40,18802
00AC,E09000003,14.79,18447
00AC,E09000003,26.22,10035
00AC,E09000003,14.26,18936
00AC,E09000003,19.48,14384
00AC,E09000003,37.22,5443
00AC,E09000003,34.90,6252
00AC,E09000003,38.47,5029
00AC,E09000003,43.35,3620
00AC,E09000003,22.73,12065
00AC,E09000003,15.28,17996
00AC,E09000003,16.44,16970
00AC,E09000003,18.18,15431
00AC,E09000003,16.33,17057
00AC,E09000003,11.47,22153
00AC,E09000003,13.99,19240
00AC,E09000003,19.02,14736
00AC,E09000003,29.60,8367
00AC,E09000003,28.48,8902
00AC,E09000003,11.32,22327
00AC,E09000003,13.87,19388
00AC,E09000003,21.75,12700
00AC,E09000003,5.60,29438
00AC,E09000003,10.21,23759
00AC,E09000003,17.99,15594
00AC,E09000003,17.63,15920
00AC,E09000003,8.68,25752
00AC,E09000003,8.46,26013
00AC,E09000003,15.68,17639
00AC,E09000003,8.40,26105
00AC,E09000003,26.83,9711
00AC,E09000003,10.99,22740
00AC,E09000003,14.64,18584
00AC,E09000003,12.61,20839
00AC,E09000003,17.16,16321
00AC,E09000003,13.86,19398
00AC,E09000003,10.79,22981
00AC,E09000003,12.40,21060
00AC,E09000003,43.70,3519
00AC,E09000003,35.98,5875
00AC,E09000003,6.81,28057
00AC,E09000003,13.87,19384
00AC,E09000003,6.97,27856
00AC,E09000003,42.14,3935
00AC,E09000003,10.97,22768
00AC,E09000003,9.18,25118
00AC,E09000003,15.35,17936
00AC,E09000003,14.19,19019
00AC,E09000003,20.57,13567
00AC,E09000003,29.33,8495
00AC,E09000003,11.87,21686
00AC,E09000003,12.58,20871
00AC,E09000003,11.04,22675
00AC,E09000003,8.59,25851
00AC,E09000003,12.68,20751
00AC,E09000003,7.74,26899
00AC,E09000003,9.17,25126
00AC,E09000003,22.81,12013
00AC,E09000003,10.55,23285
00AC,E09000003,6.98,27845
00AC,E09000003,9.52,24660
00AC,E09000003,6.63,28272
00AC,E09000003,7.89,26727
00AC,E09000003,8.53,25928
00AC,E09000003,8.39,26119
00AC,E09000003,15.95,17370
00AC,E09000003,8.49,25992
00AC,E09000003,9.43,24783
00AC,E09000003,10.79,22976
00AC,E09000003,12.04,21492
00AC,E09000003,11.38,22250
00AC,E09000003,10.38,23531
00AC,E09000003,11.77,21809
00AC,E09000003,13.65,19637
00AC,E09000003,16.93,16533
00AC,E09000003,36.68,5626
00AC,E09000003,24.86,10749
00AC,E09000003,32.67,7057
00AC,E09000003,17.25,16239
00AC,E09000003,11.13,22546
00AC,E09000003,28.07,9092
00AC,E09000003,10.72,23087
00AC,E09000003,12.83,20583
00AC,E09000003,23.51,11576
00AC,E09000003,8.50,25981
00AC,E09000003,15.62,17687
