ONS,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,Region,LA,ONS
,8334.0,8214.0,8820.0,9605.0,9330.0,9514.0,9340.0,8340.0,8150.0,8780.0,9350.0,9140.0,9040.0,-,-,-,England,64,
,630.0,631.0,578.0,601.0,635.0,674.0,633.0,460.0,450.0,545.0,571.0,403.0,522.0,-,-,-,East Midlands,E,
,885.0,845.0,910.0,932.0,1040.0,902.0,859.0,786.0,814.0,970.0,843.0,997.0,906.0,-,-,-,East of England,G,
,2610.0,2312.0,2416.0,3118.0,3030.0,3214.0,3430.0,3190.0,2990.0,2900.0,3230.0,3510.0,3260.0,-,-,-,London,H,
,294.0,314.0,272.0,282.0,276.0,256.0,268.0,172.0,219.0,197.0,254.0,174.0,206.0,-,-,-,North East,A,
,615.0,612.0,595.0,541.0,558.0,493.0,496.0,365.0,401.0,475.0,481.0,391.0,456.0,-,-,-,North West,B,
,769.0,845.0,978.0,1026.0,1017.0,1012.0,1145.0,845.0,868.0,1056.0,1148.0,1176.0,1042.0,-,-,-,South East,J,
,495.0,507.0,533.0,553.0,561.0,571.0,557.0,420.0,444.0,606.0,631.0,509.0,548.0,-,-,-,South West,K,
,1341.0,1456.0,1577.0,1525.0,1542.0,1615.0,1383.0,1336.0,1274.0,1425.0,1322.0,741.0,1312.0,-,-,-,West Midlands,F,
,695.0,692.0,676.0,743.0,634.0,564.0,522.0,396.0,377.0,396.0,476.0,375.0,398.0,-,-,-,Yorkshire and the Humber,D,
E09000002,68.0,107.0,81.0,155.0,143.0,143.0,186.0,163.0,114.0,134.0,138.0,151.0,127.0,-,-,-,Barking and Dagenham,00AB,E09000002
E09000003,69.0,93.0,71.0,126.0,117.0,77.0,108.0,195.0,103.0,,131.0,104.0,101.0,-,-,-,Barnet,00AC,E09000003
E06000022,6.0,13.0,11.0,13.0,17.0,20.0,11.0,7.0,,5.0,8.0,8.0,6.0,-,-,-,Bath and North East Somerset UA,00HA,E06000022
,44.0,36.0,37.0,56.0,49.0,40.0,52.0,24.0,14.0,27.0,33.0,36.0,22.0,-,-,-,Bedford UA,00KB,
,,,,,,,,,,,,0.0,0.0,-,-,-,Bedfordshire (pre-2009),9,
E09000004,59.0,,,61.0,69.0,56.0,79.0,82.0,95.0,117.0,104.0,63.0,92.0,-,-,-,Bexley,00AD,E09000004
E06000008,6.0,7.0,5.0,2.0,4.0,4.0,4.0,10.0,5.0,11.0,6.0,6.0,6.0,-,-,-,Blackburn with Darwen UA,00EX,E06000008
E06000009,3.0,1.0,3.0,3.0,5.0,11.0,2.0,,,,,,,-,-,-,Blackpool UA,00EY,E06000009
