ONS,2012,2013,2014,2015,Region,LA,ONS
,1692625.0,1681782.0,1668683.0,-,England,64,
,184442.0,183539.0,181914.0,-,East Midlands,E,
,162322.0,161431.0,160369.0,-,East of England,G,
,412822.0,410011.0,406387.0,-,London,H,
,115983.0,112833.0,112004.0,-,North East,A,
,96360.0,96687.0,95740.0,-,North West,B,
,173611.0,172424.0,171203.0,-,South East,J,
,101255.0,100795.0,100331.0,-,South West,K,
,209088.0,207983.0,206102.0,-,West Midlands,F,
,236742.0,236079.0,234633.0,-,Yorkshire and the Humber,D,
E09000002,19144.0,19018.0,18434.0,-,Barking and Dagenham,00AB,E09000002
E09000003,11043.0,11022.0,10978.0,-,Barnet,00AC,E09000003
E06000022,0.0,0.0,0.0,-,Bath and North East Somerset UA,00HA,E06000022
,0.0,0.0,0.0,-,Bedford UA,00KB,
,,,,-,Bedfordshire (pre-2009),9,
E09000004,13.0,13.0,19.0,-,Bexley,00AD,E09000004
E06000008,1.0,1.0,0.0,-,Blackburn with Darwen UA,00EX,E06000008
E06000009,5325.0,5306.0,5059.0,-,Blackpool UA,00EY,E06000009
E06000028,5122.0,5127.0,5089.0,-,Bournemouth UA,00HN,E06000028
E06000036,71.0,74.0,76.0,-,Bracknell Forest UA,00MA,E06000036
E09000005,9040.0,8659.0,8668.0,-,Brent,00AE,E09000005
E06000043,12095.0,11863.0,11733.0,-,Brighton and Hove UA,00ML,E06000043
E06000023,28023.0,27854.0,27826.0,-,"Bristol, City of UA",00HB,E06000023
E09000006,62.0,62.0,62.0,-,Bromley,00AF,E09000006
,15.0,10.0,6.0,-,Buckinghamshire,,
,12597.0,12434.0,12365.0,-,Cambridgeshire,,
E09000007,23630.0,23508.0,23508.0,-,Camden,00AG,E09000007
E06000056,5204.0,5180.0,5158.0,-,Central Bedfordshire UA,00KC,E06000056
,,,,-,Cheshire (pre-2009),13,
E06000049,82.0,182.0,97.0,-,Cheshire East UA,00EQ,E06000049
E06000050,5713.0,5709.0,5643.0,-,Cheshire West and Chester UA,00EW,E06000050
E09000001,430.0,430.0,450.0,-,City of London,00AA,E09000001
,,,,-,Cornwall (pre-2009),15,
E06000052,10515.0,10490.0,10462.0,-,Cornwall UA,00HE,E06000052
,,,,-,County Durham (pre-2009),20,
E09000008,14089.0,14030.0,13993.0,-,Croydon,00AH,E09000008
,2726.0,2717.0,2705.0,-,Cumbria,16,
E06000005,5456.0,5377.0,5367.0,-,Darlington UA,00EH,E06000005
E06000015,13616.0,13491.0,13381.0,-,Derby UA,00FK,E06000015
,30272.0,30174.0,29916.0,-,Derbyshire,17,
,12437.0,12397.0,12373.0,-,Devon,,
,4.0,4.0,2.0,-,Dorset,19,
E06000047,18711.0,18616.0,18484.0,-,Durham UA,00EJ,E06000047
E09000009,12861.0,12924.0,12567.0,-,Ealing,00AJ,E09000009
E06000011,11233.0,11543.0,11533.0,-,East Riding of Yorkshire UA,00FB,E06000011
,10008.0,9923.0,9830.0,-,East Sussex,,
E09000010,11317.0,10859.0,10665.0,-,Enfield,00AK,E09000010
,44804.0,44598.0,44285.0,-,Essex,22,
,14352.0,14308.0,14176.0,-,Gloucestershire,23,
,72034.0,71175.0,70859.0,-,Greater Manchester (Met County),2A,
E09000011,22854.0,23104.0,22832.0,-,Greenwich,00AL,E09000011
E09000012,22733.0,22812.0,22382.0,-,Hackney,00AM,E09000012
E06000006,0.0,0.0,0.0,-,Halton UA,00ET,E06000006
E09000013,12948.0,12770.0,12536.0,-,Hammersmith and Fulham,00AN,E09000013
,20448.0,20483.0,20415.0,-,Hampshire,,
E09000014,15911.0,15830.0,15646.0,-,Haringey,00AP,E09000014
E09000015,4965.0,4951.0,4915.0,-,Harrow,00AQ,E09000015
E06000001,82.0,118.0,302.0,-,Hartlepool UA,00EB,E06000001
E09000016,10017.0,10052.0,9992.0,-,Havering,00AR,E09000016
E06000019,9.0,7.0,34.0,-,"Herefordshire, County of UA",00GA,E06000019
,33836.0,33563.0,33217.0,-,Hertfordshire,26,
E09000017,10501.0,10499.0,10243.0,-,Hillingdon,00AS,E09000017
E09000018,13416.0,13325.0,13269.0,-,Hounslow,00AT,E09000018
E06000046,0.0,0.0,0.0,-,Isle of Wight UA,00MW,E06000046
E07000025,122.0,122.0,124.0,-,Isles of Scilly UA,00HF,E07000025
E09000019,26256.0,26235.0,26264.0,-,Islington,00AU,E09000019
E09000020,6873.0,6920.0,6845.0,-,Kensington and Chelsea,00AW,E09000020
,31383.0,31307.0,31181.0,-,Kent,,
E06000010,25690.0,25490.0,25347.0,-,"Kingston upon Hull, City of UA",00FA,E06000010
E09000021,4841.0,4841.0,4790.0,-,Kingston upon Thames,00AX,E09000021
E09000022,24978.0,24908.0,24653.0,-,Lambeth,00AY,E09000022
,10343.0,10368.0,10261.0,-,Lancashire,,
E06000016,22286.0,22139.0,21956.0,-,Leicester UA,00FN,E06000016
,16904.0,16841.0,16704.0,-,Leicestershire,,
E09000023,15364.0,15101.0,14923.0,-,Lewisham,00AZ,E09000023
,21928.0,21867.0,21748.0,-,Lincolnshire,32,
E06000032,8123.0,8097.0,8082.0,-,Luton UA,00KA,E06000032
E06000035,3057.0,3029.0,3018.0,-,Medway UA,00LC,E06000035
,116.0,1213.0,1096.0,-,Merseyside (Met County),2B,
E09000024,0.0,0.0,0.0,-,Merton,00BA,E09000024
E06000002,0.0,20.0,0.0,-,Middlesbrough UA,00EC,E06000002
E06000042,11450.0,11382.0,11314.0,-,Milton Keynes UA,00MG,E06000042
E09000025,16816.0,16716.0,16602.0,-,Newham,00BB,E09000025
,21795.0,21658.0,21460.0,-,Norfolk,33,
E06000012,10.0,10.0,9.0,-,North East Lincolnshire UA,00FC,E06000012
E06000013,18.0,19.0,18.0,-,North Lincolnshire UA,00FD,E06000013
E06000024,0.0,0.0,0.0,-,North Somerset UA,00HC,E06000024
,8683.0,8657.0,8626.0,-,North Yorkshire,36,
,20762.0,20670.0,20473.0,-,Northamptonshire,34,
,,,,-,Northumberland (pre-2009),35,
E06000057,8517.0,8448.0,8445.0,-,Northumberland UA,00EM,E06000057
E06000018,27794.0,27636.0,27142.0,-,Nottingham UA,00FY,E06000018
,30879.0,30720.0,30593.0,-,Nottinghamshire,,
,7892.0,7894.0,7736.0,-,Oxfordshire,38,
E06000031,0.0,2.0,8.0,-,Peterborough UA,00JA,E06000031
E06000026,0.0,0.0,0.0,-,Plymouth UA,00HG,E06000026
E06000029,4614.0,4592.0,4545.0,-,Poole UA,00HP,E06000029
E06000044,10241.0,10245.0,10219.0,-,Portsmouth UA,00MR,E06000044
E06000038,6924.0,6841.0,6804.0,-,Reading UA,00MC,E06000038
E09000026,4683.0,4619.0,4558.0,-,Redbridge,00BC,E09000026
E06000003,0.0,0.0,0.0,-,Redcar and Cleveland UA,00EE,E06000003
E09000027,0.0,0.0,0.0,-,Richmond upon Thames,00BD,E09000027
E06000017,1.0,1.0,1.0,-,Rutland UA,00FP,E06000017
,,,,-,Shropshire (pre-2009),39,
E06000051,4203.0,4189.0,4115.0,-,Shropshire UA,00GG,E06000051
E06000039,6564.0,6350.0,6352.0,-,Slough UA,00MD,E06000039
,10138.0,10013.0,9945.0,-,Somerset,40,
E06000025,0.0,20.0,20.0,-,South Gloucestershire UA,00HD,E06000025
,102090.0,101599.0,101069.0,-,South Yorkshire (Met County),2C,
E06000045,17083.0,16862.0,16619.0,-,Southampton UA,00MS,E06000045
E06000033,6055.0,6074.0,6043.0,-,Southend-on-Sea UA,00KF,E06000033
E09000028,39781.0,38578.0,39029.0,-,Southwark,00BE,E09000028
,9969.0,9912.0,9873.0,-,Staffordshire,,
E06000004,0.0,0.0,0.0,-,Stockton-on-Tees UA,00EF,E06000004
E06000021,19119.0,19029.0,18918.0,-,Stoke-on-Trent UA,00GL,E06000021
,19617.0,19528.0,19458.0,-,Suffolk,42,
,19218.0,19207.0,19096.0,-,Surrey,43,
E09000029,6325.0,6308.0,6120.0,-,Sutton,00BF,E09000029
E06000030,10507.0,10468.0,10404.0,-,Swindon UA,00HX,E06000030
E06000020,17.0,37.0,0.0,-,Telford and Wrekin UA,00GF,E06000020
E06000034,10291.0,10297.0,10293.0,-,Thurrock UA,00KG,E06000034
E06000027,0.0,0.0,4.0,-,Torbay UA,00HH,E06000027
E09000030,12517.0,12613.0,12424.0,-,Tower Hamlets,00BG,E09000030
,83217.0,80254.0,79406.0,-,Tyne and Wear (Met County),2D,
E09000031,10125.0,10103.0,9926.0,-,Waltham Forest,00BH,E09000031
E09000032,17048.0,17065.0,17003.0,-,Wandsworth,00BJ,E09000032
E06000007,20.0,16.0,20.0,-,Warrington UA,00EU,E06000007
,18183.0,18141.0,17951.0,-,Warwickshire,44,
E06000037,88.0,82.0,82.0,-,West Berkshire UA,00MB,E06000037
,151499.0,150638.0,149246.0,-,West Midlands (Met County),2E,
,14318.0,14126.0,13994.0,-,West Sussex,45,
,81116.0,80900.0,80222.0,-,West Yorkshire (Met County),2F,
E09000033,12241.0,12136.0,12091.0,-,Westminster,00BK,E09000033
,,,,-,Wiltshire (pre-2009),46,
E06000054,5421.0,5400.0,5361.0,-,Wiltshire UA,00HY,E06000054
E06000040,38.0,31.0,31.0,-,Windsor and Maidenhead UA,00ME,E06000040
E06000041,2718.0,2715.0,2697.0,-,Wokingham UA,00MF,E06000041
,6089.0,6030.0,5965.0,-,Worcestershire,,
E06000014,7902.0,7861.0,7809.0,-,York UA,00FF,E06000014
E07000223,2650.0,2644.0,2632.0,-,Adur,45UB,E07000223
E07000026,3.0,2.0,2.0,-,Allerdale,16UB,E07000026
,,,,-,Alnwick,35UB,
E07000032,3.0,4.0,4.0,-,Amber Valley,17UB,E07000032
E07000224,3401.0,3394.0,3380.0,-,Arun,45UC,E07000224
E07000170,6946.0,6876.0,6856.0,-,Ashfield,37UB,E07000170
E07000105,5067.0,5047.0,5035.0,-,Ashford,29UB,E07000105
E07000004,0.0,0.0,0.0,-,Aylesbury Vale,11UB,E07000004
E07000200,3481.0,3479.0,3472.0,-,Babergh,42UB,E07000200
E08000016,19096.0,18944.0,18875.0,-,Barnsley,00CC,E08000016
E07000027,2705.0,2697.0,2686.0,-,Barrow-in-Furness,16UC,E07000027
E07000066,11564.0,11366.0,11303.0,-,Basildon,22UB,E07000066
E07000084,0.0,0.0,0.0,-,Basingstoke and Deane,24UB,E07000084
