ONS,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,Region,LA,ONS
,37187.0,39491.0,40090.0,40861.0,40450.0,43088.0,42150.0,43750.0,43420.0,44510.0,45630.0,46690.0,48880.0,-,-,-,England,64,
,513.0,545.0,546.0,414.0,501.0,467.0,430.0,374.0,344.0,459.0,465.0,416.0,420.0,-,-,-,East Midlands,E,
,2137.0,2232.0,2057.0,1464.0,1829.0,1841.0,1883.0,1654.0,1809.0,1822.0,1886.0,2001.0,2874.0,-,-,-,East of England,G,
,28113.0,29653.0,27591.0,28393.0,30330.0,32917.0,32080.0,34300.0,33540.0,34370.0,35560.0,36730.0,37680.0,-,-,-,London,H,
,109.0,128.0,102.0,67.0,85.0,89.0,89.0,45.0,70.0,56.0,62.0,65.0,81.0,-,-,-,North East,A,
,656.0,655.0,670.0,579.0,609.0,535.0,483.0,401.0,441.0,463.0,480.0,475.0,536.0,-,-,-,North West,B,
,2924.0,3367.0,3299.0,3022.0,3419.0,3534.0,3714.0,3174.0,3488.0,3490.0,3986.0,4069.0,4116.0,-,-,-,South East,J,
,1196.0,1227.0,1181.0,1157.0,1199.0,1186.0,1177.0,976.0,1051.0,1078.0,1234.0,1197.0,1197.0,-,-,-,South West,K,
,1029.0,1125.0,1151.0,1079.0,1122.0,1173.0,1075.0,994.0,1004.0,1048.0,1159.0,1030.0,1143.0,-,-,-,West Midlands,F,
,510.0,559.0,539.0,500.0,433.0,405.0,357.0,263.0,293.0,290.0,338.0,300.0,346.0,-,-,-,Yorkshire and the Humber,D,
E09000002,797.0,854.0,876.0,905.0,893.0,931.0,992.0,1038.0,1071.0,1059.0,1097.0,1139.0,1118.0,-,-,-,Barking and Dagenham,00AB,E09000002
E09000003,1602.0,1657.0,1698.0,1727.0,1790.0,1821.0,1741.0,1823.0,1820.0,,,1675.0,1466.0,-,-,-,Barnet,00AC,E09000003
E06000022,12.0,15.0,16.0,14.0,14.0,12.0,12.0,,,7.0,11.0,13.0,10.0,-,-,-,Bath and North East Somerset UA,00HA,E06000022
,23.0,29.0,34.0,40.0,45.0,46.0,45.0,37.0,36.0,44.0,43.0,33.0,36.0,-,-,-,Bedford UA,00KB,
,,,,,,,,,,,,0.0,0.0,-,-,-,Bedfordshire (pre-2009),9,
E09000004,222.0,,276.0,291.0,302.0,318.0,321.0,365.0,412.0,444.0,478.0,520.0,536.0,-,-,-,Bexley,00AD,E09000004
E06000008,6.0,3.0,2.0,0.0,2.0,2.0,1.0,,,,,,5.0,-,-,-,Blackburn with Darwen UA,00EX,E06000008
E06000009,12.0,7.0,10.0,6.0,12.0,15.0,10.0,5.0,9.0,5.0,8.0,5.0,6.0,-,-,-,Blackpool UA,00EY,E06000009
E06000028,16.0,7.0,24.0,27.0,33.0,25.0,32.0,28.0,28.0,42.0,21.0,20.0,18.0,-,-,-,Bournemouth UA,00HN,E06000028
E06000036,44.0,41.0,41.0,37.0,38.0,46.0,47.0,47.0,56.0,59.0,56.0,54.0,71.0,-,-,-,Bracknell Forest UA,00MA,E06000036
E09000005,2624.0,2689.0,2566.0,2704.0,2562.0,2692.0,2640.0,2564.0,2361.0,2573.0,2359.0,2363.0,2387.0,-,-,-,Brent,00AE,E09000005
E06000043,498.0,580.0,636.0,696.0,746.0,799.0,832.0,860.0,897.0,885.0,943.0,958.0,990.0,-,-,-,Brighton and Hove UA,00ML,E06000043
