ONS,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,Region,LA,ONS
,4280130.0,4297930.0,4306440.0,4308703.0,4321931.0,4313570.0,4292578.0,4259121.0,4262932.0,4241758.0,4211777.0,4167258.0,-,-,-,-,England,64,
,323980.0,325680.0,326730.0,325006.0,328343.0,326998.0,323711.0,320093.0,323029.0,318704.0,316139.0,312322.0,-,-,-,-,East Midlands,E,
,390250.0,392750.0,394320.0,394887.0,397109.0,395944.0,394787.0,390865.0,389487.0,388793.0,385743.0,381336.0,-,-,-,-,East of England,G,
,845090.0,847210.0,847520.0,850094.0,844719.0,849395.0,848125.0,843048.0,840706.0,836643.0,833871.0,827269.0,-,-,-,-,London,H,
,267920.0,268600.0,269350.0,270663.0,271896.0,269737.0,268784.0,266960.0,268055.0,267526.0,266051.0,265195.0,-,-,-,-,North East,A,
,635180.0,637910.0,639380.0,638563.0,638155.0,637694.0,634773.0,629729.0,629610.0,626575.0,620831.0,610060.0,-,-,-,-,North West,B,
,541940.0,544420.0,544960.0,546812.0,549770.0,547729.0,544247.0,541799.0,541297.0,539000.0,534822.0,531666.0,-,-,-,-,South East,J,
,375270.0,376990.0,377520.0,377418.0,380266.0,377540.0,375466.0,372395.0,373600.0,370963.0,367867.0,364016.0,-,-,-,-,South West,K,
,460230.0,461250.0,462160.0,459921.0,465053.0,463080.0,460884.0,455435.0,457751.0,455420.0,452598.0,446065.0,-,-,-,-,West Midlands,F,
,440270.0,443130.0,444500.0,445339.0,446620.0,445453.0,441806.0,438797.0,439403.0,438151.0,433859.0,429326.0,-,-,-,-,Yorkshire and the Humber,D,
E09000002,23010.0,23180.0,23230.0,23334.0,23109.0,23439.0,23918.0,23810.0,23576.0,23590.0,23771.0,23798.0,-,-,-,-,Barking and Dagenham,00AB,E09000002
E09000003,28500.0,28800.0,29150.0,29376.0,29839.0,29508.0,30260.0,30063.0,30354.0,30397.0,30377.0,30334.0,-,-,-,-,Barnet,00AC,E09000003
E06000022,10790.0,10790.0,10760.0,10790.0,10738.0,10777.0,10765.0,10700.0,10690.0,10601.0,10410.0,10343.0,-,-,-,-,Bath and North East Somerset UA,00HA,E06000022
,11270.0,11220.0,11260.0,11316.0,11354.0,11337.0,11242.0,11057.0,11099.0,11010.0,10887.0,10685.0,-,-,-,-,Bedford UA,00KB,
