ONS,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,Region,LA,ONS
,705.0,706.0,705.0,714.0,724.0,-,728.0,-,720.0,-,742.0,-,-,-,-,-,England,64,
,521.0,521.0,526.0,529.0,527.0,-,530.0,-,537.0,-,542.0,-,-,-,-,-,East Midlands,E,
,659.0,656.0,669.0,674.0,677.0,-,676.0,-,690.0,-,705.0,-,-,-,-,-,East of England,G,
,1312.0,1324.0,1329.0,1369.0,1425.0,-,1468.0,-,1461.0,-,1530.0,-,-,-,-,-,London,H,
,468.0,471.0,471.0,476.0,477.0,-,479.0,-,482.0,-,490.0,-,-,-,-,-,North East,A,
,524.0,522.0,524.0,525.0,527.0,-,527.0,-,532.0,-,541.0,-,-,-,-,-,North West,B,
,823.0,825.0,829.0,834.0,849.0,-,857.0,-,864.0,-,873.0,-,-,-,-,-,South East,J,
,658.0,659.0,660.0,665.0,667.0,-,684.0,-,693.0,-,695.0,-,-,-,-,-,South West,K,
,539.0,544.0,545.0,550.0,552.0,-,554.0,-,567.0,-,577.0,-,-,-,-,-,West Midlands,F,
,541.0,543.0,548.0,546.0,548.0,-,534.0,-,535.0,-,553.0,-,-,-,-,-,Yorkshire and the Humber,D,
E09000002,835.0,851.0,866.0,892.0,902.0,-,921.0,-,864.0,-,895.0,-,-,-,-,-,Barking and Dagenham,00AB,E09000002
E09000003,1358.0,1382.0,1390.0,1401.0,1462.0,-,1460.0,-,1397.0,-,1461.0,-,-,-,-,-,Barnet,00AC,E09000003
E06000022,914.0,908.0,937.0,997.0,996.0,-,987.0,-,964.0,-,1014.0,-,-,-,-,-,Bath and North East Somerset UA,00HA,E06000022
,605.0,608.0,606.0,610.0,611.0,-,625.0,-,632.0,-,647.0,-,-,-,-,-,Bedford UA,00KB,
,,,,,,-,,-,,-,,-,-,-,-,-,Bedfordshire (pre-2009),9,
E09000004,845.0,857.0,872.0,853.0,861.0,-,880.0,-,889.0,-,902.0,-,-,-,-,-,Bexley,00AD,E09000004
E06000008,476.0,471.0,468.0,469.0,465.0,-,467.0,-,469.0,-,469.0,-,-,-,-,-,Blackburn with Darwen UA,00EX,E06000008
E06000009,502.0,495.0,496.0,494.0,493.0,-,496.0,-,491.0,-,495.0,-,-,-,-,-,Blackpool UA,00EY,E06000009
E06000028,731.0,710.0,724.0,693.0,696.0,-,695.0,-,702.0,-,712.0,-,-,-,-,-,Bournemouth UA,00HN,E06000028
E06000036,1052.0,1071.0,990.0,957.0,975.0,-,1017.0,-,1102.0,-,1093.0,-,-,-,-,-,Bracknell Forest UA,00MA,E06000036
E09000005,1305.0,1321.0,1372.0,1364.0,1374.0,-,1276.0,-,1304.0,-,1448.0,-,-,-,-,-,Brent,00AE,E09000005
E06000043,957.0,936.0,947.0,945.0,959.0,-,1010.0,-,1102.0,-,1118.0,-,-,-,-,-,Brighton and Hove UA,00ML,E06000043
E06000023,737.0,736.0,742.0,737.0,776.0,-,826.0,-,814.0,-,828.0,-,-,-,-,-,"Bristol, City of UA",00HB,E06000023
E09000006,1038.0,1041.0,1045.0,1028.0,1026.0,-,1027.0,-,1094.0,-,1160.0,-,-,-,-,-,Bromley,00AF,E09000006
,977.0,1024.0,1028.0,1037.0,1063.0,-,1042.0,-,1044.0,-,988.0,-,-,-,-,-,Buckinghamshire,,
,698.0,699.0,701.0,684.0,682.0,-,703.0,-,747.0,-,740.0,-,-,-,-,-,Cambridgeshire,,
E09000007,1867.0,1894.0,1903.0,1917.0,2038.0,-,1987.0,-,1867.0,-,2046.0,-,-,-,-,-,Camden,00AG,E09000007
E06000056,667.0,662.0,659.0,668.0,670.0,-,692.0,-,701.0,-,709.0,-,-,-,-,-,Central Bedfordshire UA,00KC,E06000056
,,,,,,-,,-,,-,,-,-,-,-,-,Cheshire (pre-2009),13,
E06000049,617.0,622.0,612.0,605.0,627.0,-,630.0,-,651.0,-,679.0,-,-,-,-,-,Cheshire East UA,00EQ,E06000049
E06000050,591.0,586.0,594.0,597.0,593.0,-,593.0,-,594.0,-,601.0,-,-,-,-,-,Cheshire West and Chester UA,00EW,E06000050
E09000001,1830.0,1810.0,1960.0,1941.0,1848.0,-,1767.0,-,1958.0,-,1971.0,-,-,-,-,-,City of London,00AA,E09000001
,,,,,,-,,-,,-,,-,-,-,-,-,Cornwall (pre-2009),15,
E06000052,605.0,606.0,613.0,614.0,622.0,-,625.0,-,636.0,-,641.0,-,-,-,-,-,Cornwall UA,00HE,E06000052
,,,,,,-,,-,,-,,-,-,-,-,-,County Durham (pre-2009),20,
E09000008,870.0,873.0,884.0,895.0,898.0,-,926.0,-,916.0,-,974.0,-,-,-,-,-,Croydon,00AH,E09000008
,487.0,493.0,495.0,496.0,498.0,-,501.0,-,504.0,-,510.0,-,-,-,-,-,Cumbria,16,
E06000005,465.0,467.0,466.0,466.0,467.0,-,469.0,-,468.0,-,471.0,-,-,-,-,-,Darlington UA,00EH,E06000005
E06000015,471.0,442.0,432.0,450.0,431.0,-,454.0,-,451.0,-,444.0,-,-,-,-,-,Derby UA,00FK,E06000015
,519.0,519.0,525.0,522.0,520.0,-,528.0,-,532.0,-,528.0,-,-,-,-,-,Derbyshire,17,
,645.0,647.0,643.0,652.0,651.0,-,661.0,-,672.0,-,664.0,-,-,-,-,-,Devon,,
,712.0,711.0,703.0,709.0,711.0,-,719.0,-,724.0,-,726.0,-,-,-,-,-,Dorset,19,
E06000047,454.0,451.0,454.0,455.0,455.0,-,457.0,-,457.0,-,459.0,-,-,-,-,-,Durham UA,00EJ,E06000047
E09000009,1160.0,1168.0,1178.0,1191.0,1229.0,-,1369.0,-,1440.0,-,1338.0,-,-,-,-,-,Ealing,00AJ,E09000009
E06000011,476.0,478.0,486.0,490.0,491.0,-,493.0,-,496.0,-,496.0,-,-,-,-,-,East Riding of Yorkshire UA,00FB,E06000011
,674.0,678.0,667.0,673.0,680.0,-,685.0,-,697.0,-,718.0,-,-,-,-,-,East Sussex,,
E09000010,1046.0,1022.0,1051.0,1081.0,1116.0,-,1125.0,-,1120.0,-,1150.0,-,-,-,-,-,Enfield,00AK,E09000010
,744.0,742.0,740.0,744.0,744.0,-,751.0,-,760.0,-,767.0,-,-,-,-,-,Essex,22,
,663.0,669.0,680.0,683.0,690.0,-,707.0,-,711.0,-,708.0,-,-,-,-,-,Gloucestershire,23,
,534.0,527.0,528.0,532.0,535.0,-,533.0,-,542.0,-,556.0,-,-,-,-,-,Greater Manchester (Met County),2A,
E09000011,1004.0,1021.0,1055.0,1114.0,1093.0,-,1147.0,-,1192.0,-,1235.0,-,-,-,-,-,Greenwich,00AL,E09000011
E09000012,1249.0,1296.0,1342.0,1360.0,1380.0,-,1411.0,-,1490.0,-,1545.0,-,-,-,-,-,Hackney,00AM,E09000012
E06000006,528.0,530.0,531.0,545.0,543.0,-,532.0,-,533.0,-,536.0,-,-,-,-,-,Halton UA,00ET,E06000006
E09000013,1677.0,1797.0,1825.0,1835.0,1842.0,-,1724.0,-,1776.0,-,1892.0,-,-,-,-,-,Hammersmith and Fulham,00AN,E09000013
,815.0,821.0,821.0,826.0,838.0,-,851.0,-,849.0,-,853.0,-,-,-,-,-,Hampshire,,
E09000014,1117.0,1146.0,1147.0,1181.0,1280.0,-,1288.0,-,1332.0,-,1385.0,-,-,-,-,-,Haringey,00AP,E09000014
E09000015,1101.0,1082.0,1119.0,1088.0,1134.0,-,1169.0,-,1153.0,-,1203.0,-,-,-,-,-,Harrow,00AQ,E09000015
E06000001,462.0,464.0,464.0,466.0,469.0,-,474.0,-,473.0,-,475.0,-,-,-,-,-,Hartlepool UA,00EB,E06000001
E09000016,863.0,863.0,885.0,884.0,887.0,-,913.0,-,919.0,-,913.0,-,-,-,-,-,Havering,00AR,E09000016
E06000019,575.0,574.0,569.0,567.0,570.0,-,561.0,-,571.0,-,582.0,-,-,-,-,-,"Herefordshire, County of UA",00GA,E06000019
,864.0,869.0,936.0,944.0,993.0,-,921.0,-,966.0,-,977.0,-,-,-,-,-,Hertfordshire,26,
