ONS,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,Region,LA,ONS
,575.0,575.0,575.0,575.0,585.0,-,595.0,-,595.0,-,595.0,-,-,-,-,-,England,64,
,495.0,495.0,495.0,500.0,500.0,-,500.0,-,500.0,-,517.0,-,-,-,-,-,East Midlands,E,
,595.0,595.0,600.0,600.0,600.0,-,600.0,-,625.0,-,625.0,-,-,-,-,-,East of England,G,
,1118.0,1148.0,1150.0,1196.0,1250.0,-,1300.0,-,1300.0,-,1300.0,-,-,-,-,-,London,H,
,450.0,450.0,450.0,450.0,450.0,-,450.0,-,450.0,-,465.0,-,-,-,-,-,North East,A,
,495.0,495.0,495.0,495.0,495.0,-,495.0,-,495.0,-,500.0,-,-,-,-,-,North West,B,
,725.0,725.0,725.0,725.0,750.0,-,750.0,-,750.0,-,760.0,-,-,-,-,-,South East,J,
,600.0,600.0,600.0,610.0,615.0,-,625.0,-,635.0,-,650.0,-,-,-,-,-,South West,K,
,520.0,525.0,525.0,525.0,525.0,-,525.0,-,530.0,-,550.0,-,-,-,-,-,West Midlands,F,
,475.0,475.0,475.0,475.0,485.0,-,480.0,-,480.0,-,495.0,-,-,-,-,-,Yorkshire and the Humber,D,
E09000002,850.0,850.0,850.0,875.0,900.0,-,901.0,-,822.0,-,850.0,-,-,-,-,-,Barking and Dagenham,00AB,E09000002
E09000003,1148.0,1170.0,1170.0,1193.0,1200.0,-,1213.0,-,1250.0,-,1278.0,-,-,-,-,-,Barnet,00AC,E09000003
E06000022,750.0,775.0,795.0,825.0,825.0,-,825.0,-,800.0,-,832.0,-,-,-,-,-,Bath and North East Somerset UA,00HA,E06000022
,575.0,575.0,575.0,575.0,575.0,-,600.0,-,600.0,-,625.0,-,-,-,-,-,Bedford UA,00KB,
,,,,,,-,,-,,-,,-,-,-,-,-,Bedfordshire (pre-2009),9,
E09000004,800.0,800.0,825.0,825.0,825.0,-,850.0,-,850.0,-,850.0,-,-,-,-,-,Bexley,00AD,E09000004
E06000008,450.0,450.0,450.0,450.0,450.0,-,450.0,-,450.0,-,450.0,-,-,-,-,-,Blackburn with Darwen UA,00EX,E06000008
E06000009,500.0,498.0,498.0,498.0,498.0,-,500.0,-,498.0,-,498.0,-,-,-,-,-,Blackpool UA,00EY,E06000009
E06000028,650.0,650.0,675.0,650.0,650.0,-,653.0,-,670.0,-,675.0,-,-,-,-,-,Bournemouth UA,00HN,E06000028
E06000036,850.0,850.0,875.0,850.0,875.0,-,895.0,-,895.0,-,900.0,-,-,-,-,-,Bracknell Forest UA,00MA,E06000036
E09000005,1200.0,1200.0,1250.0,1250.0,1278.0,-,1250.0,-,1250.0,-,1365.0,-,-,-,-,-,Brent,00AE,E09000005
E06000043,825.0,800.0,825.0,800.0,825.0,-,850.0,-,900.0,-,950.0,-,-,-,-,-,Brighton and Hove UA,00ML,E06000043
E06000023,650.0,650.0,650.0,650.0,650.0,-,695.0,-,700.0,-,750.0,-,-,-,-,-,"Bristol, City of UA",00HB,E06000023
E09000006,950.0,950.0,950.0,940.0,950.0,-,950.0,-,1000.0,-,1050.0,-,-,-,-,-,Bromley,00AF,E09000006
,775.0,800.0,800.0,825.0,850.0,-,850.0,-,850.0,-,825.0,-,-,-,-,-,Buckinghamshire,,
,625.0,625.0,625.0,600.0,600.0,-,620.0,-,650.0,-,630.0,-,-,-,-,-,Cambridgeshire,,
E09000007,1668.0,1690.0,1711.0,1690.0,1733.0,-,1733.0,-,1625.0,-,1729.0,-,-,-,-,-,Camden,00AG,E09000007
E06000056,625.0,625.0,625.0,635.0,640.0,-,650.0,-,650.0,-,650.0,-,-,-,-,-,Central Bedfordshire UA,00KC,E06000056
,,,,,,-,,-,,-,,-,-,-,-,-,Cheshire (pre-2009),13,
E06000049,550.0,550.0,550.0,550.0,550.0,-,550.0,-,575.0,-,575.0,-,-,-,-,-,Cheshire East UA,00EQ,E06000049
E06000050,575.0,575.0,575.0,575.0,575.0,-,575.0,-,575.0,-,575.0,-,-,-,-,-,Cheshire West and Chester UA,00EW,E06000050
E09000001,1712.0,1712.0,1733.0,1733.0,1668.0,-,1647.0,-,1798.0,-,1863.0,-,-,-,-,-,City of London,00AA,E09000001
,,,,,,-,,-,,-,,-,-,-,-,-,Cornwall (pre-2009),15,
E06000052,595.0,595.0,595.0,600.0,600.0,-,600.0,-,610.0,-,620.0,-,-,-,-,-,Cornwall UA,00HE,E06000052
,,,,,,-,,-,,-,,-,-,-,-,-,County Durham (pre-2009),20,
E09000008,850.0,850.0,880.0,900.0,900.0,-,890.0,-,875.0,-,950.0,-,-,-,-,-,Croydon,00AH,E09000008
,450.0,455.0,460.0,460.0,460.0,-,470.0,-,475.0,-,475.0,-,-,-,-,-,Cumbria,16,
E06000005,440.0,450.0,450.0,450.0,450.0,-,450.0,-,450.0,-,450.0,-,-,-,-,-,Darlington UA,00EH,E06000005
E06000015,450.0,425.0,425.0,450.0,425.0,-,450.0,-,440.0,-,425.0,-,-,-,-,-,Derby UA,00FK,E06000015
,495.0,495.0,495.0,495.0,495.0,-,495.0,-,495.0,-,495.0,-,-,-,-,-,Derbyshire,17,
,595.0,595.0,595.0,600.0,600.0,-,615.0,-,625.0,-,625.0,-,-,-,-,-,Devon,,
,670.0,675.0,650.0,665.0,670.0,-,675.0,-,675.0,-,685.0,-,-,-,-,-,Dorset,19,
E06000047,425.0,425.0,430.0,425.0,425.0,-,425.0,-,433.0,-,433.0,-,-,-,-,-,Durham UA,00EJ,E06000047
E09000009,1096.0,1100.0,1100.0,1148.0,1150.0,-,1250.0,-,1300.0,-,1250.0,-,-,-,-,-,Ealing,00AJ,E09000009
E06000011,455.0,450.0,460.0,460.0,470.0,-,475.0,-,475.0,-,475.0,-,-,-,-,-,East Riding of Yorkshire UA,00FB,E06000011
,650.0,630.0,625.0,625.0,625.0,-,625.0,-,650.0,-,650.0,-,-,-,-,-,East Sussex,,
E09000010,1000.0,997.0,1000.0,1000.0,1050.0,-,1100.0,-,1100.0,-,1100.0,-,-,-,-,-,Enfield,00AK,E09000010
,685.0,680.0,680.0,695.0,695.0,-,695.0,-,700.0,-,710.0,-,-,-,-,-,Essex,22,
,595.0,595.0,600.0,600.0,600.0,-,600.0,-,625.0,-,625.0,-,-,-,-,-,Gloucestershire,23,
,495.0,495.0,495.0,495.0,495.0,-,495.0,-,495.0,-,495.0,-,-,-,-,-,Greater Manchester (Met County),2A,
E09000011,875.0,897.0,948.0,1000.0,1000.0,-,1100.0,-,1125.0,-,1200.0,-,-,-,-,-,Greenwich,00AL,E09000011
E09000012,1213.0,1300.0,1300.0,1300.0,1343.0,-,1387.0,-,1430.0,-,1473.0,-,-,-,-,-,Hackney,00AM,E09000012
E06000006,495.0,495.0,495.0,500.0,500.0,-,500.0,-,500.0,-,500.0,-,-,-,-,-,Halton UA,00ET,E06000006
E09000013,1473.0,1517.0,1517.0,1560.0,1538.0,-,1517.0,-,1560.0,-,1582.0,-,-,-,-,-,Hammersmith and Fulham,00AN,E09000013
,750.0,750.0,750.0,750.0,750.0,-,775.0,-,775.0,-,775.0,-,-,-,-,-,Hampshire,,
E09000014,1040.0,1083.0,1050.0,1100.0,1192.0,-,1200.0,-,1250.0,-,1278.0,-,-,-,-,-,Haringey,00AP,E09000014
E09000015,1050.0,1050.0,1050.0,1050.0,1095.0,-,1148.0,-,1150.0,-,1200.0,-,-,-,-,-,Harrow,00AQ,E09000015
E06000001,449.0,450.0,450.0,450.0,450.0,-,455.0,-,450.0,-,450.0,-,-,-,-,-,Hartlepool UA,00EB,E06000001
E09000016,825.0,825.0,850.0,850.0,850.0,-,875.0,-,862.0,-,867.0,-,-,-,-,-,Havering,00AR,E09000016
E06000019,550.0,550.0,550.0,550.0,550.0,-,550.0,-,550.0,-,550.0,-,-,-,-,-,"Herefordshire, County of UA",00GA,E06000019
,775.0,775.0,800.0,825.0,850.0,-,825.0,-,850.0,-,875.0,-,-,-,-,-,Hertfordshire,26,
E09000017,900.0,900.0,900.0,900.0,900.0,-,945.0,-,950.0,-,1100.0,-,-,-,-,-,Hillingdon,00AS,E09000017
E09000018,1100.0,1075.0,1100.0,1100.0,1127.0,-,1225.0,-,1248.0,-,1200.0,-,-,-,-,-,Hounslow,00AT,E09000018
E06000046,550.0,550.0,565.0,575.0,575.0,-,580.0,-,575.0,-,575.0,-,-,-,-,-,Isle of Wight UA,00MW,E06000046
E07000025,580.0,580.0,,601.0,601.0,-,605.0,-,675.0,-,675.0,-,-,-,-,-,Isles of Scilly UA,00HF,E07000025
E09000019,1473.0,1473.0,1452.0,1473.0,1545.0,-,1560.0,-,1560.0,-,1647.0,-,-,-,-,-,Islington,00AU,E09000019
