ONS,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,Region,LA,ONS
,15775.0,13638.0,13219.0,13150.0,13457.0,11958.0,13272.0,11329.0,11806.0,10015.0,9049.0,7402.0,5224.0,-,-,-,England,64,
,1465.0,1195.0,1195.0,1198.0,1224.0,1026.0,1157.0,1011.0,1052.0,844.0,779.0,665.0,451.0,-,-,-,East Midlands,E,
,1520.0,1315.0,1225.0,1302.0,1320.0,1148.0,1322.0,1073.0,1135.0,933.0,826.0,628.0,445.0,-,-,-,East of England,G,
,2180.0,1815.0,1855.0,1748.0,1761.0,1663.0,1893.0,1645.0,1615.0,1425.0,1223.0,1012.0,662.0,-,-,-,London,H,
,940.0,810.0,830.0,783.0,832.0,737.0,809.0,702.0,733.0,616.0,597.0,458.0,380.0,-,-,-,North East,A,
,2760.0,2465.0,2305.0,2346.0,2428.0,2101.0,2259.0,1938.0,2132.0,1769.0,1592.0,1311.0,952.0,-,-,-,North West,B,
,2020.0,1720.0,1685.0,1600.0,1709.0,1535.0,1688.0,1389.0,1510.0,1260.0,1122.0,901.0,588.0,-,-,-,South East,J,
,1195.0,1070.0,1005.0,993.0,1031.0,853.0,946.0,794.0,831.0,746.0,657.0,519.0,341.0,-,-,-,South West,K,
,1760.0,1590.0,1515.0,1457.0,1505.0,1411.0,1584.0,1338.0,1299.0,1169.0,1099.0,895.0,589.0,-,-,-,West Midlands,F,
,1870.0,1600.0,1555.0,1621.0,1576.0,1413.0,1533.0,1356.0,1403.0,1179.0,1064.0,845.0,582.0,-,-,-,Yorkshire and the Humber,D,
E09000002,90.0,95.0,80.0,87.0,71.0,72.0,74.0,69.0,63.0,61.0,57.0,44.0,29.0,-,-,-,Barking and Dagenham,00AB,E09000002
E09000003,90.0,55.0,70.0,72.0,67.0,66.0,65.0,71.0,73.0,46.0,39.0,51.0,24.0,-,-,-,Barnet,00AC,E09000003
E06000022,20.0,25.0,20.0,21.0,27.0,23.0,25.0,25.0,22.0,16.0,14.0,10.0,11.0,-,-,-,Bath and North East Somerset UA,00HA,E06000022
,45.0,30.0,30.0,33.0,39.0,35.0,33.0,38.0,32.0,27.0,24.0,15.0,14.0,-,-,-,Bedford UA,00KB,
,,,,,,,,,,,,,,-,-,-,Bedfordshire (pre-2009),9,
E09000004,85.0,85.0,75.0,67.0,76.0,64.0,72.0,62.0,60.0,57.0,50.0,42.0,21.0,-,-,-,Bexley,00AD,E09000004
E06000008,65.0,50.0,50.0,57.0,51.0,39.0,53.0,48.0,43.0,45.0,37.0,33.0,14.0,-,-,-,Blackburn with Darwen UA,00EX,E06000008
E06000009,100.0,90.0,70.0,81.0,87.0,78.0,68.0,64.0,64.0,50.0,51.0,40.0,26.0,-,-,-,Blackpool UA,00EY,E06000009
E06000028,45.0,65.0,50.0,50.0,38.0,41.0,41.0,38.0,32.0,29.0,27.0,27.0,12.0,-,-,-,Bournemouth UA,00HN,E06000028
E06000036,30.0,30.0,10.0,19.0,27.0,22.0,23.0,18.0,23.0,17.0,13.0,7.0,10.0,-,-,-,Bracknell Forest UA,00MA,E06000036
E09000005,65.0,50.0,65.0,52.0,54.0,59.0,83.0,59.0,54.0,59.0,36.0,37.0,28.0,-,-,-,Brent,00AE,E09000005
E06000043,50.0,40.0,40.0,37.0,39.0,37.0,48.0,44.0,34.0,37.0,26.0,24.0,19.0,-,-,-,Brighton and Hove UA,00ML,E06000043
E06000023,105.0,120.0,90.0,91.0,103.0,68.0,99.0,75.0,66.0,65.0,66.0,53.0,30.0,-,-,-,"Bristol, City of UA",00HB,E06000023
E09000006,75.0,65.0,75.0,76.0,58.0,53.0,87.0,73.0,67.0,44.0,46.0,39.0,29.0,-,-,-,Bromley,00AF,E09000006
,95.0,80.0,85.0,95.0,106.0,70.0,74.0,67.0,95.0,68.0,50.0,52.0,18.0,-,-,-,Buckinghamshire,,
,145.0,120.0,80.0,110.0,121.0,87.0,95.0,91.0,81.0,76.0,55.0,59.0,41.0,-,-,-,Cambridgeshire,,
E09000007,25.0,10.0,25.0,21.0,15.0,11.0,24.0,20.0,14.0,17.0,8.0,9.0,6.0,-,-,-,Camden,00AG,E09000007
E06000056,85.0,70.0,60.0,63.0,56.0,56.0,61.0,45.0,52.0,49.0,37.0,31.0,23.0,-,-,-,Central Bedfordshire UA,00KC,E06000056
,,,,,,,,,,,,,,-,-,-,Cheshire (pre-2009),13,
E06000049,105.0,130.0,95.0,100.0,97.0,84.0,102.0,78.0,85.0,65.0,58.0,55.0,19.0,-,-,-,Cheshire East UA,00EQ,E06000049
E06000050,120.0,90.0,75.0,93.0,89.0,75.0,91.0,63.0,105.0,58.0,49.0,59.0,40.0,-,-,-,Cheshire West and Chester UA,00EW,E06000050
E09000001,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,City of London,00AA,E09000001
,,,,,,,,,,,,,,-,-,-,Cornwall (pre-2009),15,
E06000052,130.0,105.0,115.0,105.0,98.0,98.0,98.0,78.0,95.0,84.0,63.0,57.0,37.0,-,-,-,Cornwall UA,00HE,E06000052
,,,,,,,,,,,,,,-,-,-,County Durham (pre-2009),20,
E09000008,165.0,175.0,135.0,131.0,117.0,121.0,128.0,122.0,117.0,108.0,81.0,71.0,55.0,-,-,-,Croydon,00AH,E09000008
,130.0,120.0,105.0,106.0,111.0,86.0,87.0,87.0,102.0,87.0,55.0,58.0,36.0,-,-,-,Cumbria,16,
E06000005,45.0,40.0,40.0,57.0,47.0,41.0,28.0,36.0,39.0,29.0,25.0,18.0,13.0,-,-,-,Darlington UA,00EH,E06000005
E06000015,70.0,65.0,55.0,59.0,53.0,56.0,67.0,63.0,52.0,50.0,29.0,33.0,30.0,-,-,-,Derby UA,00FK,E06000015
,230.0,195.0,215.0,202.0,206.0,179.0,182.0,154.0,167.0,116.0,116.0,99.0,73.0,-,-,-,Derbyshire,17,
,145.0,115.0,105.0,116.0,114.0,106.0,116.0,91.0,105.0,113.0,82.0,52.0,41.0,-,-,-,Devon,,
,80.0,65.0,55.0,72.0,63.0,56.0,54.0,42.0,39.0,47.0,31.0,32.0,10.0,-,-,-,Dorset,19,
E06000047,220.0,175.0,195.0,178.0,193.0,171.0,182.0,185.0,182.0,141.0,145.0,115.0,91.0,-,-,-,Durham UA,00EJ,E06000047
E09000009,75.0,55.0,70.0,76.0,61.0,56.0,86.0,69.0,66.0,50.0,45.0,28.0,26.0,-,-,-,Ealing,00AJ,E09000009
