ONS,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,Region,LA,ONS
,36965.0,33247.0,37444.0,37501.0,40822.0,37845.0,42776.0,42290.0,45286.0,37060.0,39408.0,36783.0,40607.0,-,-,-,England,64,
,2495.0,2130.0,2355.0,2586.0,2740.0,2682.0,2993.0,2938.0,3318.0,2550.0,2604.0,2508.0,2689.0,-,-,-,East Midlands,E,
,3480.0,3190.0,3520.0,3698.0,3914.0,3594.0,4090.0,4158.0,4345.0,3542.0,3780.0,3464.0,3939.0,-,-,-,East of England,G,
,11755.0,11035.0,12470.0,12163.0,13295.0,12311.0,13146.0,12834.0,13436.0,11905.0,12525.0,11627.0,12832.0,-,-,-,London,H,
,1585.0,1570.0,1575.0,1655.0,1878.0,1740.0,2274.0,1780.0,1907.0,1510.0,1502.0,1320.0,1521.0,-,-,-,North East,A,
,4785.0,3965.0,4590.0,4760.0,5212.0,4671.0,5619.0,5632.0,5917.0,4457.0,5167.0,4990.0,5649.0,-,-,-,North West,B,
,4495.0,4000.0,4420.0,4428.0,4763.0,4615.0,4837.0,5190.0,5422.0,4391.0,4686.0,4251.0,4730.0,-,-,-,South East,J,
,2155.0,1920.0,2130.0,1998.0,2237.0,2021.0,2622.0,2429.0,2684.0,2178.0,2239.0,2082.0,2206.0,-,-,-,South West,K,
,3620.0,3145.0,3905.0,3733.0,4018.0,3559.0,3969.0,4273.0,4802.0,3686.0,4018.0,3306.0,3666.0,-,-,-,West Midlands,F,
,2555.0,2235.0,2420.0,2445.0,2750.0,2550.0,2938.0,2805.0,3177.0,2497.0,2556.0,2412.0,2546.0,-,-,-,Yorkshire and the Humber,D,
E09000002,400.0,350.0,385.0,355.0,435.0,390.0,472.0,368.0,468.0,389.0,365.0,404.0,498.0,-,-,-,Barking and Dagenham,00AB,E09000002
E09000003,390.0,400.0,420.0,511.0,393.0,346.0,433.0,407.0,467.0,371.0,385.0,499.0,520.0,-,-,-,Barnet,00AC,E09000003
E06000022,55.0,45.0,35.0,34.0,33.0,40.0,83.0,55.0,68.0,51.0,50.0,70.0,54.0,-,-,-,Bath and North East Somerset UA,00HA,E06000022
,170.0,110.0,140.0,131.0,124.0,143.0,167.0,150.0,182.0,107.0,86.0,115.0,106.0,-,-,-,Bedford UA,00KB,
,,,,,,,,,,,,,,-,-,-,Bedfordshire (pre-2009),9,
E09000004,260.0,185.0,295.0,196.0,252.0,223.0,247.0,280.0,309.0,248.0,226.0,212.0,236.0,-,-,-,Bexley,00AD,E09000004
E06000008,55.0,50.0,70.0,92.0,93.0,74.0,103.0,131.0,140.0,112.0,75.0,92.0,86.0,-,-,-,Blackburn with Darwen UA,00EX,E06000008
E06000009,80.0,55.0,60.0,60.0,59.0,74.0,83.0,66.0,78.0,50.0,86.0,58.0,112.0,-,-,-,Blackpool UA,00EY,E06000009
E06000028,125.0,125.0,135.0,121.0,121.0,116.0,130.0,111.0,127.0,163.0,161.0,131.0,140.0,-,-,-,Bournemouth UA,00HN,E06000028
E06000036,65.0,65.0,75.0,63.0,62.0,66.0,93.0,95.0,86.0,60.0,83.0,60.0,50.0,-,-,-,Bracknell Forest UA,00MA,E06000036
E09000005,365.0,490.0,545.0,589.0,850.0,535.0,655.0,609.0,590.0,605.0,505.0,519.0,550.0,-,-,-,Brent,00AE,E09000005
E06000043,200.0,145.0,170.0,162.0,158.0,115.0,160.0,140.0,137.0,155.0,151.0,150.0,181.0,-,-,-,Brighton and Hove UA,00ML,E06000043
E06000023,230.0,195.0,200.0,222.0,230.0,207.0,337.0,324.0,386.0,299.0,295.0,268.0,306.0,-,-,-,"Bristol, City of UA",00HB,E06000023
E09000006,290.0,160.0,255.0,329.0,435.0,336.0,391.0,399.0,380.0,317.0,343.0,282.0,401.0,-,-,-,Bromley,00AF,E09000006
,135.0,165.0,165.0,231.0,278.0,237.0,254.0,286.0,358.0,238.0,239.0,176.0,199.0,-,-,-,Buckinghamshire,,
,305.0,255.0,300.0,313.0,306.0,257.0,355.0,355.0,351.0,318.0,317.0,279.0,282.0,-,-,-,Cambridgeshire,,
E09000007,290.0,290.0,295.0,214.0,237.0,266.0,287.0,263.0,237.0,196.0,215.0,181.0,200.0,-,-,-,Camden,00AG,E09000007
E06000056,170.0,135.0,160.0,139.0,173.0,148.0,207.0,215.0,229.0,108.0,167.0,169.0,180.0,-,-,-,Central Bedfordshire UA,00KC,E06000056
,,,,,,,,,,,,,,-,-,-,Cheshire (pre-2009),13,
E06000049,135.0,155.0,145.0,138.0,154.0,114.0,157.0,152.0,171.0,132.0,128.0,115.0,138.0,-,-,-,Cheshire East UA,00EQ,E06000049
E06000050,135.0,125.0,105.0,152.0,131.0,139.0,172.0,174.0,176.0,200.0,163.0,212.0,217.0,-,-,-,Cheshire West and Chester UA,00EW,E06000050
E09000001,,,,10.0,5.0,10.0,6.0,5.0,3.0,0.0,14.0,0.0,0.0,-,-,-,City of London,00AA,E09000001
,,,,,,,,,,,,,,-,-,-,Cornwall (pre-2009),15,
E06000052,165.0,125.0,140.0,138.0,152.0,152.0,205.0,147.0,205.0,129.0,129.0,158.0,150.0,-,-,-,Cornwall UA,00HE,E06000052
,,,,,,,,,,,,,,-,-,-,County Durham (pre-2009),20,
E09000008,605.0,515.0,665.0,480.0,548.0,530.0,725.0,641.0,586.0,588.0,643.0,549.0,595.0,-,-,-,Croydon,00AH,E09000008
