ONS,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,Region,LA,ONS
,24870.0,23395.0,24630.0,26085.0,27294.0,27536.0,29319.0,30321.0,31615.0,30327.0,29518.0,-,-,-,-,-,England,64,
,1815.0,1680.0,1780.0,1690.0,1937.0,1999.0,2156.0,2240.0,2425.0,2262.0,2253.0,-,-,-,-,-,East Midlands,E,
,2400.0,2230.0,2340.0,2522.0,2680.0,2604.0,2738.0,2933.0,3217.0,2975.0,2894.0,-,-,-,-,-,East of England,G,
,7110.0,7175.0,7595.0,7780.0,8464.0,8612.0,9023.0,8703.0,8765.0,8935.0,8934.0,-,-,-,-,-,London,H,
,1200.0,1025.0,1100.0,1277.0,1315.0,1284.0,1541.0,1508.0,1486.0,1400.0,1228.0,-,-,-,-,-,North East,A,
,3245.0,3005.0,3080.0,3454.0,3711.0,3516.0,3866.0,4205.0,4271.0,3950.0,3701.0,-,-,-,-,-,North West,B,
,3015.0,2895.0,2900.0,3143.0,3176.0,3247.0,3403.0,3445.0,3676.0,3606.0,3501.0,-,-,-,-,-,South East,J,
,1570.0,1435.0,1540.0,1540.0,1505.0,1501.0,1812.0,1866.0,1975.0,1855.0,1745.0,-,-,-,-,-,South West,K,
,2560.0,2165.0,2470.0,2751.0,2630.0,2636.0,2674.0,2949.0,3261.0,2975.0,3237.0,-,-,-,-,-,West Midlands,F,
,1955.0,1780.0,1820.0,1928.0,1876.0,2137.0,2106.0,2472.0,2539.0,2369.0,2025.0,-,-,-,-,-,Yorkshire and the Humber,D,
E09000002,265.0,280.0,235.0,245.0,313.0,290.0,337.0,306.0,291.0,322.0,298.0,-,-,-,-,-,Barking and Dagenham,00AB,E09000002
E09000003,270.0,295.0,260.0,261.0,418.0,300.0,320.0,248.0,333.0,321.0,263.0,-,-,-,-,-,Barnet,00AC,E09000003
E06000022,30.0,30.0,25.0,25.0,27.0,21.0,46.0,56.0,43.0,36.0,29.0,-,-,-,-,-,Bath and North East Somerset UA,00HA,E06000022
,90.0,105.0,90.0,83.0,119.0,110.0,100.0,102.0,118.0,99.0,80.0,-,-,-,-,-,Bedford UA,00KB,
,,,,,,,,,,,,-,-,-,-,-,Bedfordshire (pre-2009),9,
E09000004,180.0,150.0,135.0,189.0,157.0,171.0,189.0,186.0,213.0,208.0,180.0,-,-,-,-,-,Bexley,00AD,E09000004
E06000008,55.0,40.0,50.0,60.0,72.0,58.0,81.0,79.0,124.0,110.0,65.0,-,-,-,-,-,Blackburn with Darwen UA,00EX,E06000008
E06000009,55.0,40.0,50.0,42.0,39.0,45.0,46.0,49.0,43.0,51.0,36.0,-,-,-,-,-,Blackpool UA,00EY,E06000009
E06000028,110.0,110.0,120.0,76.0,96.0,88.0,98.0,119.0,108.0,135.0,137.0,-,-,-,-,-,Bournemouth UA,00HN,E06000028
E06000036,45.0,45.0,35.0,44.0,56.0,40.0,87.0,70.0,64.0,58.0,57.0,-,-,-,-,-,Bracknell Forest UA,00MA,E06000036
E09000005,270.0,360.0,335.0,477.0,505.0,453.0,408.0,493.0,440.0,460.0,411.0,-,-,-,-,-,Brent,00AE,E09000005
E06000043,140.0,120.0,120.0,105.0,117.0,98.0,86.0,115.0,85.0,87.0,137.0,-,-,-,-,-,Brighton and Hove UA,00ML,E06000043
