ONS,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,Region,LA,ONS
,11805.0,10505.0,9455.0,9382.0,9415.0,9425.0,8873.0,8641.0,8144.0,7224.0,6453.0,-,-,-,-,-,England,64,
,1080.0,900.0,915.0,849.0,912.0,900.0,772.0,784.0,719.0,629.0,539.0,-,-,-,-,-,East Midlands,E,
,1125.0,1025.0,890.0,907.0,892.0,891.0,873.0,798.0,744.0,666.0,544.0,-,-,-,-,-,East of England,G,
,1470.0,1390.0,1155.0,1226.0,1146.0,1200.0,1213.0,1235.0,1064.0,911.0,819.0,-,-,-,-,-,London,H,
,755.0,690.0,600.0,670.0,681.0,664.0,616.0,628.0,586.0,559.0,485.0,-,-,-,-,-,North East,A,
,2320.0,1870.0,1820.0,1759.0,1824.0,1788.0,1617.0,1595.0,1533.0,1430.0,1245.0,-,-,-,-,-,North West,B,
,1415.0,1320.0,1165.0,1059.0,1103.0,1118.0,1078.0,967.0,895.0,823.0,718.0,-,-,-,-,-,South East,J,
,805.0,845.0,700.0,691.0,662.0,661.0,596.0,562.0,526.0,515.0,444.0,-,-,-,-,-,South West,K,
,1400.0,1165.0,1055.0,1044.0,1029.0,1045.0,1052.0,1019.0,996.0,765.0,837.0,-,-,-,-,-,West Midlands,F,
,1435.0,1290.0,1160.0,1177.0,1166.0,1158.0,1056.0,1053.0,1081.0,926.0,822.0,-,-,-,-,-,Yorkshire and the Humber,D,
E09000002,85.0,65.0,60.0,73.0,56.0,48.0,67.0,55.0,52.0,51.0,32.0,-,-,-,-,-,Barking and Dagenham,00AB,E09000002
E09000003,60.0,50.0,50.0,44.0,38.0,40.0,40.0,45.0,42.0,40.0,24.0,-,-,-,-,-,Barnet,00AC,E09000003
E06000022,15.0,10.0,15.0,14.0,14.0,23.0,17.0,17.0,12.0,9.0,9.0,-,-,-,-,-,Bath and North East Somerset UA,00HA,E06000022
,35.0,35.0,15.0,22.0,26.0,23.0,30.0,26.0,20.0,17.0,23.0,-,-,-,-,-,Bedford UA,00KB,
,,,,,,,,,,,,-,-,-,-,-,Bedfordshire (pre-2009),9,
E09000004,60.0,75.0,60.0,56.0,50.0,36.0,50.0,42.0,50.0,26.0,41.0,-,-,-,-,-,Bexley,00AD,E09000004
E06000008,60.0,35.0,45.0,37.0,56.0,32.0,26.0,38.0,33.0,44.0,34.0,-,-,-,-,-,Blackburn with Darwen UA,00EX,E06000008
E06000009,85.0,75.0,55.0,55.0,81.0,58.0,63.0,47.0,41.0,47.0,38.0,-,-,-,-,-,Blackpool UA,00EY,E06000009
E06000028,40.0,50.0,45.0,28.0,30.0,33.0,36.0,26.0,31.0,20.0,13.0,-,-,-,-,-,Bournemouth UA,00HN,E06000028
E06000036,20.0,25.0,,8.0,19.0,19.0,13.0,15.0,17.0,17.0,10.0,-,-,-,-,-,Bracknell Forest UA,00MA,E06000036
E09000005,55.0,45.0,25.0,37.0,24.0,45.0,48.0,63.0,39.0,29.0,35.0,-,-,-,-,-,Brent,00AE,E09000005
E06000043,30.0,30.0,30.0,22.0,19.0,25.0,20.0,32.0,16.0,14.0,20.0,-,-,-,-,-,Brighton and Hove UA,00ML,E06000043
E06000023,75.0,75.0,75.0,58.0,59.0,60.0,50.0,64.0,46.0,39.0,49.0,-,-,-,-,-,"Bristol, City of UA",00HB,E06000023
E09000006,55.0,45.0,40.0,44.0,47.0,46.0,39.0,43.0,41.0,30.0,34.0,-,-,-,-,-,Bromley,00AF,E09000006
,55.0,65.0,55.0,50.0,66.0,67.0,47.0,47.0,43.0,49.0,31.0,-,-,-,-,-,Buckinghamshire,,
,115.0,105.0,65.0,61.0,76.0,80.0,51.0,63.0,51.0,48.0,42.0,-,-,-,-,-,Cambridgeshire,,
E09000007,10.0,10.0,15.0,14.0,7.0,10.0,12.0,12.0,15.0,4.0,13.0,-,-,-,-,-,Camden,00AG,E09000007
E06000056,60.0,60.0,55.0,58.0,42.0,40.0,49.0,35.0,39.0,31.0,28.0,-,-,-,-,-,Central Bedfordshire UA,00KC,E06000056
,,,,,,,,,,,,-,-,-,-,-,Cheshire (pre-2009),13,
E06000049,70.0,65.0,80.0,72.0,77.0,75.0,68.0,78.0,69.0,51.0,37.0,-,-,-,-,-,Cheshire East UA,00EQ,E06000049
E06000050,95.0,75.0,75.0,62.0,58.0,75.0,71.0,52.0,67.0,77.0,36.0,-,-,-,-,-,Cheshire West and Chester UA,00EW,E06000050
E09000001,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,City of London,00AA,E09000001
,,,,,,,,,,,,-,-,-,-,-,Cornwall (pre-2009),15,
E06000052,85.0,85.0,60.0,89.0,48.0,73.0,58.0,52.0,49.0,63.0,48.0,-,-,-,-,-,Cornwall UA,00HE,E06000052
,,,,,,,,,,,,-,-,-,-,-,County Durham (pre-2009),20,
E09000008,115.0,105.0,115.0,103.0,85.0,101.0,70.0,100.0,74.0,80.0,52.0,-,-,-,-,-,Croydon,00AH,E09000008
,95.0,85.0,70.0,75.0,70.0,86.0,61.0,68.0,58.0,62.0,80.0,-,-,-,-,-,Cumbria,16,
E06000005,35.0,25.0,30.0,41.0,36.0,43.0,25.0,23.0,30.0,29.0,21.0,-,-,-,-,-,Darlington UA,00EH,E06000005
E06000015,75.0,35.0,40.0,49.0,40.0,51.0,51.0,51.0,49.0,32.0,24.0,-,-,-,-,-,Derby UA,00FK,E06000015
,170.0,130.0,150.0,163.0,139.0,164.0,124.0,125.0,87.0,97.0,69.0,-,-,-,-,-,Derbyshire,17,
,80.0,90.0,65.0,68.0,68.0,83.0,87.0,65.0,57.0,80.0,47.0,-,-,-,-,-,Devon,,
,45.0,50.0,30.0,43.0,33.0,28.0,39.0,22.0,28.0,10.0,17.0,-,-,-,-,-,Dorset,19,
E06000047,185.0,160.0,135.0,144.0,161.0,151.0,131.0,173.0,146.0,151.0,108.0,-,-,-,-,-,Durham UA,00EJ,E06000047
E09000009,50.0,50.0,45.0,54.0,50.0,37.0,52.0,53.0,38.0,42.0,38.0,-,-,-,-,-,Ealing,00AJ,E09000009
E06000011,90.0,75.0,55.0,60.0,64.0,58.0,40.0,37.0,48.0,43.0,45.0,-,-,-,-,-,East Riding of Yorkshire UA,00FB,E06000011
,85.0,80.0,55.0,72.0,62.0,87.0,54.0,78.0,58.0,52.0,55.0,-,-,-,-,-,East Sussex,,
E09000010,65.0,100.0,55.0,61.0,47.0,54.0,82.0,75.0,52.0,65.0,40.0,-,-,-,-,-,Enfield,00AK,E09000010
,280.0,260.0,220.0,225.0,251.0,246.0,215.0,185.0,188.0,179.0,145.0,-,-,-,-,-,Essex,22,
,90.0,100.0,70.0,85.0,87.0,92.0,39.0,62.0,44.0,77.0,58.0,-,-,-,-,-,Gloucestershire,23,
,970.0,655.0,695.0,700.0,769.0,659.0,655.0,670.0,610.0,567.0,519.0,-,-,-,-,-,Greater Manchester (Met County),2A,
E09000011,70.0,60.0,45.0,52.0,42.0,51.0,56.0,48.0,60.0,48.0,32.0,-,-,-,-,-,Greenwich,00AL,E09000011
E09000012,30.0,15.0,10.0,22.0,25.0,24.0,18.0,27.0,12.0,22.0,18.0,-,-,-,-,-,Hackney,00AM,E09000012
E06000006,35.0,40.0,45.0,39.0,33.0,35.0,30.0,20.0,28.0,28.0,21.0,-,-,-,-,-,Halton UA,00ET,E06000006
E09000013,10.0,10.0,20.0,16.0,13.0,15.0,10.0,9.0,9.0,3.0,3.0,-,-,-,-,-,Hammersmith and Fulham,00AN,E09000013
,165.0,160.0,145.0,114.0,151.0,147.0,140.0,86.0,126.0,123.0,93.0,-,-,-,-,-,Hampshire,,
E09000014,30.0,40.0,25.0,33.0,22.0,32.0,34.0,30.0,31.0,33.0,21.0,-,-,-,-,-,Haringey,00AP,E09000014
E09000015,30.0,25.0,25.0,22.0,25.0,34.0,27.0,34.0,30.0,18.0,22.0,-,-,-,-,-,Harrow,00AQ,E09000015
E06000001,25.0,40.0,30.0,29.0,27.0,55.0,35.0,47.0,44.0,29.0,14.0,-,-,-,-,-,Hartlepool UA,00EB,E06000001
E09000016,60.0,55.0,45.0,44.0,61.0,49.0,46.0,48.0,40.0,38.0,22.0,-,-,-,-,-,Havering,00AR,E09000016
E06000019,30.0,25.0,15.0,22.0,18.0,20.0,22.0,22.0,15.0,16.0,17.0,-,-,-,-,-,"Herefordshire, County of UA",00GA,E06000019
,150.0,155.0,130.0,134.0,125.0,127.0,140.0,119.0,122.0,90.0,62.0,-,-,-,-,-,Hertfordshire,26,
E09000017,65.0,45.0,25.0,38.0,43.0,61.0,43.0,38.0,46.0,34.0,38.0,-,-,-,-,-,Hillingdon,00AS,E09000017
E09000018,40.0,45.0,40.0,47.0,28.0,47.0,43.0,33.0,20.0,20.0,34.0,-,-,-,-,-,Hounslow,00AT,E09000018
E06000046,20.0,25.0,25.0,18.0,13.0,16.0,25.0,17.0,9.0,17.0,14.0,-,-,-,-,-,Isle of Wight UA,00MW,E06000046
E07000025,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,-,-,-,-,-,Isles of Scilly UA,00HF,E07000025
E09000019,20.0,10.0,,8.0,12.0,13.0,8.0,9.0,4.0,11.0,9.0,-,-,-,-,-,Islington,00AU,E09000019
E09000020,15.0,10.0,,8.0,13.0,6.0,14.0,3.0,8.0,10.0,7.0,-,-,-,-,-,Kensington and Chelsea,00AW,E09000020
,310.0,290.0,265.0,241.0,219.0,248.0,241.0,219.0,211.0,194.0,143.0,-,-,-,-,-,Kent,,
E06000010,85.0,90.0,50.0,80.0,65.0,56.0,66.0,45.0,67.0,51.0,34.0,-,-,-,-,-,"Kingston upon Hull, City of UA",00FA,E06000010
E09000021,10.0,20.0,20.0,17.0,13.0,16.0,18.0,12.0,7.0,14.0,14.0,-,-,-,-,-,Kingston upon Thames,00AX,E09000021
E09000022,60.0,50.0,40.0,39.0,34.0,38.0,49.0,50.0,34.0,20.0,26.0,-,-,-,-,-,Lambeth,00AY,E09000022
,410.0,325.0,295.0,276.0,258.0,355.0,254.0,248.0,242.0,190.0,185.0,-,-,-,-,-,Lancashire,,
E06000016,85.0,60.0,65.0,49.0,69.0,57.0,64.0,50.0,50.0,47.0,46.0,-,-,-,-,-,Leicester UA,00FN,E06000016
,135.0,110.0,110.0,76.0,98.0,98.0,90.0,93.0,103.0,85.0,58.0,-,-,-,-,-,Leicestershire,,
E09000023,85.0,75.0,70.0,52.0,52.0,57.0,60.0,59.0,59.0,37.0,39.0,-,-,-,-,-,Lewisham,00AZ,E09000023
,175.0,145.0,140.0,135.0,160.0,127.0,133.0,127.0,121.0,104.0,75.0,-,-,-,-,-,Lincolnshire,32,
E06000032,70.0,55.0,65.0,73.0,64.0,56.0,54.0,40.0,51.0,49.0,28.0,-,-,-,-,-,Luton UA,00KA,E06000032
E06000035,100.0,65.0,55.0,76.0,90.0,58.0,65.0,60.0,48.0,45.0,58.0,-,-,-,-,-,Medway UA,00LC,E06000035
,445.0,455.0,400.0,393.0,381.0,370.0,344.0,333.0,331.0,329.0,260.0,-,-,-,-,-,Merseyside (Met County),2B,
E09000024,30.0,35.0,20.0,31.0,40.0,43.0,17.0,36.0,15.0,30.0,29.0,-,-,-,-,-,Merton,00BA,E09000024
E06000002,45.0,35.0,40.0,37.0,47.0,30.0,46.0,27.0,38.0,31.0,32.0,-,-,-,-,-,Middlesbrough UA,00EC,E06000002
E06000042,80.0,85.0,85.0,44.0,47.0,64.0,46.0,66.0,55.0,36.0,34.0,-,-,-,-,-,Milton Keynes UA,00MG,E06000042
E09000025,60.0,75.0,35.0,51.0,60.0,72.0,58.0,76.0,63.0,48.0,39.0,-,-,-,-,-,Newham,00BB,E09000025
,155.0,115.0,110.0,119.0,91.0,129.0,92.0,105.0,75.0,82.0,72.0,-,-,-,-,-,Norfolk,33,
E06000012,65.0,55.0,45.0,43.0,50.0,49.0,49.0,52.0,47.0,43.0,35.0,-,-,-,-,-,North East Lincolnshire UA,00FC,E06000012
