LocalAuthority,Year,CS_Count
East Sussex,2012,289
Gloucestershire,2012,184
Hampshire,2012,216
Kent,2012,326
Leicestershire,2012,17
North Hamptonshire,2012,112
North Yorkshire,2012,296
Oxfordshire,2012,104
Somerset,2012,96
Cumbria,2013,156
East Sussex,2013,240
Gloucestershire,2013,118
Hampshire,2013,184
Leicestershire,2013,16
North Hamptonshire,2013,58
North Yorkshire,2013,1725
Oxfordshire,2013,107
Somerset,2013,82
Worcestershire,2013,99
East Sussex,2014,190
Gloucestershire,2014,145
Hampshire,2014,130
Leicestershire,2014,37
North Hamptonshire,2014,35
North Yorkshire,2014,1660
Oxfordshire,2014,51
Somerset,2014,81
Worcestershire,2014,74
Havering,2012,272
York,2012,4
Havering,2013,228
Wigan,2013,1
York,2013,4
Havering,2014,152
Kingston,2014,14
Wigan,2014,16
York,2014,4
