"date","geography","geography code","Rural Urban","Social Grade: Approximated social grade; measures: Value","Social Grade: Approximated social grade AB; measures: Value","Social Grade: Approximated social grade C1; measures: Value","Social Grade: Approximated social grade C2; measures: Value","Social Grade: Approximated social grade DE; measures: Value"
"2011","Darlington","E06000005","Total",34354,6251,10419,7550,10134
"2011","County Durham","E06000047","Total",161327,26241,45794,37096,52196
"2011","Hartlepool","E06000001","Total",29791,3789,7628,7102,11272
"2011","Middlesbrough","E06000002","Total",42957,4951,11438,9008,17560
"2011","Northumberland","E06000048","Total",96661,18766,28745,22647,26503
"2011","Redcar and Cleveland","E06000003","Total",41788,5565,11004,10488,14731
"2011","Stockton-on-Tees","E06000004","Total",59245,10713,17440,13010,18082
"2011","Gateshead","E08000020","Total",65034,11015,19373,13921,20725
"2011","Newcastle upon Tyne","E08000021","Total",90321,18207,30144,14473,27497
"2011","North Tyneside","E08000022","Total",66936,13189,22567,13280,17900
"2011","South Tyneside","E08000023","Total",48307,6608,13798,11120,16781
"2011","Sunderland","E08000024","Total",87431,11239,25987,19471,30734
"2011","Blackburn with Darwen","E06000008","Total",44623,6400,11811,9639,16773
"2011","Blackpool","E06000009","Total",46128,4803,14152,9709,17464
"2011","Cheshire East","E06000049","Total",112617,33501,33768,21356,23992
"2011","Cheshire West and Chester","E06000050","Total",100922,26020,29742,19957,25203
"2011","Halton","E06000006","Total",40674,5573,11743,8721,14637
"2011","Warrington","E06000007","Total",63922,15996,20113,12408,15405
"2011","Allerdale","E07000026","Total",29120,5177,6995,7952,8996
"2011","Barrow-in-Furness","E07000027","Total",22378,3477,5693,6090,7118
"2011","Carlisle","E07000028","Total",34887,5462,9548,8746,11131
"2011","Copeland","E07000029","Total",21692,3819,5526,5447,6900
"2011","Eden","E07000030","Total",15536,3087,3952,4924,3573
"2011","South Lakeland","E07000031","Total",30160,7530,8262,7983,6385
"2011","Bolton","E08000001","Total",87425,15166,25822,18471,27966
"2011","Bury","E08000002","Total",58376,12436,18970,11623,15347
"2011","Manchester","E08000003","Total",171225,32996,56237,25213,56779
"2011","Oldham","E08000004","Total",67404,9763,18716,15257,23668
"2011","Rochdale","E08000005","Total",66578,9604,18516,14788,23670
"2011","Salford","E08000006","Total",80197,13468,26201,15230,25298
"2011","Stockport","E08000007","Total",87642,22610,28716,17183,19133
"2011","Tameside","E08000008","Total",71475,9822,21632,17517,22504
"2011","Trafford","E08000009","Total",69963,21042,22975,11689,14257
"2011","Wigan","E08000010","Total",101771,15994,28807,24833,32137
"2011","Burnley","E07000117","Total",28112,3584,7371,6664,10493
"2011","Chorley","E07000118","Total",33204,8039,10211,7442,7512
"2011","Fylde","E07000119","Total",22819,6291,7720,4022,4786
"2011","Hyndburn","E07000120","Total",25722,3398,6977,6532,8815
"2011","Lancaster","E07000121","Total",41123,8646,12357,9457,10663
"2011","Pendle","E07000122","Total",27727,4135,6902,6961,9729
"2011","Preston","E07000123","Total",44648,8329,13948,8793,13578
"2011","Ribble Valley","E07000124","Total",16553,4857,4855,3905,2936
"2011","Rossendale","E07000125","Total",22124,4463,6521,5324,5816
"2011","South Ribble","E07000126","Total",33381,7547,11068,7783,6983
"2011","West Lancashire","E07000127","Total",31974,6815,9713,6909,8537
"2011","Wyre","E07000128","Total",29973,5925,9739,6978,7331
"2011","Knowsley","E08000011","Total",45449,5020,12592,10005,17832
"2011","Liverpool","E08000012","Total",160399,25660,51916,26357,56466
"2011","Sefton","E08000014","Total",80240,15167,26566,16356,22151
"2011","St. Helens","E08000013","Total",54466,8639,15294,12331,18202
"2011","Wirral","E08000015","Total",99432,19004,30694,19626,30108
"2011","East Riding of Yorkshire","E06000011","Total",97336,21830,29587,24001,21918
"2011","Kingston upon Hull, City of","E06000010","Total",87941,9032,23000,20814,35095
"2011","North East Lincolnshire","E06000012","Total",50818,5913,12626,12357,19922
"2011","North Lincolnshire","E06000013","Total",51042,7993,12721,13516,16812
"2011","York","E06000014","Total",61302,16657,19945,11352,13348
"2011","Craven","E07000163","Total",16358,4360,4668,4203,3127
"2011","Hambleton","E07000164","Total",25522,6789,7859,5914,4960
"2011","Harrogate","E07000165","Total",47170,14127,15191,9424,8428
"2011","Richmondshire","E07000166","Total",14355,3132,4983,3470,2770
"2011","Ryedale","E07000167","Total",14615,3136,3838,4201,3440
"2011","Scarborough","E07000168","Total",32630,5001,9082,8321,10226
"2011","Selby","E07000169","Total",25494,5869,7592,6351,5682
"2011","Barnsley","E08000016","Total",73515,10216,19461,18746,25092
"2011","Doncaster","E08000017","Total",92321,12439,23976,23092,32814
"2011","Rotherham","E08000018","Total",78165,11254,20821,19970,26120
"2011","Sheffield","E08000019","Total",172059,35747,54805,33786,47721
"2011","Bradford","E08000032","Total",153744,25791,44649,31629,51675
"2011","Calderdale","E08000033","Total",66556,13810,20156,14611,17979
"2011","Kirklees","E08000034","Total",130958,25171,38151,28505,39131
"2011","Leeds","E08000035","Total",245614,54711,80315,46767,63821
"2011","Wakefield","E08000036","Total",103049,15306,27855,25017,34871
"2011","Derby","E06000015","Total",77202,14661,21887,15999,24655
"2011","Leicester","E06000016","Total",99334,13795,28795,17919,38825
"2011","Nottingham","E06000018","Total",101302,15168,32355,17924,35855
"2011","Rutland","E06000017","Total",9957,3176,3095,1961,1725
"2011","Amber Valley","E07000032","Total",37610,7793,10163,9290,10364
"2011","Bolsover","E07000033","Total",23517,3148,6048,6085,8236
"2011","Chesterfield","E07000034","Total",33836,5607,9700,8014,10515
"2011","Derbyshire Dales","E07000035","Total",20400,6088,5282,5110,3920
"2011","Erewash","E07000036","Total",35552,6391,10376,9178,9607
"2011","High Peak","E07000037","Total",28506,6947,8151,6733,6675
"2011","North East Derbyshire","E07000038","Total",29315,5738,8509,7338,7730
"2011","South Derbyshire","E07000039","Total",29464,6953,8575,6973,6963
"2011","Blaby","E07000129","Total",27761,6453,9373,6746,5189
"2011","Charnwood","E07000130","Total",48769,11776,15698,11021,10274
"2011","Harborough","E07000131","Total",24797,7778,7971,5120,3928
"2011","Hinckley and Bosworth","E07000132","Total",32753,7312,10292,7807,7342
"2011","Melton","E07000133","Total",15443,3659,4444,3748,3592
"2011","North West Leicestershire","E07000134","Total",28471,6285,8220,7056,6910
"2011","Oadby and Wigston","E07000135","Total",14544,3477,4716,3183,3168
"2011","Boston","E07000136","Total",18925,2143,4384,4824,7574
"2011","East Lindsey","E07000137","Total",38109,5443,10267,10211,12188
"2011","Lincoln","E07000138","Total",30791,4762,9129,6602,10298
"2011","North Kesteven","E07000139","Total",31461,6858,10593,7500,6510
"2011","South Holland","E07000140","Total",24689,3598,6477,6815,7799
"2011","South Kesteven","E07000141","Total",40713,9450,11974,9493,9796
"2011","West Lindsey","E07000142","Total",26410,5588,7702,6786,6334
"2011","Corby","E07000150","Total",19604,2298,4638,4512,8156
"2011","Daventry","E07000151","Total",23288,6473,7137,4989,4689
"2011","East Northamptonshire","E07000152","Total",26379,6143,7944,6570,5722
"2011","Kettering","E07000153","Total",29869,6088,8813,7284,7684
"2011","Northampton","E07000154","Total",70100,13406,22246,14724,19724
"2011","South Northamptonshire","E07000155","Total",25485,7978,8228,5430,3849
"2011","Wellingborough","E07000156","Total",23891,4155,6919,5616,7201
"2011","Ashfield","E07000170","Total",37527,4797,10113,9948,12669
"2011","Bassetlaw","E07000171","Total",33971,5581,8890,8701,10799
"2011","Broxtowe","E07000172","Total",33502,8688,10348,6972,7494
"2011","Gedling","E07000173","Total",35540,7679,11798,8214,7849
"2011","Mansfield","E07000174","Total",32934,4323,8838,8446,11327
"2011","Newark and Sherwood","E07000175","Total",34484,7264,9627,8223,9370
"2011","Rushcliffe","E07000176","Total",32703,12816,10394,4945,4548
"2011","Herefordshire, County of","E06000019","Total",52901,10993,14553,13884,13471
"2011","Shropshire","E06000051","Total",88699,20148,25209,22823,20519
"2011","Stoke-on-Trent","E06000021","Total",80955,8673,21132,19767,31383
"2011","Telford and Wrekin","E06000020","Total",50696,9118,14347,11632,15599
"2011","Cannock Chase","E07000192","Total",30312,4400,8448,8631,8833
"2011","East Staffordshire","E07000193","Total",34665,6939,9035,7790,10901
"2011","Lichfield","E07000194","Total",28477,8067,8761,5986,5663
"2011","Newcastle-under-Lyme","E07000195","Total",37505,7103,10897,8753,10752
"2011","South Staffordshire","E07000196","Total",30151,7446,9770,7269,5666
"2011","Stafford","E07000197","Total",39474,10277,13019,7805,8373
"2011","Staffordshire Moorlands","E07000198","Total",28629,5752,8138,7848,6891
"2011","Tamworth","E07000199","Total",24150,3779,7211,5859,7301
"2011","North Warwickshire","E07000218","Total",18501,3507,5500,4792,4702
"2011","Nuneaton and Bedworth","E07000219","Total",38899,6047,10875,9809,12168
"2011","Rugby","E07000220","Total",30725,7736,8746,6516,7727
"2011","Stratford-on-Avon","E07000221","Total",34685,11212,10541,6959,5973
"2011","Warwick","E07000222","Total",43511,15539,13715,6703,7554
"2011","Birmingham","E08000025","Total",317964,57125,93445,58385,109009
"2011","Coventry","E08000026","Total",97705,16258,30878,19204,31365
"2011","Dudley","E08000027","Total",91569,15522,26548,23857,25642
"2011","Sandwell","E08000028","Total",90113,10163,23991,22379,33580
"2011","Solihull","E08000029","Total",59985,17152,18889,11074,12870
"2011","Walsall","E08000030","Total",77589,10825,20139,19943,26682
"2011","Wolverhampton","E08000031","Total",75303,10230,19944,17674,27455
"2011","Bromsgrove","E07000234","Total",26344,8085,8532,5442,4285
"2011","Malvern Hills","E07000235","Total",20810,6277,5911,4617,4005
"2011","Redditch","E07000236","Total",26866,4795,7787,6570,7714
"2011","Worcester","E07000237","Total",32204,7541,9868,6613,8182
"2011","Wychavon","E07000238","Total",33355,8736,9944,7625,7050
"2011","Wyre Forest","E07000239","Total",29567,5495,8379,7365,8328
"2011","Bedford","E06000055","Total",47644,11709,14738,9538,11659
"2011","Central Bedfordshire","E06000056","Total",78157,20363,25776,17945,14073
"2011","Luton","E06000032","Total",58962,9054,17830,12497,19581
"2011","Peterborough","E06000031","Total",57387,9850,16692,11907,18938
"2011","Southend-on-Sea","E06000033","Total",54338,10829,18950,11589,12970
"2011","Thurrock","E06000034","Total",48937,7345,15572,12547,13473
"2011","Cambridge","E07000008","Total",36891,15399,10395,4467,6630
"2011","East Cambridgeshire","E07000009","Total",25281,7103,7401,6063,4714
"2011","Fenland","E07000010","Total",27968,3635,7396,7650,9287
"2011","Huntingdonshire","E07000011","Total",51771,13717,16932,11133,9989
"2011","South Cambridgeshire","E07000012","Total",43925,17150,12529,8064,6182
"2011","Basildon","E07000066","Total",54181,9994,17678,12390,14119
"2011","Braintree","E07000067","Total",45245,9482,14646,11342,9775
"2011","Brentwood","E07000068","Total",21513,6923,7786,3705,3099
"2011","Castle Point","E07000069","Total",24061,3973,8129,6614,5345
"2011","Chelmsford","E07000070","Total",51369,14880,17910,9809,8770
"2011","Colchester","E07000071","Total",53737,12556,18689,11008,11484
"2011","Epping Forest","E07000072","Total",37184,9472,13496,7520,6696
"2011","Harlow","E07000073","Total",26149,3900,8312,6385,7552
"2011","Maldon","E07000074","Total",17851,4295,5610,4554,3392
"2011","Rochford","E07000075","Total",22689,5227,8515,5366,3581
"2011","Tendring","E07000076","Total",37597,5316,10773,9971,11537
"2011","Uttlesford","E07000077","Total",22630,7368,7373,4659,3230
"2011","Broxbourne","E07000095","Total",27496,5004,9133,6826,6533
"2011","Dacorum","E07000096","Total",44802,13066,14778,8684,8274
"2011","East Hertfordshire","E07000097","Total",42589,14262,14312,7895,6120
