la_code,la_name,population,area,lad14cd
"E06000001","Hartlepool","   92028","      9386.11","E06000001"
"E06000002","Middlesbrough","  138412","      5387.47","E06000002"
"E06000015","Derby","  248752","      7803.11","E06000015"
"E06000003","Redcar and Cleveland","  135177","     24489.51","E06000003"
"E06000004","Stockton-on-Tees","  191610","     20393.06","E06000004"
"E06000032","Luton","  203201","      4335.33","E06000032"
"E06000005","Darlington","  105564","     19747.51","E06000005"
"E06000006","Halton","  125746","      7909.52","E06000006"
"E07000095","Broxbourne","   93609","      5143.56","E07000095"
"E06000007","Warrington","  202228","     18065.39","E06000007"
"E06000008","Blackburn with Darwen","  147489","     13701.18","E06000008"
"E06000009","Blackpool","  142065","      3488.10","E06000009"
"E06000010","Kingston upon Hull, City of","  256406","      7144.92","E06000010"
"E06000011","East Riding of Yorkshire","  334179","    240767.65","E06000011"
"E06000039","Slough","  140205","      3253.61","E06000039"
"E06000012","North East Lincolnshire","  159616","     19184.49","E06000012"
"E06000013","North Lincolnshire","  167446","     84631.29","E06000013"
"E06000056","Central Bedfordshire","  254381","     71566.45","E06000056"
"E06000048","Northumberland","  316028","    501301.83","E06000057"
"E07000004","Aylesbury Vale","  174137","     90275.35","E07000004"
"E06000014","York","  198051","     27193.63","E06000014"
"E06000016","Leicester","  329839","      7331.48","E06000016"
"E06000017","Rutland","   37369","     38151.51","E06000017"
"E06000033","Southend-on-Sea","  173658","      4175.60","E06000033"
"E06000018","Nottingham","  305680","      7461.16","E06000018"
"E06000019","Herefordshire, County of","  183477","    217973.24","E06000019"
"E06000020","Telford and Wrekin","  166641","     29031.32","E06000020"
"E06000036","Bracknell Forest","  113205","     10938.54","E06000036"
"E06000037","West Berkshire","  153822","     70416.82","E06000037"
"E06000021","Stoke-on-Trent","  249008","      9345.02","E06000021"
"E06000022","Bath and North East Somerset","  176016","     34574.08","E06000022"
"E06000023","Bristol, City of","  428234","     10960.76","E06000023"
"E06000024","North Somerset","  202566","     37378.60","E06000024"
"E06000025","South Gloucestershire","  262767","     49694.56","E06000025"
"E06000026","Plymouth","  256384","      7983.36","E06000026"
"E06000027","Torbay","  130959","      6287.40","E06000027"
"E06000028","Bournemouth","  183491","      4617.88","E06000028"
"E06000038","Reading","  155698","      4039.86","E06000038"
"E06000029","Poole","  147645","      6475.33","E06000029"
"E06000030","Swindon","  209156","     23010.36","E06000030"
"E06000031","Peterborough","  183631","     34337.82","E06000031"
"E06000034","Thurrock","  157705","     16337.60","E06000034"
"E06000035","Medway","  263925","     19203.31","E06000035"
"E06000040","Windsor and Maidenhead","  144560","     19650.96","E06000040"
"E06000041","Wokingham","  154380","     17897.92","E06000041"
"E06000042","Milton Keynes","  248821","     30862.53","E06000042"
"E06000043","Brighton and Hove","  273369","      8266.71","E06000043"
"E07000008","Cambridge","  123867","      4069.94","E07000008"
"E07000009","East Cambridgeshire","   83818","     65128.21","E07000009"
"E06000044","Portsmouth","  205056","      4041.14","E06000044"
"E07000062","Hastings","   90254","      2972.40","E07000062"
"E07000063","Lewes","   97502","     29207.10","E07000063"
"E06000045","Southampton","  236882","      4988.93","E06000045"
"E06000046","Isle of Wight","  138265","     38016.10","E06000046"
"E06000047","County Durham","  513242","    222606.26","E06000047"
"E06000049","Cheshire East","  370127","    116637.63","E06000049"
"E06000050","Cheshire West and Chester","  329608","     91665.60","E06000050"
"E06000051","Shropshire","  306129","    319730.32","E06000051"
"E06000052","Cornwall","  532273","    354618.74","E06000052"
"E06000053","Isles of Scilly","    2203","      1637.47","E06000053"
"E06000054","Wiltshire","  470981","    325534.12","E06000054"
"E07000064","Rother","   90588","     50943.05","E07000064"
"E07000065","Wealden","  148915","     83316.94","E07000065"
"E06000055","Bedford","  157479","     47641.20","E06000055"
"E07000005","Chiltern","   92635","     19634.81","E07000005"
"E07000006","South Bucks","   66867","     14127.52","E07000006"
"E07000007","Wycombe","  171644","     32457.21","E07000007"
"E07000010","Fenland","   95262","     54644.96","E07000010"
"E07000011","Huntingdonshire","  169508","     90618.31","E07000011"
"E07000012","South Cambridgeshire","  148755","     90162.77","E07000012"
"E07000026","Allerdale","   96422","    124158.29","E07000026"
"E07000027","Barrow-in-Furness","   69087","      7796.05","E07000027"
"E07000028","Carlisle","  107524","    103929.92","E07000028"
"E07000029","Copeland","   70603","     73173.94","E07000029"
"E07000030","Eden","   52564","    214235.65","E07000030"
"E07000031","South Lakeland","  103658","    153362.00","E07000031"
"E07000032","Amber Valley","  122309","     26538.48","E07000032"
"E07000033","Bolsover","   75866","     16033.04","E07000033"
"E07000034","Chesterfield","  103788","      6603.52","E07000034"
"E07000035","Derbyshire Dales","   71116","     79245.21","E07000035"
"E07000073","Harlow","   81944","      3053.75","E07000073"
"E07000074","Maldon","   61629","     35876.76","E07000074"
"E07000075","Rochford","   83287","     16949.84","E07000075"
"E07000076","Tendring","  138048","     33764.12","E07000076"
"E07000077","Uttlesford","   79443","     64118.28","E07000077"
"E07000036","Erewash","  112081","     10962.93","E07000036"
"E07000037","High Peak","   90892","     53914.69","E07000037"
"E07000038","North East Derbyshire","   99023","     27560.03","E07000038"
"E07000039","South Derbyshire","   94611","     33812.06","E07000039"
"E07000040","East Devon","  132457","     81434.66","E07000040"
"E07000041","Exeter","  117773","      4702.77","E07000041"
"E07000042","Mid Devon","   77750","     91293.48","E07000042"
"E07000043","North Devon","   93667","    108605.10","E07000043"
"E07000044","South Hams","   83140","     88649.78","E07000044"
"E07000045","Teignbridge","  124220","     67387.00","E07000045"
"E07000046","Torridge","   63839","     98385.32","E07000046"
"E07000047","West Devon","   53553","    115963.56","E07000047"
"E07000078","Cheltenham","  115732","      4661.37","E07000078"
"E07000079","Cotswold","   82881","    116451.96","E07000079"
"E07000080","Forest of Dean","   81961","     52650.63","E07000080"
"E07000048","Christchurch","   47752","      5038.96","E07000048"
"E07000049","East Dorset","   87166","     35436.57","E07000049"
"E07000050","North Dorset","   68583","     60921.76","E07000050"
"E07000051","Purbeck","   44973","     40441.57","E07000051"
"E07000052","West Dorset","   99264","    108147.42","E07000052"
"E07000053","Weymouth and Portland","   65167","      4175.88","E07000053"
"E07000061","Eastbourne","   99412","      4415.89","E07000061"
"E07000066","Basildon","  174497","     11002.46","E07000066"
"E07000067","Braintree","  147084","     61170.84","E07000067"
"E07000068","Brentwood","   73601","     15311.75","E07000068"
"E07000081","Gloucester","  121688","      4053.68","E07000081"
"E07000082","Stroud","  112779","     46065.47","E07000082"
"E07000083","Tewkesbury","   81943","     41441.83","E07000083"
"E07000084","Basingstoke and Deane","  167799","     63380.74","E07000084"
"E07000069","Castle Point","   88011","      4506.86","E07000069"
"E07000070","Chelmsford","  168310","     33877.56","E07000070"
"E07000071","Colchester","  173074","     32908.17","E07000071"
"E07000072","Epping Forest","  124659","     33898.56","E07000072"
"E07000085","East Hampshire","  115608","     51444.15","E07000085"
"E07000086","Eastleigh","  125199","      7977.76","E07000086"
"E07000087","Fareham","  111581","      7423.27","E07000087"
"E07000088","Gosport","   82622","      2532.09","E07000088"
"E07000092","Rushmoor","   93807","      3904.46","E07000092"
"E07000093","Test Valley","  116398","     62757.99","E07000093"
"E07000094","Winchester","  116595","     66097.46","E07000094"
"E07000089","Hart","   91033","     21526.53","E07000089"
"E07000090","Havant","  120684","      5536.97","E07000090"
"E07000091","New Forest","  176462","     75313.48","E07000091"
"E07000096","Dacorum","  144847","     21247.56","E07000096"
"E07000098","Hertsmere","  100031","     10116.00","E07000098"
"E07000099","North Hertfordshire","  127114","     37537.51","E07000099"
"E07000120","Hyndburn","   80734","      7299.32","E07000120"
"E07000121","Lancaster","  138375","     57585.64","E07000121"
"E07000102","Three Rivers","   87317","      8881.34","E07000102"
"E07000103","Watford","   90301","      2142.48","E07000103"
"E07000105","Ashford","  117956","     58061.67","E07000105"
"E07000106","Canterbury","  151145","     30885.19","E07000106"
"E07000107","Dartford","   97365","      7276.85","E07000107"
"E07000108","Dover","  111674","     31485.09","E07000108"
"E07000226","Crawley","  106597","      4497.07","E07000226"
"E07000227","Horsham","  131301","     53027.07","E07000227"
"E07000228","Mid Sussex","  139860","     33402.39","E07000228"
